onset	duration	 pic_onset	 block	 block_kind	 condition	 response
0.01448	12.015777	0.023364	 fix	 fix	 fix	 n/a
12.030257	1.000517	0.021827	1	 Scene	 diff	0
13.030774	1.000453	0.020986	1	 Scene	 diff	0
14.031227	1.000382	0.020077	1	 Scene	 diff	0
15.031609	1.000395	0.01933	1	 Scene	 diff	0
16.032004	1.000409	0.018525	1	 Scene	 diff	0
17.032413	1.000386	0.017729	1	 Scene	 diff	0
18.032799	1.000367	0.016984	1	 Scene	 diff	0
19.033166	1.000362	0.016206	1	 Scene	 diff	0
20.033528	1.000373	0.015481	1	 Scene	 diff	0
21.033901	1.006404	0.014709	1	 Scene	 same	1
22.040305	1.000345	0.007835	1	 Scene	 diff	0
23.04065	1.000384	0.02386	1	 Scene	 diff	0
24.041034	1.005957	0.023089	1	 Scene	 same	1
25.046991	1.000332	0.03341	1	 Scene	 diff	0
26.047323	1.000363	0.016001	1	 Scene	 diff	0
27.047686	1.000863	0.01529	1	 Scene	 diff	0
28.048549	7.978688	28.048549	 fix	 fix	 fix	 n/a
36.027237	1.000544	0.015579	2	 Object	 diff	0
37.027781	1.000331	0.014661	2	 Object	 diff	0
38.028112	1.006034	0.013937	2	 Object	 same	1
39.034146	1.000305	0.007454	2	 Object	 diff	0
40.034451	1.000724	0.023524	2	 Object	 diff	0
41.035175	1.000306	0.022419	2	 Object	 diff	0
42.035481	1.000339	0.02173	2	 Object	 diff	0
43.03582	1.006933	0.020987	2	 Object	 same	1
44.042753	1.0003	0.013595	2	 Object	 diff	0
45.043053	1.000308	0.012954	2	 Object	 diff	0
46.043361	1.000361	0.012269	2	 Object	 diff	0
47.043722	1.000336	0.01154	2	 Object	 diff	0
48.044058	1.00034	0.010787	2	 Object	 diff	0
49.044398	1.000303	0.010056	2	 Object	 diff	0
50.044701	1.00033	0.026106	2	 Object	 diff	0
51.045031	1.00032	0.025376	2	 Object	 diff	0
52.045351	7.98192	52.045351	 fix	 fix	 fix	 n/a
60.027271	1.000355	0.023	3	 Scene	 diff	0
61.027626	1.000324	0.022257	3	 Scene	 diff	0
62.02795	1.000513	0.021548	3	 Scene	 diff	0
63.028463	1.00031	0.020675	3	 Scene	 diff	0
64.028773	1.000297	0.019966	3	 Scene	 diff	0
65.02907	1.000335	0.019269	3	 Scene	 diff	0
66.029405	1.000345	0.018589	3	 Scene	 diff	0
