onset	duration	run#	block_kind	current_block	actual_TR	stim_n/ame	fixation_kind	response	RT
0	12.01	2	fix	n/a	0	n/a	white	n/a	n/a
12.01	1.99	2	longroad	6	6	longroad1	red	0	9999
14	2.0	2	longroad	6	7	longroad4	red	0	9999
16	2.0	2	longroad	6	8	longroad2	red	0	9999
18	2.0	2	longroad	6	9	longroad3	green	1	833.75
20	2.0	2	longroad	6	10	longroad4	green	1	825.81
22	2.0	2	longroad	6	11	longroad2	red	0	9999
24	2.0	2	longroad	6	12	longroad1	red	0	9999
26	2.01	2	longroad	6	13	longroad3	red	0	9999
28.01	8.02	2	fix	n/a	14	n/a	white	n/a	n/a
36.03	1.97	2	hallway	7	18	hallway3	red	0	9999
38	2.0	2	hallway	7	19	hallway2	red	0	9999
40	2.0	2	hallway	7	20	hallway4	red	0	9999
42	2.0	2	hallway	7	21	hallway1	green	1	635.05
44	2.0	2	hallway	7	22	hallway3	red	0	9999
46	2.0	2	hallway	7	23	hallway1	red	0	9999
48	2.0	2	hallway	7	24	hallway4	red	0	9999
50	2.02	2	hallway	7	25	hallway2	green	1	669.87
52.02	8.02	2	fix	n/a	26	n/a	white	n/a	n/a
60.04	1.96	2	wkobj	8	30	wkobj3	red	0	9999
62	2.0	2	wkobj	8	31	wkobj1	red	0	9999
64	2.0	2	wkobj	8	32	wkobj4	green	1	723.09
66	2.0	2	wkobj	8	33	wkobj2	green	1	803.8
68	2.0	2	wkobj	8	34	wkobj4	red	0	9999
70	2.0	2	wkobj	8	35	wkobj2	red	0	9999
72	2.0	2	wkobj	8	36	wkobj1	red	0	9999
74	2.01	2	wkobj	8	37	wkobj3	red	0	9999
76.01	8.02	2	fix	n/a	38	n/a	white	n/a	n/a
84.03	1.97	2	scrambledobj	9	42	scrambledobj3	green	1	737.08
86	2.0	2	scrambledobj	9	43	scrambledobj2	red	0	9999
88	2.0	2	scrambledobj	9	44	scrambledobj4	red	0	9999
90	2.0	2	scrambledobj	9	45	scrambledobj1	red	0	9999
92	2.0	2	scrambledobj	9	46	scrambledobj3	red	0	9999
94	2.0	2	scrambledobj	9	47	scrambledobj2	red	0	9999
96	2.0	2	scrambledobj	9	48	scrambledobj4	red	0	9999
98	2.01	2	scrambledobj	9	49	scrambledobj1	green	1	614.82
100.01	8.03	2	fix	n/a	50	n/a	white	n/a	n/a
108.04	1.96	2	ID	3	54	n/a	red	0	9999
110	2.0	2	ID	3	55	n/a	green	1	619.9
112	2.0	2	ID	3	56	n/a	red	0	9999
114	2.0	2	ID	3	57	n/a	green	1	653.22
116	2.0	2	ID	3	58	n/a	red	0	9999
118	2.0	2	ID	3	59	n/a	red	0	9999
120	2.0	2	ID	3	60	n/a	red	0	9999
122	2.01	2	ID	3	61	n/a	red	0	9999
124.01	8.02	2	fix	n/a	62	n/a	white	n/a	n/a
132.03	1.97	2	NC	4	66	n/a	green	1	738.85
134	2.0	2	NC	4	67	n/a	red	0	9999
136	2.0	2	NC	4	68	n/a	green	1	589.84
138	2.0	2	NC	4	69	n/a	red	0	9999
140	2.0	2	NC	4	70	n/a	red	0	9999
142	2.0	2	NC	4	71	n/a	red	0	9999
144	2.0	2	NC	4	72	n/a	red	0	9999
146	2.01	2	NC	4	73	n/a	red	0	9999
148.01	8.03	2	fix	n/a	74	n/a	white	n/a	n/a
156.04	1.96	2	Sp	1	78	n/a	red	0	9999
158	2.0	2	Sp	1	79	n/a	red	0	9999
160	2.0	2	Sp	1	80	n/a	red	0	9999
162	2.0	2	Sp	1	81	n/a	green	1	839.14
164	2.0	2	Sp	1	82	n/a	red	0	9999
166	2.0	2	Sp	1	83	n/a	red	0	9999
168	2.0	2	Sp	1	84	n/a	red	0	9999
170	2.0	2	Sp	1	85	n/a	green	1	850.3
172	8.03	2	fix	n/a	86	n/a	white	n/a	n/a
180.03	1.97	2	SpId	2	90	n/a	red	0	9999
182	2.0	2	SpId	2	91	n/a	red	0	9999
184	2.0	2	SpId	2	92	n/a	green	1	527.73
186	2.0	2	SpId	2	93	n/a	red	0	9999
188	2.0	2	SpId	2	94	n/a	red	0	9999
190	2.0	2	SpId	2	95	n/a	red	0	9999
192	2.0	2	SpId	2	96	n/a	red	0	9999
194	2.01	2	SpId	2	97	n/a	green	1	730.47
196.01	8.03	2	fix	n/a	98	n/a	white	n/a	n/a
204.04	1.96	2	intersection	5	102	intersection4	red	0	9999
206	2.0	2	intersection	5	103	intersection1	green	1	711.63
208	2.0	2	intersection	5	104	intersection2	green	1	711.43
