onset	duration	run#	block_kind	current_block	actual_TR	stim_n/ame	fixation_kind	response	RT
0.02	12.02	1	fix	n/a	0	n/a	white	n/a	n/a
12.04	1.97	1	wkobj	8	6	wkobj2	red	0	9999
14.01	1.99	1	wkobj	8	7	wkobj3	green	1	789.01
16	2.0	1	wkobj	8	8	wkobj4	red	0	9999
18	2.0	1	wkobj	8	9	wkobj1	red	0	9999
20	2.0	1	wkobj	8	10	wkobj1	green	1	664.2
22	2.0	1	wkobj	8	11	wkobj2	red	0	9999
24	2.0	1	wkobj	8	12	wkobj4	red	0	9999
26	2.01	1	wkobj	8	13	wkobj3	red	0	9999
28.01	8.02	1	fix	n/a	14	n/a	white	n/a	n/a
36.03	1.97	1	NC	4	18	n/a	red	0	9999
38	2.0	1	NC	4	19	n/a	red	0	9999
40	2.0	1	NC	4	20	n/a	red	0	9999
42	2.0	1	NC	4	21	n/a	red	0	9999
44	2.0	1	NC	4	22	n/a	red	0	9999
46	2.0	1	NC	4	23	n/a	green	1	795.21
48	2.0	1	NC	4	24	n/a	red	0	9999
50	2.01	1	NC	4	25	n/a	green	1	748.38
52.01	8.03	1	fix	n/a	26	n/a	white	n/a	n/a
60.04	1.96	1	Sp	1	30	n/a	red	0	9999
62	2.0	1	Sp	1	31	n/a	red	0	9999
64	2.0	1	Sp	1	32	n/a	green	1	697.7
66	2.0	1	Sp	1	33	n/a	green	0	9999
68	2.0	1	Sp	1	34	n/a	red	0	9999
70	2.0	1	Sp	1	35	n/a	red	0	9999
72	2.0	1	Sp	1	36	n/a	red	0	9999
74	2.0	1	Sp	1	37	n/a	red	0	9999
76	8.03	1	fix	n/a	38	n/a	white	n/a	n/a
84.03	1.97	1	longroad	6	42	longroad2	red	0	9999
86	2.0	1	longroad	6	43	longroad4	red	0	9999
88	2.0	1	longroad	6	44	longroad3	red	0	9999
90	2.0	1	longroad	6	45	longroad1	red	0	9999
92	2.0	1	longroad	6	46	longroad4	red	0	9999
94	2.0	1	longroad	6	47	longroad2	green	1	700.41
96	2.0	1	longroad	6	48	longroad1	red	0	9999
98	2.01	1	longroad	6	49	longroad3	green	1	926.47
100.01	8.03	1	fix	n/a	50	n/a	white	n/a	n/a
108.04	1.96	1	hallway	7	54	hallway3	green	1	854.85
110	2.0	1	hallway	7	55	hallway4	red	0	9999
112	2.0	1	hallway	7	56	hallway1	red	0	9999
114	2.0	1	hallway	7	57	hallway2	red	0	9999
116	2.0	1	hallway	7	58	hallway3	red	0	9999
118	2.0	1	hallway	7	59	hallway1	red	0	9999
120	2.0	1	hallway	7	60	hallway4	green	1	846.37
122	2.02	1	hallway	7	61	hallway2	red	0	9999
124.02	8.03	1	fix	n/a	62	n/a	white	n/a	n/a
132.05	1.95	1	SpId	2	66	n/a	red	0	9999
134	2.0	1	SpId	2	67	n/a	green	1	1002.12
136	2.0	1	SpId	2	68	n/a	red	0	9999
138	2.0	1	SpId	2	69	n/a	red	0	9999
140	2.0	1	SpId	2	70	n/a	red	0	9999
142	2.0	1	SpId	2	71	n/a	red	0	9999
144	2.0	1	SpId	2	72	n/a	green	1	959.66
146	2.01	1	SpId	2	73	n/a	red	0	9999
148.01	8.03	1	fix	n/a	74	n/a	white	n/a	n/a
156.04	1.96	1	scrambledobj	9	78	scrambledobj2	red	0	9999
158	2.0	1	scrambledobj	9	79	scrambledobj4	red	0	9999
160	2.0	1	scrambledobj	9	80	scrambledobj1	red	0	9999
162	2.0	1	scrambledobj	9	81	scrambledobj3	green	1	748.09
164	2.0	1	scrambledobj	9	82	scrambledobj4	red	0	9999
166	2.0	1	scrambledobj	9	83	scrambledobj2	red	0	9999
168	2.0	1	scrambledobj	9	84	scrambledobj1	green	1	751.01
170	2.02	1	scrambledobj	9	85	scrambledobj3	red	0	9999
172.02	8.03	1	fix	n/a	86	n/a	white	n/a	n/a
180.05	1.96	1	ID	3	90	n/a	red	0	9999
182.01	1.99	1	ID	3	91	n/a	red	0	9999
184	2.0	1	ID	3	92	n/a	red	0	9999
186	2.0	1	ID	3	93	n/a	red	0	9999
188	2.0	1	ID	3	94	n/a	green	1	559.65
190	2.0	1	ID	3	95	n/a	red	0	9999
192	2.0	1	ID	3	96	n/a	green	1	801.29
194	2.01	1	ID	3	97	n/a	red	0	9999
196.01	8.03	1	fix	n/a	98	n/a	white	n/a	n/a
204.04	1.97	1	intersection	5	102	intersection2	red	0	9999
206.01	1.99	1	intersection	5	103	intersection3	red	0	9999
208	2.0	1	intersection	5	104	intersection1	red	0	9999
210	2.0	1	intersection	5	105	intersection4	red	0	9999
212	2.0	1	intersection	5	106	intersection3	red	0	9999
214	2.0	1	intersection	5	107	intersection1	red	0	9999
216	2.0	1	intersection	5	108	intersection4	green	1	856.6
218	2.02	1	intersection	5	109	intersection2	green	1	930.76
220.02	8.03	1	fix	n/a	110	n/a	white	n/a	n/a
228.05	1.95	1	wkobj	8	114	wkobj4	green	1	1187.85
230	2.0	1	wkobj	8	115	wkobj3	red	0	9999
232	2.0	1	wkobj	8	116	wkobj1	red	0	9999
234	2.0	1	wkobj	8	117	wkobj2	green	1	727.99
236	2.0	1	wkobj	8	118	wkobj1	red	0	9999
238	2.0	1	wkobj	8	119	wkobj4	red	0	9999
240	2.0	1	wkobj	8	120	wkobj3	red	0	9999
242	2.01	1	wkobj	8	121	wkobj2	red	0	9999
244.01	8.03	1	fix	n/a	122	n/a	white	n/a	n/a
252.04	1.96	1	scrambledobj	9	126	scrambledobj4	red	0	9999
254	2.0	1	scrambledobj	9	127	scrambledobj3	red	0	9999
256	2.0	1	scrambledobj	9	128	scrambledobj1	green	1	664.55
258	2.0	1	scrambledobj	9	129	scrambledobj2	red	0	9999
260	2.0	1	scrambledobj	9	130	scrambledobj2	red	0	9999
262	2.0	1	scrambledobj	9	131	scrambledobj4	red	0	9999
264	2.0	1	scrambledobj	9	132	scrambledobj3	red	0	9999
266	2.01	1	scrambledobj	9	133	scrambledobj1	green	1	867.66
268.01	8.04	1	fix	n/a	134	n/a	white	n/a	n/a
276.05	1.95	1	longroad	6	138	longroad1	red	0	9999
278	2.0	1	longroad	6	139	longroad3	red	0	9999
280	2.0	1	longroad	6	140	longroad2	red	0	9999
282	2.0	1	longroad	6	141	longroad4	green	1	848.84
284	2.0	1	longroad	6	142	longroad4	red	0	9999
286	2.0	1	longroad	6	143	longroad1	red	0	9999
288	2.0	1	longroad	6	144	longroad2	red	0	9999
290	2.0	1	longroad	6	145	longroad3	green	1	844.22
292	8.04	1	fix	n/a	146	n/a	white	n/a	n/a
300.04	1.96	1	hallway	7	150	hallway3	green	1	695.54
302	2.0	1	hallway	7	151	hallway2	red	0	9999
304	2.0	1	hallway	7	152	hallway4	red	0	9999
306	2.0	1	hallway	7	153	hallway1	red	0	9999
308	2.0	1	hallway	7	154	hallway1	red	0	9999
310	2.0	1	hallway	7	155	hallway3	red	0	9999
312	2.0	1	hallway	7	156	hallway4	red	0	9999
314	2.01	1	hallway	7	157	hallway2	green	1	709.79
316.01	8.03	1	fix	n/a	158	n/a	white	n/a	n/a
324.04	1.96	1	ID	3	162	n/a	red	0	9999
