onset	duration	 pic_onset	 block	 block_kind	 condition	 response
36.043473	24.000031	0.015732	2	 Scene	 diff	0
60.043504	24.000051	0.023103	3	 Object	 diff	0
84.043555	24.000046	0.013815	4	 Scene	 diff	0
108.043601	24.000045	0.021204	5	 Object	 diff	0
132.043646	24.000045	0.011935	6	 Scene	 diff	0
156.043691	24.000058	0.019323	7	 Object	 diff	0
180.043749	24.000016	0.026681	8	 Scene	 diff	0
204.043765	24.000077	0.01741	9	 Object	 diff	0
228.043842	24.000024	0.024763	10	 Scene	 diff	0
252.043866	24.00005	0.015491	11	 Object	 diff	0
276.043916	-258.990264	0.022851	12	 Scene	 diff	0
17.053652	23.996158	0.012776	1	 Object	 diff	0
41.04981	32.005199	0.02415	2	 Scene	 diff	0
73.055009	2.005186	0.023288	3	 Object	 diff	0
75.060195	21.995224	0.017308	3	 Object	 diff	0
97.055419	2.00513	0.013561	4	 Scene	 diff	0
99.060549	35.988637	0.024377	4	 Scene	 diff	0
135.049186	53.002158	0.022253	6	 Scene	 diff	0
188.051344	44.999755	0.015983	8	 Scene	 diff	0
233.051099	-233.027511	0.0155	10	 Scene	 diff	0
0.023588	28.035919	0.039747	 fix	 fix	 fix	 n/a
28.059507	23.995602	28.059507	 fix	 fix	 fix	 n/a
52.055109	24.005568	52.055109	 fix	 fix	 fix	 n/a
76.060677	24.000382	76.060677	 fix	 fix	 fix	 n/a
100.061059	23.990357	100.061059	 fix	 fix	 fix	 n/a
124.051416	24.004225	124.051416	 fix	 fix	 fix	 n/a
148.055641	23.99526	148.055641	 fix	 fix	 fix	 n/a
172.050901	24.004328	172.050901	 fix	 fix	 fix	 n/a
196.055229	23.995733	196.055229	 fix	 fix	 fix	 n/a
220.050962	24.005953	220.050962	 fix	 fix	 fix	 n/a
244.056915	23.994652	244.056915	 fix	 fix	 fix	 n/a
268.051567	23.999291	268.051567	 fix	 fix	 fix	 n/a
292.050858	-280.004169	292.050858	 fix	 fix	 fix	 n/a
12.046689	1.000396	0.021902	1	 Object	 diff	0
13.047085	1.000552	0.02099	1	 Object	 diff	0
14.047637	1.000362	0.020041	1	 Object	 diff	0
15.047999	1.000553	0.019278	1	 Object	 diff	0
16.048552	2.005661	0.01836	1	 Object	 same	1
18.054213	1.000362	0.011904	1	 Object	 diff	0
19.054575	1.000555	0.011551	1	 Object	 diff	0
20.05513	1.000344	0.010187	1	 Object	 diff	0
