onset	duration	run#	block_kind	current_block	actual_TR	stim_n/ame	fixation_kind	response	RT
0.02	12.02	1	fix	n/a	0	n/a	white	n/a	n/a
12.04	1.97	1	wkobj	8	6	wkobj4	green	1	800.17
14.01	1.99	1	wkobj	8	7	wkobj1	red	1	0.5
16	2.0	1	wkobj	8	8	wkobj2	red	0	9999
18	2.0	1	wkobj	8	9	wkobj3	red	0	9999
20	2.0	1	wkobj	8	10	wkobj4	green	1	591.52
22	2.0	1	wkobj	8	11	wkobj1	red	0	9999
24	2.0	1	wkobj	8	12	wkobj2	red	0	9999
26	2.01	1	wkobj	8	13	wkobj3	red	0	9999
28.01	8.02	1	fix	n/a	14	n/a	white	n/a	n/a
36.03	1.97	1	scrambledobj	9	18	scrambledobj1	red	0	9999
38	2.0	1	scrambledobj	9	19	scrambledobj2	red	0	9999
40	2.0	1	scrambledobj	9	20	scrambledobj3	red	0	9999
42	2.0	1	scrambledobj	9	21	scrambledobj4	red	0	9999
44	2.0	1	scrambledobj	9	22	scrambledobj1	green	1	656.85
46	2.0	1	scrambledobj	9	23	scrambledobj2	red	0	9999
48	2.0	1	scrambledobj	9	24	scrambledobj4	red	0	9999
50	2.01	1	scrambledobj	9	25	scrambledobj3	green	1	595.56
52.01	8.26	1	fix	n/a	26	n/a	white	n/a	n/a
60.27	1.73	1	SpId	2	30	n/a	red	0	9999
62	2.0	1	SpId	2	31	n/a	green	1	767.86
64	2.0	1	SpId	2	32	n/a	red	0	9999
66	2.0	1	SpId	2	33	n/a	red	0	9999
68	2.0	1	SpId	2	34	n/a	red	0	9999
70	2.0	1	SpId	2	35	n/a	green	1	627.1
72	2.0	1	SpId	2	36	n/a	red	0	9999
74	2.01	1	SpId	2	37	n/a	red	0	9999
76.01	8.02	1	fix	n/a	38	n/a	white	n/a	n/a
84.03	1.97	1	hallway	7	42	hallway2	red	0	9999
86	2.0	1	hallway	7	43	hallway3	red	0	9999
88	2.0	1	hallway	7	44	hallway4	green	1	624.8
90	2.0	1	hallway	7	45	hallway1	green	1	666.23
92	2.0	1	hallway	7	46	hallway3	red	0	9999
94	2.0	1	hallway	7	47	hallway4	red	0	9999
96	2.0	1	hallway	7	48	hallway2	red	0	9999
98	2.01	1	hallway	7	49	hallway1	red	0	9999
100.01	8.03	1	fix	n/a	50	n/a	white	n/a	n/a
108.04	1.96	1	longroad	6	54	longroad2	red	0	9999
110	2.0	1	longroad	6	55	longroad1	red	0	9999
112	2.0	1	longroad	6	56	longroad4	green	1	666.2
114	2.0	1	longroad	6	57	longroad3	red	0	9999
116	2.0	1	longroad	6	58	longroad4	red	0	9999
118	2.0	1	longroad	6	59	longroad1	green	1	499.82
120	2.0	1	longroad	6	60	longroad3	red	0	9999
122	2.02	1	longroad	6	61	longroad2	red	0	9999
124.02	8.03	1	fix	n/a	62	n/a	white	n/a	n/a
132.05	1.95	1	NC	4	66	n/a	red	0	9999
