onset	duration	 pic_onset	 block	 block_kind	 condition	 response
0.359239	12.010931	0.363213	 fix	 fix	 fix	 n/a
12.37017	1.000669	0.021762	1	 Scene	 diff	0
13.370839	1.000203	0.020836	1	 Scene	 diff	0
14.371042	1.005267	0.020106	1	 Scene	 same	1
15.376309	1.00029	0.014436	1	 Scene	 diff	0
16.376599	1.000338	0.014392	1	 Scene	 diff	0
17.376937	1.000339	0.013093	1	 Scene	 diff	0
18.377276	1.000341	0.012303	1	 Scene	 diff	0
19.377617	1.000348	0.011579	1	 Scene	 diff	0
20.377965	1.004598	0.011159	1	 Scene	 same	1
21.382563	1.000309	0.022556	1	 Scene	 diff	0
22.382872	1.000299	0.02219	1	 Scene	 diff	0
23.383171	1.000339	0.021148	1	 Scene	 diff	0
24.38351	1.00034	0.020443	1	 Scene	 diff	0
25.38385	1.000344	0.019721	1	 Scene	 diff	0
26.384194	1.000333	0.019004	1	 Scene	 diff	0
27.384527	1.001127	0.018271	1	 Scene	 diff	0
28.385654	7.981535	28.385654	 fix	 fix	 fix	 n/a
36.367189	1.000468	0.015463	2	 Object	 diff	0
37.367657	1.000327	0.014614	2	 Object	 diff	0
38.367984	1.000312	0.013926	2	 Object	 diff	0
39.368296	1.000492	0.013188	2	 Object	 same	0
40.368788	1.000329	0.012311	2	 Object	 diff	0
41.369117	1.000538	0.011597	2	 Object	 same	0
42.369655	1.000338	0.011247	2	 Object	 diff	0
43.369993	1.000342	0.009937	2	 Object	 diff	0
44.370335	1.000345	0.009197	2	 Object	 diff	0
45.37068	1.000351	0.025178	2	 Object	 diff	0
46.371031	1.000339	0.024429	2	 Object	 diff	0
47.37137	1.000351	0.023737	2	 Object	 diff	0
48.371721	1.000342	0.022984	2	 Object	 diff	0
49.372063	1.000315	0.022259	2	 Object	 diff	0
50.372378	1.00034	0.021546	2	 Object	 diff	0
51.372718	1.00032	0.020822	2	 Object	 diff	0
52.373038	7.994172	52.373038	 fix	 fix	 fix	 n/a
60.36721	1.00045	0.022885	3	 Scene	 diff	0
61.36766	1.000343	0.022029	3	 Scene	 diff	0
62.368003	1.000336	0.021313	3	 Scene	 diff	0
63.368339	1.000393	0.020582	3	 Scene	 diff	0
64.368732	1.000323	0.019813	3	 Scene	 diff	0
65.369055	1.00032	0.019107	3	 Scene	 diff	0
66.369375	1.000317	0.018407	3	 Scene	 diff	0
67.369692	1.000329	0.01772	3	 Scene	 diff	0
68.370021	1.000325	0.016985	3	 Scene	 diff	0
69.370346	1.000326	0.016256	3	 Scene	 diff	0
70.370672	1.000316	0.01555	3	 Scene	 diff	0
71.370988	1.004518	0.014854	3	 Scene	 same	1
72.375506	1.000312	0.009907	3	 Scene	 diff	0
73.375818	1.000348	0.02595	3	 Scene	 diff	0
74.376166	1.000545	0.025216	3	 Scene	 same	0
75.376711	1.000484	0.024284	3	 Scene	 diff	0
76.377195	7.990056	76.377195	 fix	 fix	 fix	 n/a
84.367251	1.000339	0.0136	4	 Object	 diff	0
85.36759	1.004528	0.012851	4	 Object	 same	1
86.372118	1.000311	0.0079	4	 Object	 diff	0
87.372429	1.000334	0.02397	4	 Object	 diff	0
88.372763	1.00034	0.023229	4	 Object	 diff	0
89.373103	1.000482	0.022479	4	 Object	 diff	0
90.373585	1.000338	0.021662	4	 Object	 diff	0
91.373923	1.000354	0.02091	4	 Object	 diff	0
92.374277	1.005756	0.020167	4	 Object	 same	1
93.380033	1.000305	0.013938	4	 Object	 diff	0
94.380338	1.000321	0.013301	4	 Object	 diff	0
95.380659	1.000342	0.012606	4	 Object	 diff	0
96.381001	1.000318	0.011875	4	 Object	 diff	0
97.381319	1.000337	0.01129	4	 Object	 diff	0
98.381656	1.000323	0.011079	4	 Object	 diff	0
99.381979	1.000339	0.009706	4	 Object	 diff	0
100.382318	7.984976	100.382318	 fix	 fix	 fix	 n/a
108.367294	1.000515	0.020987	5	 Scene	 diff	0
109.367809	1.00035	0.020103	5	 Scene	 same	0
110.368159	1.000343	0.019347	5	 Scene	 diff	0
111.368502	1.000357	0.018613	5	 Scene	 diff	0
112.368859	1.000523	0.017868	5	 Scene	 same	0
113.369382	1.000362	0.016981	5	 Scene	 diff	0
114.369744	1.000337	0.016212	5	 Scene	 diff	0
115.370081	1.000346	0.015488	5	 Scene	 diff	0
116.370427	1.000343	0.01478	5	 Scene	 diff	0
117.37077	1.00035	0.014116	5	 Scene	 diff	0
118.37112	1.000342	0.013298	5	 Scene	 diff	0
119.371462	1.000337	0.01256	5	 Scene	 diff	0
120.371799	1.006508	0.011853	5	 Scene	 diff	0
121.378307	1.000326	0.021705	5	 Scene	 diff	0
122.378633	1.00034	0.020925	5	 Scene	 diff	0
123.378973	1.000329	0.020198	5	 Scene	 diff	0
124.379302	7.988034	124.379302	 fix	 fix	 fix	 n/a
132.367336	1.000335	0.011681	6	 Object	 diff	0
133.367671	1.000349	0.011279	6	 Object	 diff	0
134.36802	1.000321	0.010204	6	 Object	 diff	0
135.368341	1.00035	0.009495	6	 Object	 diff	0
136.368691	1.000342	0.025497	6	 Object	 diff	0
137.369033	1.000354	0.024755	6	 Object	 diff	0
138.369387	1.005828	0.024019	6	 Object	 same	1
139.375215	1.000335	0.017762	6	 Object	 diff	0
140.37555	1.00034	0.017103	6	 Object	 diff	0
141.37589	1.00035	0.016369	6	 Object	 diff	0
142.37624	1.000348	0.015621	6	 Object	 diff	0
143.376588	1.000353	0.014874	6	 Object	 diff	0
144.376941	1.000346	0.014164	6	 Object	 diff	0
145.377287	1.004554	0.013401	6	 Object	 same	1
146.381841	1.000486	0.008433	6	 Object	 diff	0
147.382327	1.000308	0.024258	6	 Object	 diff	0
148.382635	7.984742	148.382635	 fix	 fix	 fix	 n/a
156.367377	1.000321	0.019079	7	 Scene	 diff	0
157.367698	1.000343	0.018379	7	 Scene	 diff	0
158.368041	1.000359	0.017657	7	 Scene	 diff	0
159.3684	1.000326	0.016899	7	 Scene	 diff	0
160.368726	1.00032	0.016202	7	 Scene	 diff	0
161.369046	1.000327	0.015492	7	 Scene	 diff	0
162.369373	1.000547	0.014799	7	 Scene	 same	0
163.36992	1.000331	0.013844	7	 Scene	 diff	0
164.370251	1.000325	0.013122	7	 Scene	 diff	0
165.370576	1.000502	0.012414	7	 Scene	 same	0
166.371078	1.000322	0.011644	7	 Scene	 diff	0
167.3714	1.000316	0.0113	7	 Scene	 diff	0
168.371716	1.00033	0.010086	7	 Scene	 diff	0
169.372046	1.000337	0.026083	7	 Scene	 diff	0
170.372383	1.000334	0.025377	7	 Scene	 diff	0
171.372717	1.000315	0.024664	7	 Scene	 diff	0
172.373032	7.99439	172.373032	 fix	 fix	 fix	 n/a
180.367422	1.000319	0.026467	8	 Object	 diff	0
181.367741	1.000329	0.025793	8	 Object	 diff	0
182.36807	1.000355	0.025079	8	 Object	 diff	0
183.368425	1.000337	0.02432	8	 Object	 diff	0
184.368762	1.000547	0.023631	8	 Object	 same	0
185.369309	1.000327	0.022715	8	 Object	 diff	0
186.369636	1.000326	0.021973	8	 Object	 diff	0
187.369962	1.00035	0.021268	8	 Object	 diff	0
188.370312	1.000324	0.020503	8	 Object	 diff	0
189.370636	1.000328	0.019802	8	 Object	 diff	0
190.370964	1.000329	0.01958	8	 Object	 diff	0
191.371293	1.004649	0.018345	8	 Object	 same	1
192.375942	1.00046	0.013306	8	 Object	 diff	0
193.376402	1.000327	0.012455	8	 Object	 diff	0
194.376729	1.00033	0.012043	8	 Object	 diff	0
195.377059	1.000311	0.011424	8	 Object	 diff	0
196.37737	7.990096	196.37737	 fix	 fix	 fix	 n/a
204.367466	1.000347	0.017158	9	 Scene	 diff	0
205.367813	1.000338	0.016437	9	 Scene	 diff	0
206.368151	1.000354	0.015705	9	 Scene	 diff	0
207.368505	1.000364	0.014987	9	 Scene	 diff	0
208.368869	1.000326	0.014342	9	 Scene	 diff	0
209.369195	1.000332	0.013506	9	 Scene	 diff	0
210.369527	1.000532	0.012792	9	 Scene	 same	0
211.370059	1.000327	0.011862	9	 Scene	 diff	0
212.370386	1.000448	0.011533	9	 Scene	 diff	0
213.370834	1.000344	0.010304	9	 Scene	 diff	0
214.371178	1.000345	0.009571	9	 Scene	 diff	0
215.371523	1.004552	0.008898	9	 Scene	 same	1
216.376075	1.000312	0.020573	9	 Scene	 diff	0
217.376387	1.000351	0.019901	9	 Scene	 diff	0
218.376738	1.000488	0.019381	9	 Scene	 diff	0
219.377226	1.000328	0.018288	9	 Scene	 diff	0
220.377554	7.989961	220.377554	 fix	 fix	 fix	 n/a
228.367515	1.000332	0.02458	10	 Object	 diff	0
229.367847	1.000337	0.023863	10	 Object	 diff	0
230.368184	1.000335	0.023144	10	 Object	 diff	0
231.368519	1.000338	0.022463	10	 Object	 diff	0
232.368857	1.000346	0.021731	10	 Object	 diff	0
233.369203	1.000355	0.020981	10	 Object	 diff	0
234.369558	1.000355	0.02047	10	 Object	 diff	0
235.369913	1.000624	0.019442	10	 Object	 same	0
236.370537	1.00034	0.018429	10	 Object	 diff	0
237.370877	1.000376	0.017713	10	 Object	 diff	0
238.371253	1.000333	0.016951	10	 Object	 diff	0
239.371586	1.000345	0.016264	10	 Object	 diff	0
240.371931	1.000339	0.015608	10	 Object	 diff	0
241.37227	1.000261	0.014767	10	 Object	 same	0
242.372531	1.000351	0.01414	10	 Object	 diff	0
243.372882	1.000333	0.013395	10	 Object	 diff	0
244.373215	7.99434	244.373215	 fix	 fix	 fix	 n/a
252.367555	1.000363	0.015245	11	 Scene	 diff	0
253.367918	1.000362	0.014494	11	 Scene	 diff	0
254.36828	1.000343	0.013762	11	 Scene	 diff	0
255.368623	1.000344	0.013016	11	 Scene	 diff	0
256.368967	1.000329	0.012766	11	 Scene	 diff	0
257.369296	1.000383	0.011578	11	 Scene	 diff	0
258.369679	1.000336	0.010796	11	 Scene	 diff	0
259.370015	1.000675	0.010088	11	 Scene	 diff	0
260.37069	1.00034	0.008993	11	 Scene	 diff	0
261.37103	1.000342	0.025006	11	 Scene	 diff	0
262.371372	1.000363	0.024285	11	 Scene	 diff	0
263.371735	1.000344	0.023527	11	 Scene	 same	0
264.372079	1.000325	0.022797	11	 Scene	 diff	0
265.372404	1.00036	0.022116	11	 Scene	 diff	0
266.372764	1.000632	0.021362	11	 Scene	 same	0
267.373396	1.000324	0.020301	11	 Scene	 diff	0
268.37372	7.993877	268.37372	 fix	 fix	 fix	 n/a
276.367597	1.000336	0.022656	12	 Object	 diff	0
277.367933	1.000366	0.021968	12	 Object	 diff	0
278.368299	1.000346	0.021523	12	 Object	 diff	0
279.368645	1.000342	0.020445	12	 Object	 diff	0
280.368987	1.000327	0.019748	12	 Object	 diff	0
281.369314	1.001065	0.018974	12	 Object	 diff	0
282.370379	1.000323	0.017532	12	 Object	 diff	0
283.370702	1.000364	0.016824	12	 Object	 diff	0
284.371066	1.000465	0.016166	12	 Object	 diff	0
285.371531	1.00036	0.015208	12	 Object	 diff	0
286.371891	1.004623	0.014471	12	 Object	 same	1
287.376514	1.000328	0.00943	12	 Object	 diff	0
288.376842	1.000372	0.025485	12	 Object	 diff	0
289.377214	1.000374	0.024697	12	 Object	 diff	0
290.377588	1.000368	0.023911	12	 Object	 same	0
291.377956	1.000346	0.023188	12	 Object	 diff	0
292.378302	12	292.378302	 fix	 fix	 fix	 n/a
