onset	duration	run#	block_kind	current_block	actual_TR	stim_n/ame	fixation_kind	response	RT
0.02	12.0	2	fix	n/a	0	n/a	white	n/a	n/a
12.02	1.98	2	intersection	5	6	intersection4	red	0	9999
14	2.0	2	intersection	5	7	intersection1	red	0	9999
16	2.0	2	intersection	5	8	intersection3	green	1	906.79
18	2.0	2	intersection	5	9	intersection2	red	0	9999
20	2.0	2	intersection	5	10	intersection4	red	0	9999
22	2.0	2	intersection	5	11	intersection2	red	0	9999
24	2.0	2	intersection	5	12	intersection3	red	0	9999
26	2.01	2	intersection	5	13	intersection1	green	1	823.16
28.01	8.02	2	fix	n/a	14	n/a	white	n/a	n/a
36.03	1.97	2	hallway	7	18	hallway2	green	1	1369.86
38	2.0	2	hallway	7	19	hallway1	green	1	1092.13
40	2.0	2	hallway	7	20	hallway3	red	0	9999
42	2.0	2	hallway	7	21	hallway4	red	0	9999
44	2.0	2	hallway	7	22	hallway3	red	0	9999
46	2.0	2	hallway	7	23	hallway4	red	0	9999
48	2.0	2	hallway	7	24	hallway1	red	0	9999
50	2.01	2	hallway	7	25	hallway2	red	0	9999
52.01	8.03	2	fix	n/a	26	n/a	white	n/a	n/a
60.04	1.96	2	ID	3	30	n/a	green	1	1011.43
62	2.0	2	ID	3	31	n/a	red	0	9999
64	2.0	2	ID	3	32	n/a	green	1	869.08
66	2.0	2	ID	3	33	n/a	red	0	9999
68	2.0	2	ID	3	34	n/a	red	0	9999
70	2.0	2	ID	3	35	n/a	red	0	9999
72	2.0	2	ID	3	36	n/a	red	0	9999
74	2.02	2	ID	3	37	n/a	red	0	9999
76.02	8.03	2	fix	n/a	38	n/a	white	n/a	n/a
84.05	1.95	2	SpId	2	42	n/a	red	0	9999
86	2.0	2	SpId	2	43	n/a	green	1	1030.17
88	2.0	2	SpId	2	44	n/a	red	0	9999
90	2.0	2	SpId	2	45	n/a	red	0	9999
92	2.0	2	SpId	2	46	n/a	green	1	1312.64
94	2.0	2	SpId	2	47	n/a	red	0	9999
96	2.0	2	SpId	2	48	n/a	red	0	9999
98	2.01	2	SpId	2	49	n/a	red	0	9999
100.01	8.03	2	fix	n/a	50	n/a	white	n/a	n/a
108.04	1.96	2	scrambledobj	9	54	scrambledobj3	green	1	1364.22
110	2.0	2	scrambledobj	9	55	scrambledobj1	red	0	9999
112	2.0	2	scrambledobj	9	56	scrambledobj2	red	0	9999
114	2.0	2	scrambledobj	9	57	scrambledobj4	red	0	9999
116	2.0	2	scrambledobj	9	58	scrambledobj2	red	0	9999
118	2.0	2	scrambledobj	9	59	scrambledobj3	green	1	833.63
120	2.0	2	scrambledobj	9	60	scrambledobj1	red	0	9999
122	2.02	2	scrambledobj	9	61	scrambledobj4	red	0	9999
