onset	duration	 pic_onset	 block	 block_kind	 picName	 condition	 response
0.014109	12.025136	0.032452	 fix	 fix	 fix	 fix	 n/a
12.039245	1.000524	0.022245	1	 Object	 trunk.jpg	 diff	0
13.039769	1.000309	0.020988	1	 Object	 taperecorder.jpg	 diff	0
14.040078	1.000346	0.020271	1	 Object	 window.jpg	 diff	0
15.040424	1.006093	0.019561	1	 Object	 window.jpg	 same	1
16.046517	1.00031	0.01299	1	 Object	 robot.jpg	 diff	0
17.046827	1.000308	0.012364	1	 Object	 picnic_table.jpg	 diff	0
18.047135	1.00035	0.011697	1	 Object	 ashtray.jpg	 diff	0
19.047485	1.000335	0.011315	1	 Object	 Water-Cooler.jpg	 diff	0
20.04782	1.000339	0.010187	1	 Object	 glasses.jpg	 diff	0
21.048159	1.000333	0.009458	1	 Object	 basket.jpg	 diff	0
22.048492	1.000336	0.025469	1	 Object	 wax_candle.jpg	 diff	0
23.048828	1.000337	0.024735	1	 Object	 kleenex.jpg	 diff	0
24.049165	1.000343	0.024022	1	 Object	 armyknife.jpg	 diff	0
25.049508	1.00035	0.023274	1	 Object	 rubik-origin/al.jpg	 diff	0
26.049858	1.000346	0.022544	1	 Object	 rubik-origin/al.jpg	 same	0
27.050204	1.001081	0.02183	1	 Object	 pen.jpg	 diff	0
28.051285	7.984937	28.051285	 fix	 fix	 fix	 fix	 n/a
36.036222	1.000344	0.015652	2	 Scene	 sun_ahiphsekjihkafsl.jpg	 diff	0
37.036566	1.000348	0.015019	2	 Scene	 sun_alelnnyvuqcrjaqz.jpg	 diff	0
38.036914	1.000348	0.014203	2	 Scene	 house (34).jpg	 diff	0
39.037262	1.000339	0.013477	2	 Scene	 article-new_ehow_images_a04_ts_nq_implement-small-living-room-design-800x800.jpg	 diff	0
40.037601	1.000344	0.012722	2	 Scene	 house (19).jpg	 diff	0
41.037945	1.000355	0.011995	2	 Scene	 Kitchen NW.JPG	 diff	0
42.0383	1.000348	0.011362	2	 Scene	 baseballField.jpg	 diff	0
43.038648	1.000349	0.010503	2	 Scene	 sun_bbwlgfnxaocrxula.jpg	 diff	0
44.038997	1.000342	0.009774	2	 Scene	 sun_djdeitrckcbvpdam.jpg	 diff	0
45.039339	1.00035	0.025735	2	 Scene	 sun_aowymmyymtohyobt.jpg	 diff	0
46.039689	1.000343	0.025004	2	 Scene	 sun_aowymmyymtohyobt.jpg	 same	0
47.040032	1.000366	0.02428	2	 Scene	 wilderness.jpg	 diff	0
48.040398	1.000331	0.02355	2	 Scene	 sun_bgmhznufwrnnqfse.jpg	 diff	0
49.040729	1.000614	0.02282	2	 Scene	 sun_bgmhznufwrnnqfse.jpg	 same	0
50.041343	1.000421	0.021908	2	 Scene	 playground1.jpg	 diff	0
51.041764	1.000325	0.021083	2	 Scene	 sun_aggkercxcokysdyb.jpg	 diff	0
52.042089	7.994159	52.042089	 fix	 fix	 fix	 fix	 n/a
60.036248	1.000347	0.023104	3	 Object	 tree.jpg	 diff	0
61.036595	1.00035	0.022334	3	 Object	 barrel.jpg	 diff	0
62.036945	1.000341	0.021614	3	 Object	 binoculars.jpg	 diff	0
63.037286	1.00035	0.02088	3	 Object	 binoculars.jpg	 same	0
64.037636	1.000337	0.020122	3	 Object	 folding_chair.jpg	 diff	0
65.037973	1.000361	0.019431	3	 Object	 key.jpg	 diff	0
66.038334	1.004626	0.018664	3	 Object	 key.jpg	 same	1
67.04296	1.000293	0.013654	3	 Object	 Baseball_cap.jpg	 diff	0
68.043253	1.000309	0.012963	3	 Object	 brass_bell.jpg	 diff	0
69.043562	1.000332	0.012281	3	 Object	 ac.jpg	 diff	0
70.043894	1.000342	0.011554	3	 Object	 menshoes.jpg	 diff	0
71.044236	1.000342	0.01139	3	 Object	 radio1.jpg	 diff	0
72.044578	1.000339	0.01006	3	 Object	 radiator.jpg	 diff	0
73.044917	1.000338	0.009336	3	 Object	 cart.jpg	 diff	0
74.045255	1.000303	0.025337	3	 Object	 calculator01.jpg	 diff	0
75.045558	1.000319	0.024672	3	 Object	 lock.jpg	 diff	0
76.045877	7.99042	76.045877	 fix	 fix	 fix	 fix	 n/a
84.036297	1.000357	0.014784	4	 Scene	 sun_aakhldepajyducxp.jpg	 diff	0
85.036654	1.000336	0.013015	4	 Scene	 fountain.jpg	 diff	0
86.03699	1.000337	0.012293	4	 Scene	 kitchen3.jpg	 diff	0
87.037327	1.000331	0.011573	4	 Scene	 house (28).jpg	 diff	0
88.037658	1.00034	0.011216	4	 Scene	 country-house-bedroom-design-ideas-585x587.jpg	 diff	0
89.037998	1.004538	0.010111	4	 Scene	 country-house-bedroom-design-ideas-585x587.jpg	 same	1
90.042536	1.000501	0.021927	4	 Scene	 clothingStore.jpg	 diff	0
91.043037	1.000311	0.020997	4	 Scene	 Laundromat.JPG	 diff	0
92.043348	1.000311	0.020324	4	 Scene	 farm.jpg	 diff	0
93.043659	1.000337	0.019618	4	 Scene	 sun_agpxkgsdlobslcpl.jpg	 diff	0
94.043996	1.000328	0.01888	4	 Scene	 hairSalon.jpg	 diff	0
95.044324	1.00032	0.01818	4	 Scene	 house (33).jpg	 diff	0
96.044644	1.00033	0.017463	4	 Scene	 sun_abokeplpazkdxpps.jpg	 diff	0
97.044974	1.000336	0.016758	4	 Scene	 boat.jpg	 diff	0
98.04531	1.000326	0.016023	4	 Scene	 boat.jpg	 same	0
99.045636	1.000312	0.015317	4	 Scene	 office.jpg	 diff	0
100.045948	7.9904	100.045948	 fix	 fix	 fix	 fix	 n/a
108.036348	1.000322	0.021159	5	 Object	 garbage.jpg	 diff	0
109.03667	1.00035	0.020432	5	 Object	 sattelitedish.jpg	 diff	0
110.03702	1.000315	0.019714	5	 Object	 good-duffel.jpg	 diff	0
111.037335	1.005967	0.019017	5	 Object	 good-duffel.jpg	 same	1
112.043302	1.000312	0.012869	5	 Object	 water.jpg	 diff	0
113.043614	1.000355	0.011939	5	 Object	 cookie.JPG	 diff	0
114.043969	1.000343	0.011458	5	 Object	 box01.jpg	 diff	0
115.044312	1.004581	0.010454	5	 Object	 box01.jpg	 same	1
116.048893	1.000547	0.022172	5	 Object	 cassette.jpg	 diff	0
117.04944	1.00033	0.021244	5	 Object	 bench.jpg	 diff	0
118.04977	1.000335	0.020541	5	 Object	 jar.jpg	 diff	0
119.050105	1.000354	0.019828	5	 Object	 Newspaper.jpg	 diff	0
120.050459	1.000339	0.019084	5	 Object	 pizza_box.jpg	 diff	0
121.050798	1.000331	0.018354	5	 Object	 step_stool.jpg	 diff	0
