onset	duration	run#	block_kind	current_block	actual_TR	stim_n/ame	fixation_kind	response	RT
0.02	12.0	2	fix	n/a	0	n/a	white	n/a	n/a
12.02	1.98	2	NC	4	6	n/a	green	1	1521.74
14	2.0	2	NC	4	7	n/a	red	0	9999
16	2.0	2	NC	4	8	n/a	red	0	9999
18	2.0	2	NC	4	9	n/a	red	0	9999
20	2.0	2	NC	4	10	n/a	red	0	9999
22	2.0	2	NC	4	11	n/a	red	0	9999
24	2.0	2	NC	4	12	n/a	red	0	9999
26	2.01	2	NC	4	13	n/a	green	1	470.62
28.01	8.02	2	fix	n/a	14	n/a	white	n/a	n/a
36.03	1.97	2	Sp	1	18	n/a	red	0	9999
38	2.0	2	Sp	1	19	n/a	green	1	604.33
40	2.0	2	Sp	1	20	n/a	red	0	9999
42	2.0	2	Sp	1	21	n/a	red	0	9999
44	2.0	2	Sp	1	22	n/a	green	1	470.61
46	2.0	2	Sp	1	23	n/a	red	0	9999
48	2.0	2	Sp	1	24	n/a	red	0	9999
50	2.01	2	Sp	1	25	n/a	red	0	9999
52.01	8.03	2	fix	n/a	26	n/a	white	n/a	n/a
60.04	1.96	2	scrambledobj	9	30	scrambledobj2	green	1	625.15
62	2.0	2	scrambledobj	9	31	scrambledobj4	red	0	9999
64	2.0	2	scrambledobj	9	32	scrambledobj1	red	0	9999
66	2.0	2	scrambledobj	9	33	scrambledobj3	green	1	574.1
68	2.0	2	scrambledobj	9	34	scrambledobj3	red	0	9999
70	2.0	2	scrambledobj	9	35	scrambledobj4	red	0	9999
72	2.0	2	scrambledobj	9	36	scrambledobj2	red	0	9999
74	2.0	2	scrambledobj	9	37	scrambledobj1	red	0	9999
76	8.03	2	fix	n/a	38	n/a	white	n/a	n/a
84.03	1.97	2	wkobj	8	42	wkobj4	red	0	9999
86	2.0	2	wkobj	8	43	wkobj2	red	0	9999
88	2.0	2	wkobj	8	44	wkobj3	red	0	9999
90	2.0	2	wkobj	8	45	wkobj1	red	0	9999
92	2.0	2	wkobj	8	46	wkobj1	red	0	9999
94	2.0	2	wkobj	8	47	wkobj4	red	0	9999
96	2.0	2	wkobj	8	48	wkobj2	green	1	673.12
98	2.01	2	wkobj	8	49	wkobj3	green	1	617.04
100.01	8.03	2	fix	n/a	50	n/a	white	n/a	n/a
108.04	1.96	2	longroad	6	54	longroad2	red	0	9999
110	2.0	2	longroad	6	55	longroad4	green	1	662.3
112	2.0	2	longroad	6	56	longroad3	red	0	9999
114	2.0	2	longroad	6	57	longroad1	red	0	9999
116	2.0	2	longroad	6	58	longroad2	green	1	912.14
118	2.0	2	longroad	6	59	longroad1	red	0	9999
120	2.0	2	longroad	6	60	longroad3	red	0	9999
122	2.02	2	longroad	6	61	longroad4	red	0	9999
124.02	8.03	2	fix	n/a	62	n/a	white	n/a	n/a
132.05	1.95	2	intersection	5	66	intersection2	red	0	9999
134	2.0	2	intersection	5	67	intersection4	red	0	9999
136	2.0	2	intersection	5	68	intersection3	red	0	9999
138	2.0	2	intersection	5	69	intersection1	red	0	9999
140	2.0	2	intersection	5	70	intersection1	red	0	9999
142	2.0	2	intersection	5	71	intersection4	green	1	865
144	2.0	2	intersection	5	72	intersection3	green	1	833.96
146	2.01	2	intersection	5	73	intersection2	red	0	9999
148.01	8.03	2	fix	n/a	74	n/a	white	n/a	n/a
156.04	1.96	2	ID	3	78	n/a	red	0	9999
158	2.0	2	ID	3	79	n/a	red	0	9999
160	2.0	2	ID	3	80	n/a	red	0	9999
162	2.0	2	ID	3	81	n/a	green	1	554.14
164	2.0	2	ID	3	82	n/a	red	0	9999
166	2.0	2	ID	3	83	n/a	red	0	9999
168	2.0	2	ID	3	84	n/a	red	0	9999
170	2.02	2	ID	3	85	n/a	green	1	517.27
172.02	8.03	2	fix	n/a	86	n/a	white	n/a	n/a
180.05	1.95	2	hallway	7	90	hallway3	red	0	9999
182	2.0	2	hallway	7	91	hallway1	red	0	9999
184	2.0	2	hallway	7	92	hallway2	red	0	9999
186	2.0	2	hallway	7	93	hallway4	green	1	761.53
188	2.0	2	hallway	7	94	hallway1	red	0	9999
190	2.0	2	hallway	7	95	hallway3	red	0	9999
192	2.0	2	hallway	7	96	hallway4	red	0	9999
194	2.01	2	hallway	7	97	hallway2	green	1	540.25
196.01	8.03	2	fix	n/a	98	n/a	white	n/a	n/a
204.04	1.96	2	SpId	2	102	n/a	red	0	9999
206	2.0	2	SpId	2	103	n/a	red	0	9999
208	2.0	2	SpId	2	104	n/a	red	0	9999
210	2.0	2	SpId	2	105	n/a	red	0	9999
212	2.0	2	SpId	2	106	n/a	red	0	9999
214	2.0	2	SpId	2	107	n/a	green	1	548.41
