onset	duration	run#	block_kind	current_block	actual_TR	stim_n/ame	fixation_kind	response	RT
0.01	12.02	1	fix	n/a	0	n/a	white	n/a	n/a
12.03	1.98	1	hallway	7	6	hallway2	red	0	9999
14.01	1.99	1	hallway	7	7	hallway4	red	0	9999
16	2.0	1	hallway	7	8	hallway3	red	0	9999
18	2.0	1	hallway	7	9	hallway1	red	0	9999
20	2.0	1	hallway	7	10	hallway2	green	1	811.55
22	2.0	1	hallway	7	11	hallway3	green	1	996.32
24	2.0	1	hallway	7	12	hallway1	red	0	9999
26	2.02	1	hallway	7	13	hallway4	red	0	9999
28.02	8.03	1	fix	n/a	14	n/a	white	n/a	n/a
36.05	1.96	1	ID	3	18	n/a	red	0	9999
38.01	1.99	1	ID	3	19	n/a	red	0	9999
40	2.0	1	ID	3	20	n/a	red	0	9999
42	2.0	1	ID	3	21	n/a	green	1	764.53
44	2.0	1	ID	3	22	n/a	red	0	9999
46	2.0	1	ID	3	23	n/a	green	1	806.57
48	2.0	1	ID	3	24	n/a	red	0	9999
50	2.01	1	ID	3	25	n/a	red	0	9999
52.01	8.03	1	fix	n/a	26	n/a	white	n/a	n/a
60.04	1.96	1	Sp	1	30	n/a	red	0	9999
62	2.0	1	Sp	1	31	n/a	red	0	9999
64	2.0	1	Sp	1	32	n/a	green	1	852.64
66	2.0	1	Sp	1	33	n/a	green	1	1750.27
68	2.0	1	Sp	1	34	n/a	red	1	0.47
70	2.0	1	Sp	1	35	n/a	red	0	9999
72	2.0	1	Sp	1	36	n/a	red	0	9999
74	2.02	1	Sp	1	37	n/a	red	0	9999
76.02	8.02	1	fix	n/a	38	n/a	white	n/a	n/a
84.04	1.96	1	NC	4	42	n/a	red	0	9999
86	2.0	1	NC	4	43	n/a	green	1	652.65
88	2.0	1	NC	4	44	n/a	red	0	9999
90	2.0	1	NC	4	45	n/a	red	0	9999
92	2.0	1	NC	4	46	n/a	red	0	9999
94	2.0	1	NC	4	47	n/a	green	1	816.22
96	2.0	1	NC	4	48	n/a	red	0	9999
98	2.01	1	NC	4	49	n/a	red	0	9999
100.01	8.02	1	fix	n/a	50	n/a	white	n/a	n/a
108.03	1.97	1	SpId	2	54	n/a	red	0	9999
110	2.0	1	SpId	2	55	n/a	red	0	9999
112	2.0	1	SpId	2	56	n/a	red	0	9999
114	2.0	1	SpId	2	57	n/a	green	1	695.27
116	2.0	1	SpId	2	58	n/a	red	0	9999
118	2.0	1	SpId	2	59	n/a	red	0	9999
120	2.0	1	SpId	2	60	n/a	green	1	817.67
122	2.02	1	SpId	2	61	n/a	red	0	9999
124.02	8.02	1	fix	n/a	62	n/a	white	n/a	n/a
132.04	1.97	1	wkobj	8	66	wkobj3	red	0	9999
134.01	1.99	1	wkobj	8	67	wkobj4	green	1	814.18
136	2.0	1	wkobj	8	68	wkobj2	red	0	9999
138	2.0	1	wkobj	8	69	wkobj1	red	0	9999
140	2.0	1	wkobj	8	70	wkobj2	green	1	929.28
142	2.0	1	wkobj	8	71	wkobj1	red	0	9999
144	2.0	1	wkobj	8	72	wkobj3	red	0	9999
146	2.01	1	wkobj	8	73	wkobj4	red	0	9999
148.01	8.03	1	fix	n/a	74	n/a	white	n/a	n/a
156.04	1.96	1	longroad	6	78	longroad3	red	0	9999
158	2.0	1	longroad	6	79	longroad1	green	1	726.67
160	2.0	1	longroad	6	80	longroad2	red	0	9999
162	2.0	1	longroad	6	81	longroad4	red	0	9999
164	2.0	1	longroad	6	82	longroad3	red	0	9999
166	2.0	1	longroad	6	83	longroad2	red	0	9999
168	2.0	1	longroad	6	84	longroad1	green	1	674.94
170	2.01	1	longroad	6	85	longroad4	red	0	9999
172.01	8.03	1	fix	n/a	86	n/a	white	n/a	n/a
180.04	1.96	1	scrambledobj	9	90	scrambledobj1	red	0	9999
182	2.0	1	scrambledobj	9	91	scrambledobj2	red	0	9999
184	2.0	1	scrambledobj	9	92	scrambledobj3	red	0	9999
186	2.0	1	scrambledobj	9	93	scrambledobj4	red	0	9999
188	2.0	1	scrambledobj	9	94	scrambledobj2	red	0	9999
190	2.0	1	scrambledobj	9	95	scrambledobj3	red	0	9999
192	2.0	1	scrambledobj	9	96	scrambledobj1	green	1	756.11
194	2.01	1	scrambledobj	9	97	scrambledobj4	green	1	1004.72
196.01	8.02	1	fix	n/a	98	n/a	white	n/a	n/a
204.03	1.97	1	intersection	5	102	intersection4	red	0	9999
206	2.0	1	intersection	5	103	intersection1	red	0	9999
208	2.0	1	intersection	5	104	intersection2	green	1	849.77
210	2.0	1	intersection	5	105	intersection3	red	0	9999
212	2.0	1	intersection	5	106	intersection3	red	0	9999
214	2.0	1	intersection	5	107	intersection4	green	1	827.21
216	2.0	1	intersection	5	108	intersection2	red	0	9999
218	2.01	1	intersection	5	109	intersection1	red	0	9999
220.01	8.03	1	fix	n/a	110	n/a	white	n/a	n/a
228.04	1.96	1	NC	4	114	n/a	red	0	9999
230	2.0	1	NC	4	115	n/a	green	1	993.79
232	2.0	1	NC	4	116	n/a	red	0	9999
234	2.0	1	NC	4	117	n/a	green	1	851.27
236	2.0	1	NC	4	118	n/a	red	0	9999
238	2.0	1	NC	4	119	n/a	red	0	9999
240	2.0	1	NC	4	120	n/a	red	0	9999
