onset	duration	run#	block_kind	current_block	actual_TR	stim_n/ame	fixation_kind	response	RT
0.01	12.0	2	fix	n/a	0	n/a	white	n/a	n/a
12.01	1.99	2	ID	3	6	n/a	red	0	9999
14	2.0	2	ID	3	7	n/a	red	0	9999
16	2.0	2	ID	3	8	n/a	green	1	803.29
18	2.0	2	ID	3	9	n/a	red	0	9999
20	2.0	2	ID	3	10	n/a	red	0	9999
22	2.0	2	ID	3	11	n/a	red	0	9999
24	2.0	2	ID	3	12	n/a	red	0	9999
26	2.02	2	ID	3	13	n/a	green	1	838.56
28.02	8.02	2	fix	n/a	14	n/a	white	n/a	n/a
36.04	1.96	2	wkobj	8	18	wkobj2	red	0	9999
38	2.0	2	wkobj	8	19	wkobj1	red	0	9999
40	2.0	2	wkobj	8	20	wkobj3	red	0	9999
42	2.0	2	wkobj	8	21	wkobj4	green	1	988.19
44	2.0	2	wkobj	8	22	wkobj4	red	0	9999
46	2.0	2	wkobj	8	23	wkobj2	red	0	9999
48	2.0	2	wkobj	8	24	wkobj1	red	0	9999
50	2.01	2	wkobj	8	25	wkobj3	green	1	967.56
52.01	8.02	2	fix	n/a	26	n/a	white	n/a	n/a
60.03	1.97	2	scrambledobj	9	30	scrambledobj2	red	0	9999
62	2.0	2	scrambledobj	9	31	scrambledobj4	red	0	9999
64	2.0	2	scrambledobj	9	32	scrambledobj3	green	1	844.04
66	2.0	2	scrambledobj	9	33	scrambledobj1	red	0	9999
68	2.0	2	scrambledobj	9	34	scrambledobj3	green	1	974.36
70	2.0	2	scrambledobj	9	35	scrambledobj1	red	0	9999
72	2.0	2	scrambledobj	9	36	scrambledobj4	red	0	9999
74	2.01	2	scrambledobj	9	37	scrambledobj2	red	0	9999
76.01	8.03	2	fix	n/a	38	n/a	white	n/a	n/a
84.04	1.96	2	NC	4	42	n/a	green	1	794.49
86	2.0	2	NC	4	43	n/a	red	0	9999
88	2.0	2	NC	4	44	n/a	red	0	9999
90	2.0	2	NC	4	45	n/a	red	0	9999
92	2.0	2	NC	4	46	n/a	green	1	767.01
94	2.0	2	NC	4	47	n/a	red	0	9999
96	2.0	2	NC	4	48	n/a	red	0	9999
98	2.0	2	NC	4	49	n/a	red	0	9999
100	8.03	2	fix	n/a	50	n/a	white	n/a	n/a
108.03	1.97	2	intersection	5	54	intersection2	green	1	851.47
110	2.0	2	intersection	5	55	intersection1	green	1	949.39
112	2.0	2	intersection	5	56	intersection3	red	0	9999
114	2.0	2	intersection	5	57	intersection4	red	0	9999
116	2.0	2	intersection	5	58	intersection4	red	0	9999
118	2.0	2	intersection	5	59	intersection2	red	0	9999
120	2.0	2	intersection	5	60	intersection3	red	0	9999
122	2.01	2	intersection	5	61	intersection1	red	0	9999
124.01	8.03	2	fix	n/a	62	n/a	white	n/a	n/a
132.04	1.96	2	hallway	7	66	hallway2	red	0	9999
134	2.0	2	hallway	7	67	hallway1	red	0	9999
136	2.0	2	hallway	7	68	hallway3	red	0	9999
138	2.0	2	hallway	7	69	hallway4	green	1	823.62
140	2.0	2	hallway	7	70	hallway3	green	1	1104.75
142	2.0	2	hallway	7	71	hallway1	red	0	9999
144	2.0	2	hallway	7	72	hallway4	red	0	9999
