onset	duration	 pic_onset	 block	 block_kind	 condition	 response
0.013582	12.022713	0.02914	 fix	 fix	 fix	 n/a
12.036295	1.000538	0.022364	1	 Scene	 diff	0
13.036833	1.000314	0.020646	1	 Scene	 diff	0
14.037147	1.000353	0.01991	1	 Scene	 diff	0
15.0375	1.000378	0.019163	1	 Scene	 diff	0
16.037878	1.000351	0.018422	1	 Scene	 diff	0
17.038229	1.00075	0.017659	1	 Scene	 diff	0
18.038979	1.000347	0.016559	1	 Scene	 diff	0
19.039326	1.000308	0.015797	1	 Scene	 diff	0
20.039634	1.00034	0.015101	1	 Scene	 diff	0
21.039974	1.000335	0.014384	1	 Scene	 diff	0
22.040309	1.000335	0.013683	1	 Scene	 diff	0
23.040644	1.005118	0.012932	1	 Scene	 same	1
24.045762	1.000293	0.02411	1	 Scene	 diff	0
25.046055	1.004538	0.023506	1	 Scene	 same	1
26.050593	1.000373	0.018472	1	 Scene	 diff	0
27.050966	1.000949	0.017744	1	 Scene	 diff	0
28.051915	7.981111	28.051915	 fix	 fix	 fix	 n/a
36.033026	1.000685	0.015537	2	 Object	 diff	0
37.033711	1.000209	0.014604	2	 Object	 diff	0
38.03392	1.000332	0.013898	2	 Object	 diff	0
39.034252	1.004697	0.013259	2	 Object	 same	1
40.038949	1.000299	0.008033	2	 Object	 diff	0
41.039248	1.000319	0.02408	2	 Object	 diff	0
42.039567	1.004626	0.023373	2	 Object	 same	1
43.044193	1.000298	0.018309	2	 Object	 diff	0
44.044491	1.000362	0.017677	2	 Object	 diff	0
45.044853	1.00035	0.01692	2	 Object	 diff	0
46.045203	1.000336	0.016183	2	 Object	 diff	0
47.045539	1.000333	0.015456	2	 Object	 diff	0
48.045872	1.000339	0.014735	2	 Object	 diff	0
49.046211	1.00033	0.014043	2	 Object	 diff	0
50.046541	1.000337	0.013306	2	 Object	 diff	0
51.046878	1.000318	0.01257	2	 Object	 diff	0
52.047196	7.98588	52.047196	 fix	 fix	 fix	 n/a
60.033076	1.000336	0.022931	3	 Scene	 diff	0
61.033412	1.004614	0.022272	3	 Scene	 same	1
62.038026	1.000499	0.0172	3	 Scene	 diff	0
63.038525	1.00032	0.016308	3	 Scene	 diff	0
64.038845	1.000299	0.015615	3	 Scene	 diff	0
65.039144	1.00034	0.014946	3	 Scene	 diff	0
66.039484	1.004621	0.01418	3	 Scene	 same	1
67.044105	1.00031	0.009151	3	 Scene	 diff	0
68.044415	1.000411	0.025204	3	 Scene	 diff	0
69.044826	1.000355	0.024397	3	 Scene	 diff	0
70.045181	1.000408	0.023643	3	 Scene	 diff	0
71.045589	1.000349	0.022849	3	 Scene	 diff	0
72.045938	1.000341	0.022316	3	 Scene	 diff	0
