onset	duration	run#	block_kind	current_block	actual_TR	stim_n/ame	fixation_kind	response	RT
0.02	12.02	1	fix	n/a	0	n/a	white	n/a	n/a
12.04	1.97	1	longroad	6	6	longroad3	red	0	9999
14.01	1.99	1	longroad	6	7	longroad1	green	1	699.67
16	2.0	1	longroad	6	8	longroad2	red	0	9999
18	2.0	1	longroad	6	9	longroad4	green	1	358.08
20	2.0	1	longroad	6	10	longroad1	red	0	9999
22	2.0	1	longroad	6	11	longroad4	red	1	304.36
24	2.0	1	longroad	6	12	longroad2	red	0	9999
26	2.01	1	longroad	6	13	longroad3	red	0	9999
28.01	8.02	1	fix	n/a	14	n/a	white	n/a	n/a
36.03	1.97	1	intersection	5	18	intersection4	red	0	9999
38	2.0	1	intersection	5	19	intersection2	green	1	512.85
40	2.0	1	intersection	5	20	intersection3	red	0	9999
42	2.0	1	intersection	5	21	intersection1	red	1	336.91
44	2.0	1	intersection	5	22	intersection1	red	0	9999
46	2.0	1	intersection	5	23	intersection4	green	1	673.76
48	2.0	1	intersection	5	24	intersection3	red	0	9999
50	2.01	1	intersection	5	25	intersection2	red	0	9999
52.01	8.03	1	fix	n/a	26	n/a	white	n/a	n/a
60.04	1.96	1	wkobj	8	30	wkobj4	red	0	9999
62	2.0	1	wkobj	8	31	wkobj1	red	0	9999
64	2.0	1	wkobj	8	32	wkobj3	red	0	9999
66	2.0	1	wkobj	8	33	wkobj2	red	0	9999
68	2.0	1	wkobj	8	34	wkobj2	red	0	9999
70	2.0	1	wkobj	8	35	wkobj1	green	1	825.69
72	2.0	1	wkobj	8	36	wkobj4	red	0	9999
74	2.01	1	wkobj	8	37	wkobj3	green	1	723.6
76.01	8.02	1	fix	n/a	38	n/a	white	n/a	n/a
84.03	1.97	1	Sp	1	42	n/a	red	0	9999
86	2.0	1	Sp	1	43	n/a	red	0	9999
88	2.0	1	Sp	1	44	n/a	green	1	745.76
90	2.0	1	Sp	1	45	n/a	red	0	9999
92	2.0	1	Sp	1	46	n/a	red	0	9999
94	2.0	1	Sp	1	47	n/a	red	0	9999
96	2.0	1	Sp	1	48	n/a	green	1	444.64
98	2.01	1	Sp	1	49	n/a	red	0	9999
100.01	8.03	1	fix	n/a	50	n/a	white	n/a	n/a
