onset	duration	run#	block_kind	current_block	actual_TR	stim_n/ame	fixation_kind	response	RT
0.01	12.01	2	fix	n/a	0	n/a	white	n/a	n/a
12.02	1.98	2	Sp	1	6	n/a	red	0	9999
14	2.0	2	Sp	1	7	n/a	red	0	9999
16	2.0	2	Sp	1	8	n/a	red	0	9999
18	2.0	2	Sp	1	9	n/a	green	1	439.05
20	2.0	2	Sp	1	10	n/a	red	0	9999
22	2.0	2	Sp	1	11	n/a	green	1	529.19
24	2.0	2	Sp	1	12	n/a	red	0	9999
26	2.02	2	Sp	1	13	n/a	red	0	9999
28.02	8.02	2	fix	n/a	14	n/a	white	n/a	n/a
36.04	1.96	2	hallway	7	18	hallway1	red	0	9999
38	2.0	2	hallway	7	19	hallway4	red	0	9999
40	2.0	2	hallway	7	20	hallway3	red	0	9999
42	2.0	2	hallway	7	21	hallway2	red	0	9999
44	2.0	2	hallway	7	22	hallway4	red	0	9999
46	2.0	2	hallway	7	23	hallway3	green	1	642.08
48	2.0	2	hallway	7	24	hallway2	green	1	883.71
50	2.01	2	hallway	7	25	hallway1	red	0	9999
52.01	8.02	2	fix	n/a	26	n/a	white	n/a	n/a
60.03	1.97	2	wkobj	8	30	wkobj2	red	0	9999
62	2.0	2	wkobj	8	31	wkobj4	red	0	9999
64	2.0	2	wkobj	8	32	wkobj1	red	0	9999
66	2.0	2	wkobj	8	33	wkobj3	red	0	9999
68	2.0	2	wkobj	8	34	wkobj1	green	1	562.74
70	2.0	2	wkobj	8	35	wkobj2	red	0	9999
72	2.0	2	wkobj	8	36	wkobj4	red	0	9999
74	2.02	2	wkobj	8	37	wkobj3	green	1	524.11
76.02	8.02	2	fix	n/a	38	n/a	white	n/a	n/a
84.04	1.96	2	ID	3	42	n/a	green	1	791.03
86	2.0	2	ID	3	43	n/a	red	0	9999
88	2.0	2	ID	3	44	n/a	red	0	9999
90	2.0	2	ID	3	45	n/a	red	0	9999
92	2.0	2	ID	3	46	n/a	red	0	9999
94	2.0	2	ID	3	47	n/a	red	0	9999
96	2.0	2	ID	3	48	n/a	green	1	604.86
98	2.01	2	ID	3	49	n/a	red	0	9999
100.01	8.02	2	fix	n/a	50	n/a	white	n/a	n/a
108.03	1.97	2	NC	4	54	n/a	red	0	9999
110	2.0	2	NC	4	55	n/a	red	0	9999
112	2.0	2	NC	4	56	n/a	green	1	578.97
114	2.0	2	NC	4	57	n/a	red	0	9999
116	2.0	2	NC	4	58	n/a	green	1	572.46
118	2.0	2	NC	4	59	n/a	red	0	9999
120	2.0	2	NC	4	60	n/a	red	0	9999
122	2.02	2	NC	4	61	n/a	red	0	9999
124.02	8.02	2	fix	n/a	62	n/a	white	n/a	n/a
132.04	1.96	2	longroad	6	66	longroad4	green	1	735.78
134	2.0	2	longroad	6	67	longroad3	red	0	9999
