onset	duration	run#	current_block	block_kind	actual_TR	stim_n/ame	fixation_kind	response	RT
0.01	12.0	2	n/a	fix	0	n/a	white	n/a	n/a
12.01	1.99	2	5	intersection	6	intersection1	red	0	9999
14	2.0	2	5	intersection	7	intersection3	red	0	9999
16	2.0	2	5	intersection	8	intersection4	red	0	9999
18	2.0	2	5	intersection	9	intersection2	red	0	9999
20	2.0	2	5	intersection	10	intersection3	green	1	742.63
22	2.0	2	5	intersection	11	intersection4	red	0	9999
24	2.0	2	5	intersection	12	intersection1	green	1	575.91
26	2.01	2	5	intersection	13	intersection2	red	0	9999
28.01	8.02	2	n/a	fix	14	n/a	white	n/a	n/a
36.03	1.97	2	3	ID	18	n/a	red	0	9999
38	2.0	2	3	ID	19	n/a	red	0	9999
40	2.0	2	3	ID	20	n/a	green	1	710.31
42	2.0	2	3	ID	21	n/a	red	0	9999
44	2.0	2	3	ID	22	n/a	green	1	599.96
46	2.0	2	3	ID	23	n/a	red	0	9999
48	2.0	2	3	ID	24	n/a	red	0	9999
50	2.02	2	3	ID	25	n/a	red	0	9999
52.02	8.02	2	n/a	fix	26	n/a	white	n/a	n/a
60.04	1.96	2	1	Sp	30	n/a	green	1	964.17
62	2.0	2	1	Sp	31	n/a	red	0	9999
64	2.0	2	1	Sp	32	n/a	red	0	9999
66	2.0	2	1	Sp	33	n/a	red	0	9999
68	2.0	2	1	Sp	34	n/a	red	0	9999
70	2.0	2	1	Sp	35	n/a	red	0	9999
72	2.0	2	1	Sp	36	n/a	green	1	810.22
74	2.01	2	1	Sp	37	n/a	red	0	9999
76.01	8.02	2	n/a	fix	38	n/a	white	n/a	n/a
84.03	1.97	2	6	longroad	42	longroad4	red	0	9999
86	2.0	2	6	longroad	43	longroad2	red	0	9999
88	2.0	2	6	longroad	44	longroad1	red	0	9999
90	2.0	2	6	longroad	45	longroad3	green	1	617.35
92	2.0	2	6	longroad	46	longroad2	red	0	9999
94	2.0	2	6	longroad	47	longroad3	green	1	681.83
96	2.0	2	6	longroad	48	longroad4	red	0	9999
98	2.02	2	6	longroad	49	longroad1	red	0	9999
100.02	8.02	2	n/a	fix	50	n/a	white	n/a	n/a
108.04	1.96	2	7	hallway	54	hallway2	green	1	1062.16
110	2.0	2	7	hallway	55	hallway3	red	0	9999
112	2.0	2	7	hallway	56	hallway4	red	0	9999
114	2.0	2	7	hallway	57	hallway1	red	0	9999
116	2.0	2	7	hallway	58	hallway3	red	0	9999
118	2.0	2	7	hallway	59	hallway4	red	0	9999
120	2.0	2	7	hallway	60	hallway1	red	0	9999
122	2.01	2	7	hallway	61	hallway2	green	1	851.64
124.01	8.02	2	n/a	fix	62	n/a	white	n/a	n/a
132.03	1.97	2	9	scrambledobj	66	scrambledobj2	red	0	9999
134	2.0	2	9	scrambledobj	67	scrambledobj3	red	0	9999
136	2.0	2	9	scrambledobj	68	scrambledobj4	red	0	9999
138	2.0	2	9	scrambledobj	69	scrambledobj1	red	0	9999
140	2.0	2	9	scrambledobj	70	scrambledobj4	red	0	9999
142	2.0	2	9	scrambledobj	71	scrambledobj2	red	0	9999
144	2.0	2	9	scrambledobj	72	scrambledobj3	green	1	588.11
146	2.02	2	9	scrambledobj	73	scrambledobj1	green	1	788.93
148.02	8.02	2	n/a	fix	74	n/a	white	n/a	n/a
156.04	1.96	2	2	SpId	78	n/a	red	0	9999
158	2.0	2	2	SpId	79	n/a	red	0	9999
160	2.0	2	2	SpId	80	n/a	green	1	1322.37
162	2.0	2	2	SpId	81	n/a	red	0	9999
164	2.0	2	2	SpId	82	n/a	red	0	9999
