onset	duration	run#	current_block	block_kind	actual_TR	stim_n/ame	fixation_kind	response	RT
166	2.0	2	2	SpId	83	n/a	red	0	9999
168	2.0	2	2	SpId	84	n/a	green	1	645.96
170	2.01	2	2	SpId	85	n/a	red	0	9999
172.01	8.02	2	n/a	fix	86	n/a	white	n/a	n/a
180.03	1.97	2	8	wkobj	90	wkobj3	red	0	9999
182	2.0	2	8	wkobj	91	wkobj1	red	0	9999
184	2.0	2	8	wkobj	92	wkobj4	green	1	715.98
186	2.0	2	8	wkobj	93	wkobj2	red	0	9999
188	2.0	2	8	wkobj	94	wkobj4	green	1	1564.52
190	2.0	2	8	wkobj	95	wkobj2	red	0	9999
192	2.0	2	8	wkobj	96	wkobj1	red	0	9999
194	2.01	2	8	wkobj	97	wkobj3	red	0	9999
196.01	8.03	2	n/a	fix	98	n/a	white	n/a	n/a
204.04	1.96	2	4	NC	102	n/a	red	0	9999
206	2.0	2	4	NC	103	n/a	red	0	9999
208	2.0	2	4	NC	104	n/a	green	1	732.55
210	2.0	2	4	NC	105	n/a	red	0	9999
212	2.0	2	4	NC	106	n/a	red	0	9999
214	2.0	2	4	NC	107	n/a	green	1	854.73
216	2.0	2	4	NC	108	n/a	red	0	9999
218	2.0	2	4	NC	109	n/a	red	0	9999
220	8.03	2	n/a	fix	110	n/a	white	n/a	n/a
228.03	1.97	2	5	intersection	114	intersection2	green	1	1010.35
230	2.0	2	5	intersection	115	intersection4	red	0	9999
232	2.0	2	5	intersection	116	intersection3	red	0	9999
234	2.0	2	5	intersection	117	intersection1	red	0	9999
236	2.0	2	5	intersection	118	intersection1	red	0	9999
238	2.0	2	5	intersection	119	intersection4	red	0	9999
240	2.0	2	5	intersection	120	intersection2	green	1	631.96
242	2.01	2	5	intersection	121	intersection3	red	0	9999
244.01	8.03	2	n/a	fix	122	n/a	white	n/a	n/a
252.04	1.96	2	3	ID	126	n/a	red	0	9999
254	2.0	2	3	ID	127	n/a	green	1	549.61
256	2.0	2	3	ID	128	n/a	red	0	9999
258	2.0	2	3	ID	129	n/a	red	0	9999
260	2.0	2	3	ID	130	n/a	red	0	9999
262	2.0	2	3	ID	131	n/a	red	0	9999
264	2.0	2	3	ID	132	n/a	red	0	9999
266	2.0	2	3	ID	133	n/a	green	1	714.81
268	8.03	2	n/a	fix	134	n/a	white	n/a	n/a
276.03	1.97	2	7	hallway	138	hallway3	red	0	9999
278	2.0	2	7	hallway	139	hallway4	red	0	9999
280	2.0	2	7	hallway	140	hallway2	green	1	575.65
282	2.0	2	7	hallway	141	hallway1	green	1	712.31
284	2.0	2	7	hallway	142	hallway2	red	0	9999
286	2.0	2	7	hallway	143	hallway3	red	0	9999
288	2.0	2	7	hallway	144	hallway1	red	0	9999
290	2.01	2	7	hallway	145	hallway4	red	0	9999
292.01	8.03	2	n/a	fix	146	n/a	white	n/a	n/a
300.04	1.96	2	4	NC	150	n/a	red	0	9999
302	2.0	2	4	NC	151	n/a	red	0	9999
304	2.0	2	4	NC	152	n/a	red	0	9999
306	2.0	2	4	NC	153	n/a	green	1	625.7
308	2.0	2	4	NC	154	n/a	green	1	698.12
310	2.0	2	4	NC	155	n/a	red	0	9999
312	2.0	2	4	NC	156	n/a	red	0	9999
314	2.02	2	4	NC	157	n/a	red	0	9999
316.02	8.3	2	n/a	fix	158	n/a	white	n/a	n/a
324.32	1.68	2	8	wkobj	162	wkobj3	red	0	9999
326	2.0	2	8	wkobj	163	wkobj1	red	0	9999
328	2.0	2	8	wkobj	164	wkobj4	red	0	9999
330	2.0	2	8	wkobj	165	wkobj2	green	1	1018.26
332	2.0	2	8	wkobj	166	wkobj4	red	0	9999
334	2.0	2	8	wkobj	167	wkobj1	red	0	9999
336	2.0	2	8	wkobj	168	wkobj2	red	0	9999
338	2.01	2	8	wkobj	169	wkobj3	green	1	523.69
340.01	8.03	2	n/a	fix	170	n/a	white	n/a	n/a
348.04	1.96	2	1	Sp	174	n/a	green	1	1575.83
350	2.0	2	1	Sp	175	n/a	red	1	0.52
352	2.0	2	1	Sp	176	n/a	red	0	9999
354	2.0	2	1	Sp	177	n/a	green	1	523.33
356	2.0	2	1	Sp	178	n/a	red	0	9999
358	2.0	2	1	Sp	179	n/a	red	0	9999
360	2.0	2	1	Sp	180	n/a	red	1	1692.85
362	2.02	2	1	Sp	181	n/a	red	1	0.58
364.02	8.03	2	n/a	fix	182	n/a	white	n/a	n/a
372.05	1.95	2	2	SpId	186	n/a	red	0	9999
374	2.0	2	2	SpId	187	n/a	green	1	778.2
376	2.0	2	2	SpId	188	n/a	red	0	9999
378	2.0	2	2	SpId	189	n/a	red	0	9999
380	2.0	2	2	SpId	190	n/a	red	0	9999
382	2.0	2	2	SpId	191	n/a	green	1	605.34
384	2.0	2	2	SpId	192	n/a	red	0	9999
386	2.01	2	2	SpId	193	n/a	red	0	9999
388.01	8.03	2	n/a	fix	194	n/a	white	n/a	n/a
396.04	1.96	2	6	longroad	198	longroad3	red	0	9999
398	2.0	2	6	longroad	199	longroad4	red	0	9999
400	2.0	2	6	longroad	200	longroad2	green	1	732.06
402	2.0	2	6	longroad	201	longroad1	red	0	9999
404	2.0	2	6	longroad	202	longroad1	red	0	9999
406	2.0	2	6	longroad	203	longroad3	red	0	9999
408	2.0	2	6	longroad	204	longroad2	red	0	9999
410	2.01	2	6	longroad	205	longroad4	green	1	1142.9
412.01	8.04	2	n/a	fix	206	n/a	white	n/a	n/a
420.05	1.95	2	9	scrambledobj	210	scrambledobj2	red	0	9999
422	2.0	2	9	scrambledobj	211	scrambledobj3	red	0	9999
424	2.0	2	9	scrambledobj	212	scrambledobj1	green	1	707.52
426	2.0	2	9	scrambledobj	213	scrambledobj4	green	1	764.07
428	2.0	2	9	scrambledobj	214	scrambledobj3	red	0	9999
430	2.0	2	9	scrambledobj	215	scrambledobj2	red	0	9999
432	2.0	2	9	scrambledobj	216	scrambledobj1	red	0	9999
434	2.01	2	9	scrambledobj	217	scrambledobj4	red	0	9999
436.01	12.03	2	n/a	fix	218	n/a	white	n/a	n/a
448.04	12	2	n/a	EndFix	224	n/a	white	n/a	n/a
