onset	duration	run#	block_kind	current_block	actual_TR	stim_n/ame	fixation_kind	response	RT
0.01	12.02	1	fix	n/a	0	n/a	white	n/a	n/a
12.03	1.98	1	hallway	7	6	hallway3	green	0	9999
14.01	1.99	1	hallway	7	7	hallway2	green	1	1358.76
16	2.0	1	hallway	7	8	hallway1	red	0	9999
18	2.0	1	hallway	7	9	hallway4	red	0	9999
20	2.0	1	hallway	7	10	hallway2	red	0	9999
22	2.0	1	hallway	7	11	hallway3	red	0	9999
24	2.0	1	hallway	7	12	hallway1	red	0	9999
26	2.01	1	hallway	7	13	hallway4	red	0	9999
28.01	8.43	1	fix	n/a	14	n/a	white	n/a	n/a
36.44	1.56	1	Sp	1	18	n/a	green	1	678.59
38	2.0	1	Sp	1	19	n/a	red	1	0.55
40	2.0	1	Sp	1	20	n/a	red	0	9999
42	2.0	1	Sp	1	21	n/a	red	0	9999
44	2.0	1	Sp	1	22	n/a	green	1	1218.32
46	2.0	1	Sp	1	23	n/a	red	0	9999
48	2.0	1	Sp	1	24	n/a	red	0	9999
50	2.01	1	Sp	1	25	n/a	red	0	9999
52.01	8.02	1	fix	n/a	26	n/a	white	n/a	n/a
60.03	1.97	1	NC	4	30	n/a	green	1	1447.83
62	2.0	1	NC	4	31	n/a	red	0	9999
64	2.0	1	NC	4	32	n/a	green	1	681.97
66	2.0	1	NC	4	33	n/a	red	0	9999
68	2.0	1	NC	4	34	n/a	red	0	9999
70	2.0	1	NC	4	35	n/a	red	0	9999
72	2.0	1	NC	4	36	n/a	red	0	9999
74	2.01	1	NC	4	37	n/a	red	0	9999
76.01	8.03	1	fix	n/a	38	n/a	white	n/a	n/a
84.04	1.96	1	wkobj	8	42	wkobj1	red	0	9999
86	2.0	1	wkobj	8	43	wkobj2	red	0	9999
88	2.0	1	wkobj	8	44	wkobj4	red	0	9999
90	2.0	1	wkobj	8	45	wkobj3	red	0	9999
92	2.0	1	wkobj	8	46	wkobj3	green	1	548.51
94	2.0	1	wkobj	8	47	wkobj1	green	1	756.95
96	2.0	1	wkobj	8	48	wkobj2	red	0	9999
98	2.02	1	wkobj	8	49	wkobj4	red	0	9999
100.02	8.02	1	fix	n/a	50	n/a	white	n/a	n/a
108.04	1.96	1	intersection	5	54	intersection4	red	0	9999
110	2.0	1	intersection	5	55	intersection2	red	0	9999
112	2.0	1	intersection	5	56	intersection1	green	1	603.93
