onset	duration	 pic_onset	 block	 block_kind	 condition	 response
0.359274	12.011663	0.365579	 fix	 fix	 fix	 n/a
12.370937	1.000657	0.023336	1	 Object	 diff	0
13.371594	1.000319	0.022288	1	 Object	 diff	0
14.371913	1.005622	0.021596	1	 Object	 same	1
15.377535	1.000313	0.015528	1	 Object	 diff	0
16.377848	1.000357	0.014988	1	 Object	 diff	0
17.378205	1.000384	0.014138	1	 Object	 diff	0
18.378589	1.000386	0.013343	1	 Object	 diff	0
19.378975	1.000349	0.012561	1	 Object	 diff	0
20.379324	1.000388	0.011838	1	 Object	 diff	0
21.379712	1.000395	0.011456	1	 Object	 diff	0
22.380107	1.000366	0.010275	1	 Object	 diff	0
23.380473	1.000368	0.009506	1	 Object	 same	0
24.380841	1.000376	0.025488	1	 Object	 diff	0
25.381217	1.000347	0.024682	1	 Object	 diff	0
26.381564	1.000419	0.023962	1	 Object	 diff	0
27.381983	1.001201	0.023154	1	 Object	 diff	0
28.383184	7.985262	28.383184	 fix	 fix	 fix	 n/a
36.368446	1.000369	0.016627	2	 Scene	 diff	0
37.368815	1.000386	0.015803	2	 Scene	 diff	0
38.369201	1.000376	0.015042	2	 Scene	 diff	0
39.369577	1.000349	0.014455	2	 Scene	 diff	0
40.369926	1.004928	0.01366	2	 Scene	 same	1
41.374854	1.000488	0.008169	2	 Scene	 diff	0
42.375342	1.000742	0.024124	2	 Scene	 diff	0
43.376084	1.000353	0.022908	2	 Scene	 diff	0
44.376437	1.000344	0.022166	2	 Scene	 diff	0
45.376781	1.000722	0.021432	2	 Scene	 diff	0
46.377503	1.000328	0.020382	2	 Scene	 diff	0
47.377831	1.000361	0.019628	2	 Scene	 same	0
48.378192	1.000327	0.018851	2	 Scene	 diff	0
49.378519	1.000358	0.018159	2	 Scene	 diff	0
50.378877	1.000342	0.017406	2	 Scene	 diff	0
51.379219	1.000324	0.016674	2	 Scene	 diff	0
52.379543	7.988931	52.379543	 fix	 fix	 fix	 n/a
60.368474	1.00035	0.023962	3	 Object	 diff	0
61.368824	1.000363	0.023233	3	 Object	 diff	0
62.369187	1.000352	0.02249	3	 Object	 diff	0
63.369539	1.00035	0.021756	3	 Object	 diff	0
64.369889	1.005333	0.021014	3	 Object	 same	1
65.375222	1.00031	0.015268	3	 Object	 diff	0
66.375532	1.000347	0.0146	3	 Object	 diff	0
67.375879	1.000321	0.013855	3	 Object	 diff	0
68.3762	1.000371	0.013172	3	 Object	 diff	0
69.376571	1.000362	0.012398	3	 Object	 same	0
70.376933	1.000363	0.011665	3	 Object	 diff	0
71.377296	1.000379	0.011519	3	 Object	 diff	0
72.377675	1.000365	0.010103	3	 Object	 diff	0
73.37804	1.000338	0.00936	3	 Object	 diff	0
74.378378	1.000374	0.025342	3	 Object	 diff	0
75.378752	1.000481	0.024575	3	 Object	 diff	0
76.379233	7.989284	76.379233	 fix	 fix	 fix	 n/a
84.368517	1.00036	0.014709	4	 Scene	 diff	0
85.368877	1.000407	0.013968	4	 Scene	 diff	0
86.369284	1.000392	0.013141	4	 Scene	 diff	0
87.369676	1.000384	0.012369	4	 Scene	 same	0
88.37006	1.000369	0.011603	4	 Scene	 diff	0
89.370429	1.000382	0.010828	4	 Scene	 diff	0
90.370811	1.000366	0.010044	4	 Scene	 diff	0
91.371177	1.000381	0.026028	4	 Scene	 diff	0
92.371558	1.000429	0.025256	4	 Scene	 diff	0
93.371987	1.000363	0.024433	4	 Scene	 diff	0
94.37235	1.000413	0.023675	4	 Scene	 same	0
95.372763	1.000368	0.022871	4	 Scene	 diff	0
96.373131	1.000373	0.022151	4	 Scene	 diff	0
97.373504	1.000374	0.0214	4	 Scene	 diff	0
98.373878	1.000389	0.020624	4	 Scene	 diff	0
99.374267	1.000363	0.019837	4	 Scene	 diff	0
100.37463	7.993939	100.37463	 fix	 fix	 fix	 n/a
108.368569	1.000396	0.022092	5	 Object	 diff	0
109.368965	1.00036	0.021301	5	 Object	 diff	0
110.369325	1.000515	0.020544	5	 Object	 diff	0
111.36984	1.000381	0.019706	5	 Object	 same	0
112.370221	1.000348	0.01888	5	 Object	 diff	0
113.370569	1.000357	0.018173	5	 Object	 diff	0
114.370926	1.000386	0.017473	5	 Object	 diff	0
115.371312	1.000374	0.01664	5	 Object	 diff	0
116.371686	1.000356	0.015929	5	 Object	 diff	0
117.372042	1.000371	0.015163	5	 Object	 diff	0
118.372413	1.000325	0.014442	5	 Object	 same	0
119.372738	1.000387	0.01378	5	 Object	 diff	0
120.373125	1.000375	0.012938	5	 Object	 diff	0
121.3735	1.000412	0.012143	5	 Object	 diff	0
122.373912	1.000398	0.01133	5	 Object	 diff	0
123.37431	1.000346	0.010538	5	 Object	 diff	0
124.374656	7.993963	124.374656	 fix	 fix	 fix	 n/a
132.368619	1.000371	0.012787	6	 Scene	 diff	0
133.36899	1.000345	0.012026	6	 Scene	 diff	0
134.369335	1.000382	0.011851	6	 Scene	 same	0
135.369717	1.000347	0.010509	6	 Scene	 diff	0
136.370064	1.000549	0.009758	6	 Scene	 same	0
137.370613	1.000349	0.025541	6	 Scene	 diff	0
138.370962	1.000351	0.024838	6	 Scene	 diff	0
139.371313	1.000362	0.024098	6	 Scene	 diff	0
140.371675	1.000363	0.023335	6	 Scene	 diff	0
141.372038	1.000387	0.022592	6	 Scene	 diff	0
142.372425	1.000365	0.021813	6	 Scene	 diff	0
143.37279	1.000464	0.021063	6	 Scene	 diff	0
144.373254	1.000354	0.020227	6	 Scene	 diff	0
145.373608	1.000382	0.019652	6	 Scene	 diff	0
146.37399	1.000362	0.018956	6	 Scene	 diff	0
147.374352	1.000366	0.017964	6	 Scene	 diff	0
148.374718	7.993923	148.374718	 fix	 fix	 fix	 n/a
156.368641	1.000399	0.020198	7	 Object	 diff	0
157.36904	1.000368	0.019428	7	 Object	 diff	0
158.369408	1.000356	0.018686	7	 Object	 diff	0
159.369764	1.000367	0.017962	7	 Object	 diff	0
160.370131	1.000377	0.017175	7	 Object	 diff	0
161.370508	1.000379	0.016437	7	 Object	 diff	0
162.370887	1.00039	0.015645	7	 Object	 diff	0
163.371277	1.000447	0.014893	7	 Object	 diff	0
164.371724	1.000407	0.014036	7	 Object	 diff	0
165.372131	1.000355	0.013251	7	 Object	 diff	0
166.372486	1.004958	0.012948	7	 Object	 same	1
167.377444	1.000343	0.023809	7	 Object	 diff	0
168.377787	1.000354	0.023109	7	 Object	 diff	0
169.378141	1.004622	0.022383	7	 Object	 same	1
170.382763	1.000494	0.017301	7	 Object	 diff	0
171.383257	1.000325	0.016475	7	 Object	 diff	0
172.383582	7.985092	172.383582	 fix	 fix	 fix	 n/a
180.368674	1.000386	0.010907	8	 Scene	 diff	0
181.36906	1.000368	0.010115	8	 Scene	 diff	0
182.369428	1.000396	0.026077	8	 Scene	 diff	0
183.369824	1.000375	0.02533	8	 Scene	 diff	0
184.370199	1.004469	0.024528	8	 Scene	 same	1
185.374668	1.000345	0.019682	8	 Scene	 diff	0
186.375013	1.000378	0.018951	8	 Scene	 diff	0
187.375391	1.000373	0.018174	8	 Scene	 diff	0
188.375764	1.000387	0.017463	8	 Scene	 diff	0
189.376151	1.000387	0.016654	8	 Scene	 diff	0
190.376538	1.000409	0.015912	8	 Scene	 same	0
191.376947	1.000366	0.015127	8	 Scene	 diff	0
192.377313	1.000369	0.014339	8	 Scene	 diff	0
193.377682	1.000382	0.013587	8	 Scene	 diff	0
194.378064	1.000379	0.012854	8	 Scene	 diff	0
195.378443	1.000362	0.012033	8	 Scene	 diff	0
196.378805	7.989929	196.378805	 fix	 fix	 fix	 n/a
204.368734	1.00039	0.018293	9	 Object	 diff	0
205.369124	1.000347	0.017519	9	 Object	 diff	0
206.369471	1.000362	0.016801	9	 Object	 diff	0
207.369833	1.000396	0.01606	9	 Object	 diff	0
208.370229	1.000383	0.015358	9	 Object	 diff	0
209.370612	1.000365	0.014593	9	 Object	 diff	0
210.370977	1.000397	0.013744	9	 Object	 diff	0
211.371374	1.000371	0.012962	9	 Object	 diff	0
212.371745	1.000378	0.012183	9	 Object	 diff	0
213.372123	1.000356	0.011896	9	 Object	 same	0
214.372479	1.000389	0.010673	9	 Object	 diff	0
215.372868	1.000471	0.009919	9	 Object	 diff	0
216.373339	1.000342	0.025794	9	 Object	 diff	0
217.373681	1.000384	0.025066	9	 Object	 diff	0
218.374065	1.000378	0.024279	9	 Object	 same	0
219.374443	1.000354	0.023534	9	 Object	 diff	0
220.374797	7.99398	220.374797	 fix	 fix	 fix	 n/a
228.368777	1.000398	0.025678	10	 Scene	 diff	0
229.369175	1.000371	0.02495	10	 Scene	 diff	0
230.369546	1.000389	0.024195	10	 Scene	 same	0
231.369935	1.000618	0.0236	10	 Scene	 diff	0
232.370553	1.000381	0.022356	10	 Scene	 diff	0
233.370934	1.000364	0.021659	10	 Scene	 diff	0
234.371298	1.000388	0.021308	10	 Scene	 diff	0
235.371686	1.000354	0.020067	10	 Scene	 diff	0
236.37204	1.000386	0.019338	10	 Scene	 diff	0
237.372426	1.000399	0.018556	10	 Scene	 diff	0
238.372825	1.000381	0.017789	10	 Scene	 diff	0
239.373206	1.000372	0.017022	10	 Scene	 diff	0
240.373578	1.000383	0.016409	10	 Scene	 diff	0
241.373961	1.000417	0.01559	10	 Scene	 same	0
242.374378	1.000384	0.014689	10	 Scene	 diff	0
243.374762	1.000374	0.013916	10	 Scene	 diff	0
244.375136	7.993685	244.375136	 fix	 fix	 fix	 n/a
252.368821	1.00037	0.016426	11	 Object	 diff	0
253.369191	1.000361	0.015785	11	 Object	 diff	0
254.369552	1.000541	0.014885	11	 Object	 diff	0
255.370093	1.000375	0.013957	11	 Object	 diff	0
256.370468	1.000382	0.013537	11	 Object	 diff	0
257.37085	1.000388	0.01243	11	 Object	 diff	0
258.371238	1.000395	0.011665	11	 Object	 same	0
259.371633	1.000395	0.010875	11	 Object	 diff	0
260.372028	1.000372	0.010191	11	 Object	 diff	0
261.3724	1.000397	0.009316	11	 Object	 diff	0
262.372797	1.000386	0.025276	11	 Object	 diff	0
263.373183	1.000405	0.024512	11	 Object	 diff	0
264.373588	1.000381	0.023733	11	 Object	 same	0
265.373969	1.000392	0.022966	11	 Object	 diff	0
266.374361	1.000382	0.022197	11	 Object	 diff	0
267.374743	1.000376	0.021468	11	 Object	 diff	0
268.375119	7.993738	268.375119	 fix	 fix	 fix	 n/a
276.368857	1.000381	0.023821	12	 Scene	 diff	0
277.369238	1.000361	0.02309	12	 Scene	 diff	0
278.369599	1.000404	0.022337	12	 Scene	 diff	0
279.370003	1.000393	0.021565	12	 Scene	 diff	0
280.370396	1.00039	0.020959	12	 Scene	 diff	0
281.370786	1.000406	0.019929	12	 Scene	 diff	0
282.371192	1.000382	0.019129	12	 Scene	 diff	0
283.371574	1.000386	0.018363	12	 Scene	 diff	0
284.37196	1.000433	0.017634	12	 Scene	 diff	0
285.372393	1.000396	0.016803	12	 Scene	 diff	0
286.372789	1.004613	0.01599	12	 Scene	 same	1
287.377402	1.000352	0.011002	12	 Scene	 diff	0
288.377754	1.000365	0.010222	12	 Scene	 diff	0
289.378119	1.000402	0.009474	12	 Scene	 diff	0
290.378521	1.000405	0.008655	12	 Scene	 same	0
291.378926	1.000732	0.024661	12	 Scene	 diff	0
292.379658	12	292.379658	 fix	 fix	 fix	 n/a
