onset	duration	run#	block_kind	current_block	actual_TR	stim_n/ame	fixation_kind	response	RT
0.01	12.0	2	fix	n/a	0	n/a	white	n/a	n/a
12.01	1.99	2	ID	3	6	n/a	red	0	9999
14	2.0	2	ID	3	7	n/a	red	0	9999
16	2.0	2	ID	3	8	n/a	green	1	652.2
18	2.0	2	ID	3	9	n/a	red	0	9999
20	2.0	2	ID	3	10	n/a	red	0	9999
22	2.0	2	ID	3	11	n/a	red	0	9999
24	2.0	2	ID	3	12	n/a	red	0	9999
26	2.01	2	ID	3	13	n/a	green	1	592.36
28.01	8.03	2	fix	n/a	14	n/a	white	n/a	n/a
36.04	1.96	2	NC	4	18	n/a	red	0	9999
38	2.0	2	NC	4	19	n/a	red	0	9999
40	2.0	2	NC	4	20	n/a	green	1	756.68
42	2.0	2	NC	4	21	n/a	red	0	9999
44	2.0	2	NC	4	22	n/a	red	0	9999
46	2.0	2	NC	4	23	n/a	red	0	9999
48	2.0	2	NC	4	24	n/a	red	0	9999
50	2.0	2	NC	4	25	n/a	green	1	729.71
52	8.03	2	fix	n/a	26	n/a	white	n/a	n/a
60.03	1.97	2	hallway	7	30	hallway4	red	0	9999
62	2.0	2	hallway	7	31	hallway1	green	1	613.62
64	2.0	2	hallway	7	32	hallway2	red	0	9999
66	2.0	2	hallway	7	33	hallway3	green	1	686.85
68	2.0	2	hallway	7	34	hallway4	red	0	9999
70	2.0	2	hallway	7	35	hallway2	red	0	9999
72	2.0	2	hallway	7	36	hallway1	red	0	9999
74	2.01	2	hallway	7	37	hallway3	red	1	736.86
76.01	8.03	2	fix	n/a	38	n/a	white	n/a	n/a
84.04	1.96	2	SpId	2	42	n/a	red	0	9999
86	2.0	2	SpId	2	43	n/a	red	0	9999
88	2.0	2	SpId	2	44	n/a	red	0	9999
90	2.0	2	SpId	2	45	n/a	red	0	9999
92	2.0	2	SpId	2	46	n/a	red	0	9999
94	2.0	2	SpId	2	47	n/a	green	1	577.57
96	2.0	2	SpId	2	48	n/a	red	0	9999
98	2.02	2	SpId	2	49	n/a	green	1	650.9
100.02	8.03	2	fix	n/a	50	n/a	white	n/a	n/a
108.05	1.95	2	scrambledobj	9	54	scrambledobj2	green	1	675.75
110	2.0	2	scrambledobj	9	55	scrambledobj1	red	0	9999
112	2.0	2	scrambledobj	9	56	scrambledobj3	red	0	9999
114	2.0	2	scrambledobj	9	57	scrambledobj4	red	0	9999
116	2.0	2	scrambledobj	9	58	scrambledobj3	red	0	9999
118	2.0	2	scrambledobj	9	59	scrambledobj1	red	0	9999
120	2.0	2	scrambledobj	9	60	scrambledobj2	red	0	9999
122	2.01	2	scrambledobj	9	61	scrambledobj4	green	1	642.8
124.01	8.03	2	fix	n/a	62	n/a	white	n/a	n/a
132.04	1.96	2	Sp	1	66	n/a	red	0	9999
134	2.0	2	Sp	1	67	n/a	green	1	696.35
136	2.0	2	Sp	1	68	n/a	red	0	9999
138	2.0	2	Sp	1	69	n/a	red	0	9999
140	2.0	2	Sp	1	70	n/a	red	0	9999
142	2.0	2	Sp	1	71	n/a	red	0	9999
144	2.0	2	Sp	1	72	n/a	green	1	675.41
146	2.02	2	Sp	1	73	n/a	red	0	9999
