onset	duration	run#	block_kind	current_block	actual_TR	stim_n/ame	fixation_kind	response	RT
0.01	12.02	1	fix	n/a	0	n/a	white	n/a	n/a
12.03	1.98	1	Sp	1	6	n/a	red	0	9999
14.01	1.99	1	Sp	1	7	n/a	red	0	9999
16	2.0	1	Sp	1	8	n/a	green	1	517.43
18	2.0	1	Sp	1	9	n/a	red	0	9999
20	2.0	1	Sp	1	10	n/a	green	1	607.07
22	2.0	1	Sp	1	11	n/a	red	0	9999
24	2.0	1	Sp	1	12	n/a	red	0	9999
26	2.02	1	Sp	1	13	n/a	red	0	9999
28.02	8.03	1	fix	n/a	14	n/a	white	n/a	n/a
36.05	1.96	1	scrambledobj	9	18	scrambledobj4	green	1	857.43
38.01	1.99	1	scrambledobj	9	19	scrambledobj3	red	1	0.54
40	2.0	1	scrambledobj	9	20	scrambledobj1	red	0	9999
42	2.0	1	scrambledobj	9	21	scrambledobj2	red	0	9999
44	2.0	1	scrambledobj	9	22	scrambledobj3	red	0	9999
46	2.0	1	scrambledobj	9	23	scrambledobj2	green	1	606.96
48	2.0	1	scrambledobj	9	24	scrambledobj4	red	0	9999
50	2.01	1	scrambledobj	9	25	scrambledobj1	red	0	9999
52.01	8.02	1	fix	n/a	26	n/a	white	n/a	n/a
60.03	1.97	1	ID	3	30	n/a	green	1	764.38
62	2.0	1	ID	3	31	n/a	red	0	9999
64	2.0	1	ID	3	32	n/a	red	0	9999
66	2.0	1	ID	3	33	n/a	green	1	616.72
68	2.0	1	ID	3	34	n/a	red	0	9999
70	2.0	1	ID	3	35	n/a	red	0	9999
72	2.0	1	ID	3	36	n/a	red	0	9999
74	2.02	1	ID	3	37	n/a	red	0	9999
76.02	8.02	1	fix	n/a	38	n/a	white	n/a	n/a
84.04	1.96	1	intersection	5	42	intersection3	red	0	9999
86	2.0	1	intersection	5	43	intersection4	red	0	9999
88	2.0	1	intersection	5	44	intersection1	red	0	9999
90	2.0	1	intersection	5	45	intersection2	red	0	9999
92	2.0	1	intersection	5	46	intersection4	green	1	648.34
94	2.0	1	intersection	5	47	intersection1	red	0	9999
96	2.0	1	intersection	5	48	intersection2	red	0	9999
98	2.01	1	intersection	5	49	intersection3	green	1	682.51
100.01	8.02	1	fix	n/a	50	n/a	white	n/a	n/a
108.03	1.97	1	SpId	2	54	n/a	red	0	9999
110	2.0	1	SpId	2	55	n/a	red	0	9999
112	2.0	1	SpId	2	56	n/a	red	0	9999
114	2.0	1	SpId	2	57	n/a	red	0	9999
116	2.0	1	SpId	2	58	n/a	red	0	9999
118	2.0	1	SpId	2	59	n/a	green	1	611.59
120	2.0	1	SpId	2	60	n/a	red	0	9999
122	2.01	1	SpId	2	61	n/a	green	1	701.07
124.01	8.03	1	fix	n/a	62	n/a	white	n/a	n/a
132.04	1.96	1	longroad	6	66	longroad3	green	1	885.91
134	2.0	1	longroad	6	67	longroad1	red	0	9999
136	2.0	1	longroad	6	68	longroad4	red	0	9999
138	2.0	1	longroad	6	69	longroad2	red	0	9999
