onset	duration	 pic_onset	 block	 block_kind	 condition	 response
0.506776	12.012094	0.512267	 fix	 fix	 fix	 n/a
12.51887	1.000553	0.022109	1	 Object	 diff	0
13.519423	1.000335	0.021211	1	 Object	 diff	0
14.519758	1.000362	0.020507	1	 Object	 diff	0
15.52012	1.000387	0.019697	1	 Object	 same	0
16.520507	1.000371	0.018931	1	 Object	 diff	0
17.520878	1.000726	0.018156	1	 Object	 diff	0
18.521604	1.000361	0.017063	1	 Object	 diff	0
19.521965	1.000757	0.016295	1	 Object	 diff	0
20.522722	1.000333	0.015166	1	 Object	 same	0
21.523055	1.000358	0.014464	1	 Object	 diff	0
22.523413	1.000365	0.013686	1	 Object	 diff	0
23.523778	1.000347	0.012931	1	 Object	 diff	0
24.524125	1.000359	0.012209	1	 Object	 diff	0
25.524484	1.000367	0.011876	1	 Object	 diff	0
26.524851	1.000355	0.010679	1	 Object	 diff	0
27.525206	1.001562	0.009946	1	 Object	 diff	0
28.526768	7.989188	28.526768	 fix	 fix	 fix	 n/a
36.515956	1.000389	0.015792	2	 Scene	 diff	0
37.516345	1.000365	0.015002	2	 Scene	 diff	0
38.51671	1.000368	0.014443	2	 Scene	 diff	0
39.517078	1.000369	0.013474	2	 Scene	 diff	0
40.517447	1.000343	0.012716	2	 Scene	 diff	0
41.51779	1.000375	0.011997	2	 Scene	 diff	0
42.518165	1.000358	0.011688	2	 Scene	 diff	0
43.518523	1.000349	0.010468	2	 Scene	 diff	0
44.518872	1.000436	0.009786	2	 Scene	 diff	0
45.519308	1.000767	0.025633	2	 Scene	 same	0
46.520075	1.000363	0.024483	2	 Scene	 diff	0
47.520438	1.000375	0.023735	2	 Scene	 diff	0
48.520813	1.000367	0.022951	2	 Scene	 diff	0
49.52118	1.000365	0.02236	2	 Scene	 diff	0
50.521545	1.000357	0.021453	2	 Scene	 same	0
51.521902	1.000364	0.020698	2	 Scene	 diff	0
52.522266	7.993729	52.522266	 fix	 fix	 fix	 n/a
60.515995	1.000372	0.023175	3	 Object	 diff	0
61.516367	1.000366	0.022393	3	 Object	 diff	0
62.516733	1.00036	0.021634	3	 Object	 diff	0
63.517093	1.004745	0.02097	3	 Object	 same	1
64.521838	1.000519	0.019258	3	 Object	 diff	0
65.522357	1.000333	0.014979	3	 Object	 diff	0
66.52269	1.000363	0.01414	3	 Object	 diff	0
67.523053	1.000398	0.013385	3	 Object	 diff	0
68.523451	1.000356	0.012608	3	 Object	 diff	0
69.523807	1.000366	0.011908	3	 Object	 diff	0
70.524173	1.000357	0.011702	3	 Object	 diff	0
71.52453	1.000387	0.010357	3	 Object	 diff	0
72.524917	1.000358	0.00955	3	 Object	 same	0
73.525275	1.000383	0.025555	3	 Object	 diff	0
74.525658	1.000404	0.024752	3	 Object	 diff	0
75.526062	1.000361	0.023988	3	 Object	 diff	0
76.526423	7.989615	76.526423	 fix	 fix	 fix	 n/a
84.516038	1.000343	0.013854	4	 Scene	 diff	0
85.516381	1.000368	0.013133	4	 Scene	 diff	0
86.516749	1.000352	0.012386	4	 Scene	 same	0
87.517101	1.000363	0.011935	4	 Scene	 diff	0
88.517464	1.000364	0.011529	4	 Scene	 diff	0
89.517828	1.000371	0.010116	4	 Scene	 diff	0
90.518199	1.000358	0.02609	4	 Scene	 diff	0
91.518557	1.000372	0.025383	4	 Scene	 same	0
92.518929	1.000337	0.024663	4	 Scene	 diff	0
93.519266	1.000372	0.024259	4	 Scene	 diff	0
94.519638	1.000358	0.023082	4	 Scene	 diff	0
95.519996	1.000369	0.022382	4	 Scene	 diff	0
96.520365	1.000368	0.021597	4	 Scene	 diff	0
97.520733	1.000332	0.020832	4	 Scene	 diff	0
98.521065	1.000369	0.020129	4	 Scene	 diff	0
99.521434	1.000337	0.019365	4	 Scene	 diff	0
100.521771	7.99431	100.521771	 fix	 fix	 fix	 n/a
108.516081	1.00037	0.021289	5	 Object	 diff	0
109.516451	1.000363	0.020515	5	 Object	 same	0
110.516814	1.000393	0.019754	5	 Object	 diff	0
111.517207	1.000363	0.018978	5	 Object	 diff	0
112.51757	1.000355	0.018302	5	 Object	 diff	0
113.517925	1.000371	0.017482	5	 Object	 diff	0
114.518296	1.000372	0.016728	5	 Object	 diff	0
115.518668	1.000363	0.015985	5	 Object	 diff	0
116.519031	1.000373	0.015292	5	 Object	 same	0
117.519404	1.000359	0.014429	5	 Object	 diff	0
118.519763	1.000555	0.013718	5	 Object	 diff	0
119.520318	1.000339	0.012776	5	 Object	 diff	0
120.520657	1.000347	0.012052	5	 Object	 diff	0
121.521004	1.000373	0.011606	5	 Object	 diff	0
122.521377	1.000356	0.01054	5	 Object	 diff	0
123.521733	1.000326	0.009803	5	 Object	 diff	0
124.522059	7.994076	124.522059	 fix	 fix	 fix	 n/a
132.516135	1.000362	0.011967	6	 Scene	 diff	0
133.516497	1.000357	0.01161	6	 Scene	 same	0
134.516854	1.000376	0.010444	6	 Scene	 diff	0
135.51723	1.000397	0.009713	6	 Scene	 diff	0
136.517627	1.000363	0.025852	6	 Scene	 diff	0
137.51799	1.000362	0.024901	6	 Scene	 diff	0
138.518352	1.00036	0.024127	6	 Scene	 diff	0
139.518712	1.000369	0.023364	6	 Scene	 diff	0
140.519081	1.000367	0.02273	6	 Scene	 diff	0
141.519448	1.000498	0.021876	6	 Scene	 diff	0
142.519946	1.005784	0.020971	6	 Scene	 same	1
143.52573	1.000326	0.014807	6	 Scene	 diff	0
144.526056	1.000335	0.014091	6	 Scene	 diff	0
145.526391	1.004779	0.013374	6	 Scene	 diff	0
146.53117	1.000375	0.02492	6	 Scene	 diff	0
147.531545	1.000325	0.024138	6	 Scene	 diff	0
148.53187	7.984292	148.53187	 fix	 fix	 fix	 n/a
156.516162	1.000353	0.019389	7	 Object	 diff	0
157.516515	1.00033	0.018931	7	 Object	 diff	0
158.516845	1.000366	0.017917	7	 Object	 diff	0
159.517211	1.004509	0.017165	7	 Object	 same	1
160.52172	1.000527	0.012391	7	 Object	 diff	0
161.522247	1.000356	0.011356	7	 Object	 same	0
162.522603	1.00035	0.010598	7	 Object	 diff	0
163.522953	1.000349	0.009846	7	 Object	 diff	0
164.523302	1.000349	0.009127	7	 Object	 diff	0
165.523651	1.000384	0.025089	7	 Object	 diff	0
166.524035	1.000354	0.02435	7	 Object	 diff	0
167.524389	1.000364	0.023601	7	 Object	 diff	0
168.524753	1.000351	0.0229	7	 Object	 diff	0
169.525104	1.00035	0.022108	7	 Object	 diff	0
170.525454	1.000323	0.021371	7	 Object	 diff	0
171.525777	1.000351	0.020641	7	 Object	 diff	0
172.526128	7.990067	172.526128	 fix	 fix	 fix	 n/a
180.516195	1.000371	0.010096	8	 Scene	 diff	0
181.516566	1.000354	0.026024	8	 Scene	 diff	0
182.51692	1.00036	0.02537	8	 Scene	 diff	0
183.51728	1.000368	0.024541	8	 Scene	 same	0
184.517648	1.000363	0.023803	8	 Scene	 diff	0
185.518011	1.000407	0.023046	8	 Scene	 diff	0
186.518418	1.000336	0.022254	8	 Scene	 diff	0
187.518754	1.000379	0.021571	8	 Scene	 diff	0
188.519133	1.000338	0.0208	8	 Scene	 diff	0
189.519471	1.000369	0.020035	8	 Scene	 diff	0
190.51984	1.004558	0.019289	8	 Scene	 same	1
191.524398	1.000473	0.01437	8	 Scene	 diff	0
192.524871	1.000346	0.013453	8	 Scene	 diff	0
193.525217	1.00035	0.012742	8	 Scene	 diff	0
194.525567	1.000359	0.011981	8	 Scene	 diff	0
195.525926	1.000343	0.011693	8	 Scene	 diff	0
196.526269	7.989982	196.526269	 fix	 fix	 fix	 n/a
204.516251	1.000371	0.017465	9	 Object	 diff	0
205.516622	1.000374	0.016721	9	 Object	 same	0
206.516996	1.000348	0.015954	9	 Object	 diff	0
207.517344	1.000376	0.015238	9	 Object	 diff	0
208.51772	1.000366	0.014462	9	 Object	 diff	0
209.518086	1.00037	0.0137	9	 Object	 same	0
210.518456	1.000366	0.012949	9	 Object	 diff	0
211.518822	1.000371	0.012177	9	 Object	 diff	0
212.519193	1.000366	0.011833	9	 Object	 diff	0
213.519559	1.00037	0.010657	9	 Object	 diff	0
214.519929	1.000371	0.00989	9	 Object	 diff	0
215.5203	1.000371	0.025863	9	 Object	 diff	0
216.520671	1.000365	0.025123	9	 Object	 diff	0
217.521036	1.000369	0.02444	9	 Object	 diff	0
218.521405	1.000368	0.023624	9	 Object	 diff	0
219.521773	1.000356	0.02288	9	 Object	 diff	0
220.522129	7.994158	220.522129	 fix	 fix	 fix	 n/a
228.516287	1.000343	0.024866	10	 Scene	 diff	0
229.51663	1.000368	0.024147	10	 Scene	 diff	0
230.516998	1.000369	0.023391	10	 Scene	 same	0
231.517367	1.000353	0.02265	10	 Scene	 diff	0
232.51772	1.000421	0.021889	10	 Scene	 diff	0
233.518141	1.000616	0.021121	10	 Scene	 diff	0
234.518757	1.000376	0.020161	10	 Scene	 diff	0
235.519133	1.000388	0.019306	10	 Scene	 diff	0
236.519521	1.000359	0.01853	10	 Scene	 diff	0
237.51988	1.000414	0.01779	10	 Scene	 diff	0
238.520294	1.000371	0.016995	10	 Scene	 diff	0
239.520665	1.000379	0.016254	10	 Scene	 same	0
240.521044	1.000375	0.015515	10	 Scene	 diff	0
241.521419	1.000381	0.014719	10	 Scene	 diff	0
242.5218	1.000355	0.013934	10	 Scene	 diff	0
243.522155	1.000356	0.013205	10	 Scene	 diff	0
244.522511	7.993824	244.522511	 fix	 fix	 fix	 n/a
252.516335	1.000373	0.015549	11	 Object	 diff	0
253.516708	1.000373	0.014803	11	 Object	 diff	0
254.517081	1.000373	0.014047	11	 Object	 diff	0
255.517454	1.000377	0.013621	11	 Object	 diff	0
256.517831	1.000545	0.012519	11	 Object	 diff	0
257.518376	1.000385	0.011567	11	 Object	 diff	0
258.518761	1.000353	0.01081	11	 Object	 diff	0
259.519114	1.000373	0.01008	11	 Object	 same	0
260.519487	1.000368	0.009352	11	 Object	 diff	0
261.519855	1.000377	0.025305	11	 Object	 same	0
262.520232	1.000361	0.024519	11	 Object	 diff	0
263.520593	1.000371	0.023767	11	 Object	 diff	0
264.520964	1.000373	0.023033	11	 Object	 diff	0
265.521337	1.000372	0.0223	11	 Object	 diff	0
266.521709	1.000418	0.02163	11	 Object	 diff	0
267.522127	1.000366	0.020648	11	 Object	 diff	0
268.522493	7.993883	268.522493	 fix	 fix	 fix	 n/a
276.516376	1.000376	0.022983	12	 Scene	 diff	0
277.516752	1.000387	0.022219	12	 Scene	 diff	0
