onset	duration	run#	block_kind	current_block	actual_TR	stim_n/ame	fixation_kind	response	RT
0.01	12.0	2	fix	n/a	0	n/a	white	n/a	n/a
12.01	1.99	2	hallway	7	6	hallway1	green	1	1200.03
14	2.0	2	hallway	7	7	hallway2	red	0	9999
16	2.0	2	hallway	7	8	hallway4	red	0	9999
18	2.0	2	hallway	7	9	hallway3	red	0	9999
20	2.0	2	hallway	7	10	hallway2	red	0	9999
22	2.0	2	hallway	7	11	hallway1	green	1	653.74
24	2.0	2	hallway	7	12	hallway4	red	0	9999
26	2.01	2	hallway	7	13	hallway3	red	0	9999
28.01	8.03	2	fix	n/a	14	n/a	white	n/a	n/a
36.04	1.96	2	wkobj	8	18	wkobj2	red	0	9999
38	2.0	2	wkobj	8	19	wkobj3	red	0	9999
40	2.0	2	wkobj	8	20	wkobj1	red	0	9999
42	2.0	2	wkobj	8	21	wkobj4	red	0	9999
44	2.0	2	wkobj	8	22	wkobj2	red	0	9999
46	2.0	2	wkobj	8	23	wkobj3	green	1	693.84
48	2.0	2	wkobj	8	24	wkobj4	red	0	9999
50	2.01	2	wkobj	8	25	wkobj1	green	1	1062.83
52.01	8.02	2	fix	n/a	26	n/a	white	n/a	n/a
60.03	1.97	2	SpId	2	30	n/a	red	0	9999
62	2.0	2	SpId	2	31	n/a	red	0	9999
64	2.0	2	SpId	2	32	n/a	red	0	9999
66	2.0	2	SpId	2	33	n/a	green	1	669.5
68	2.0	2	SpId	2	34	n/a	red	0	9999
70	2.0	2	SpId	2	35	n/a	green	1	758.96
72	2.0	2	SpId	2	36	n/a	red	0	9999
74	2.01	2	SpId	2	37	n/a	red	0	9999
76.01	8.03	2	fix	n/a	38	n/a	white	n/a	n/a
84.04	1.96	2	NC	4	42	n/a	red	0	9999
86	2.0	2	NC	4	43	n/a	red	0	9999
88	2.0	2	NC	4	44	n/a	red	0	9999
90	2.0	2	NC	4	45	n/a	red	0	9999
92	2.0	2	NC	4	46	n/a	green	1	846.94
94	2.0	2	NC	4	47	n/a	red	0	9999
96	2.0	2	NC	4	48	n/a	red	0	9999
98	2.0	2	NC	4	49	n/a	green	1	617.32
100	8.03	2	fix	n/a	50	n/a	white	n/a	n/a
108.03	1.97	2	ID	3	54	n/a	green	1	979.46
110	2.0	2	ID	3	55	n/a	red	0	9999
112	2.0	2	ID	3	56	n/a	red	0	9999
114	2.0	2	ID	3	57	n/a	green	1	767.74
116	2.0	2	ID	3	58	n/a	red	0	9999
118	2.0	2	ID	3	59	n/a	red	0	9999
120	2.0	2	ID	3	60	n/a	red	0	9999
122	2.01	2	ID	3	61	n/a	red	0	9999
124.01	8.03	2	fix	n/a	62	n/a	white	n/a	n/a
132.04	1.96	2	longroad	6	66	longroad1	red	0	9999
134	2.0	2	longroad	6	67	longroad2	green	1	798.18
136	2.0	2	longroad	6	68	longroad3	red	0	9999
138	2.0	2	longroad	6	69	longroad4	red	0	9999
140	2.0	2	longroad	6	70	longroad2	red	0	9999
142	2.0	2	longroad	6	71	longroad4	green	1	792.92
144	2.0	2	longroad	6	72	longroad3	red	0	9999
146	2.02	2	longroad	6	73	longroad1	red	0	9999
148.02	8.03	2	fix	n/a	74	n/a	white	n/a	n/a
156.05	1.95	2	scrambledobj	9	78	scrambledobj1	red	0	9999
158	2.0	2	scrambledobj	9	79	scrambledobj2	red	0	9999
160	2.0	2	scrambledobj	9	80	scrambledobj3	red	0	9999
162	2.0	2	scrambledobj	9	81	scrambledobj4	green	1	896.88
164	2.0	2	scrambledobj	9	82	scrambledobj2	green	1	832.88
166	2.0	2	scrambledobj	9	83	scrambledobj1	red	0	9999
168	2.0	2	scrambledobj	9	84	scrambledobj3	red	0	9999
170	2.01	2	scrambledobj	9	85	scrambledobj4	red	0	9999
172.01	8.03	2	fix	n/a	86	n/a	white	n/a	n/a
180.04	1.96	2	intersection	5	90	intersection1	red	0	9999
182	2.0	2	intersection	5	91	intersection4	red	0	9999
184	2.0	2	intersection	5	92	intersection3	green	1	784.42
186	2.0	2	intersection	5	93	intersection2	red	0	9999
188	2.0	2	intersection	5	94	intersection4	red	0	9999
190	2.0	2	intersection	5	95	intersection1	green	1	650.92
192	2.0	2	intersection	5	96	intersection3	red	0	9999
194	2.02	2	intersection	5	97	intersection2	red	0	9999
196.02	8.03	2	fix	n/a	98	n/a	white	n/a	n/a
204.05	1.95	2	Sp	1	102	n/a	green	1	927.03
206	2.0	2	Sp	1	103	n/a	green	1	849.7
208	2.0	2	Sp	1	104	n/a	red	0	9999
210	2.0	2	Sp	1	105	n/a	red	0	9999
212	2.0	2	Sp	1	106	n/a	red	0	9999
214	2.0	2	Sp	1	107	n/a	red	0	9999
216	2.0	2	Sp	1	108	n/a	red	0	9999
218	2.01	2	Sp	1	109	n/a	red	0	9999
220.01	8.03	2	fix	n/a	110	n/a	white	n/a	n/a
228.04	1.96	2	ID	3	114	n/a	red	0	9999
230	2.0	2	ID	3	115	n/a	green	1	954.93
232	2.0	2	ID	3	116	n/a	red	0	9999
234	2.0	2	ID	3	117	n/a	red	0	9999
236	2.0	2	ID	3	118	n/a	red	0	9999
238	2.0	2	ID	3	119	n/a	red	0	9999
240	2.0	2	ID	3	120	n/a	green	1	669.47
242	2.02	2	ID	3	121	n/a	red	0	9999
244.02	8.03	2	fix	n/a	122	n/a	white	n/a	n/a
252.05	1.95	2	wkobj	8	126	wkobj4	red	0	9999
