onset	duration	run#	block_kind	current_block	actual_TR	stim_n/ame	fixation_kind	response	RT
0.02	12.02	1	fix	n/a	0	n/a	white	n/a	n/a
12.04	1.97	1	hallway	7	6	hallway1	red	0	9999
14.01	1.99	1	hallway	7	7	hallway3	red	0	9999
16	2.0	1	hallway	7	8	hallway2	green	1	822.54
18	2.0	1	hallway	7	9	hallway4	red	0	9999
20	2.0	1	hallway	7	10	hallway2	red	0	9999
22	2.0	1	hallway	7	11	hallway1	red	0	9999
24	2.0	1	hallway	7	12	hallway4	green	1	585.42
26	2.01	1	hallway	7	13	hallway3	red	0	9999
28.01	8.03	1	fix	n/a	14	n/a	white	n/a	n/a
36.04	1.97	1	ID	3	18	n/a	red	0	9999
38.01	1.99	1	ID	3	19	n/a	green	1	1359.16
40	2.0	1	ID	3	20	n/a	red	0	9999
42	2.0	1	ID	3	21	n/a	red	0	9999
44	2.0	1	ID	3	22	n/a	red	0	9999
46	2.0	1	ID	3	23	n/a	red	0	9999
48	2.0	1	ID	3	24	n/a	green	1	698.64
50	2.02	1	ID	3	25	n/a	red	0	9999
52.02	8.02	1	fix	n/a	26	n/a	white	n/a	n/a
60.04	1.96	1	Sp	1	30	n/a	red	0	9999
62	2.0	1	Sp	1	31	n/a	red	0	9999
64	2.0	1	Sp	1	32	n/a	red	0	9999
66	2.0	1	Sp	1	33	n/a	red	0	9999
68	2.0	1	Sp	1	34	n/a	red	0	9999
70	2.0	1	Sp	1	35	n/a	red	0	9999
72	2.0	1	Sp	1	36	n/a	green	1	659.38
74	2.01	1	Sp	1	37	n/a	green	1	1012.15
76.01	8.02	1	fix	n/a	38	n/a	white	n/a	n/a
84.03	1.98	1	scrambledobj	9	42	scrambledobj2	green	1	662.13
86.01	1.99	1	scrambledobj	9	43	scrambledobj4	red	0	9999
88	2.0	1	scrambledobj	9	44	scrambledobj1	red	0	9999
90	2.0	1	scrambledobj	9	45	scrambledobj3	green	1	520.17
92	2.0	1	scrambledobj	9	46	scrambledobj1	red	0	9999
94	2.0	1	scrambledobj	9	47	scrambledobj4	red	0	9999
96	2.0	1	scrambledobj	9	48	scrambledobj3	red	0	9999
98	2.01	1	scrambledobj	9	49	scrambledobj2	red	0	9999
100.01	8.03	1	fix	n/a	50	n/a	white	n/a	n/a
108.04	1.96	1	intersection	5	54	intersection3	green	1	765.35
110	2.0	1	intersection	5	55	intersection4	red	0	9999
112	2.0	1	intersection	5	56	intersection1	red	0	9999
114	2.0	1	intersection	5	57	intersection2	red	0	9999
116	2.0	1	intersection	5	58	intersection2	red	0	9999
118	2.0	1	intersection	5	59	intersection1	red	0	9999
120	2.0	1	intersection	5	60	intersection3	green	1	532.14
122	2.02	1	intersection	5	61	intersection4	red	0	9999
124.02	8.03	1	fix	n/a	62	n/a	white	n/a	n/a
132.05	1.95	1	NC	4	66	n/a	red	0	9999
134	2.0	1	NC	4	67	n/a	red	0	9999
136	2.0	1	NC	4	68	n/a	red	0	9999
138	2.0	1	NC	4	69	n/a	green	1	715.92
140	2.0	1	NC	4	70	n/a	red	0	9999
142	2.0	1	NC	4	71	n/a	green	1	701.25
