onset	duration	run#	block_kind	current_block	actual_TR	stim_n/ame	fixation_kind	response	RT
0.01	12.0	2	fix	n/a	0	n/a	white	n/a	n/a
12.01	1.99	2	NC	4	6	n/a	red	0	9999
14	2.0	2	NC	4	7	n/a	green	1	482.5
16	2.0	2	NC	4	8	n/a	red	0	9999
18	2.0	2	NC	4	9	n/a	red	0	9999
20	2.0	2	NC	4	10	n/a	green	1	429.69
22	2.0	2	NC	4	11	n/a	red	0	9999
24	2.0	2	NC	4	12	n/a	red	0	9999
26	2.02	2	NC	4	13	n/a	red	0	9999
28.02	8.02	2	fix	n/a	14	n/a	white	n/a	n/a
36.04	1.96	2	Sp	1	18	n/a	red	0	9999
38	2.0	2	Sp	1	19	n/a	green	1	419.35
40	2.0	2	Sp	1	20	n/a	red	0	9999
42	2.0	2	Sp	1	21	n/a	red	0	9999
44	2.0	2	Sp	1	22	n/a	red	0	9999
46	2.0	2	Sp	1	23	n/a	green	1	454.12
48	2.0	2	Sp	1	24	n/a	red	0	9999
50	2.01	2	Sp	1	25	n/a	red	0	9999
52.01	8.02	2	fix	n/a	26	n/a	white	n/a	n/a
60.03	1.97	2	intersection	5	30	intersection4	red	0	9999
62	2.0	2	intersection	5	31	intersection1	red	0	9999
64	2.0	2	intersection	5	32	intersection2	red	0	9999
66	2.0	2	intersection	5	33	intersection3	green	1	524.73
68	2.0	2	intersection	5	34	intersection2	green	0	9999
70	2.0	2	intersection	5	35	intersection3	red	0	9999
72	2.0	2	intersection	5	36	intersection1	red	0	9999
74	2.01	2	intersection	5	37	intersection4	red	0	9999
76.01	8.03	2	fix	n/a	38	n/a	white	n/a	n/a
84.04	1.96	2	SpId	2	42	n/a	green	1	626.83
86	2.0	2	SpId	2	43	n/a	green	1	765.3
88	2.0	2	SpId	2	44	n/a	red	0	9999
90	2.0	2	SpId	2	45	n/a	red	0	9999
92	2.0	2	SpId	2	46	n/a	red	0	9999
94	2.0	2	SpId	2	47	n/a	red	0	9999
96	2.0	2	SpId	2	48	n/a	red	0	9999
98	2.0	2	SpId	2	49	n/a	red	0	9999
100	8.03	2	fix	n/a	50	n/a	white	n/a	n/a
108.03	1.97	2	ID	3	54	n/a	red	0	9999
110	2.0	2	ID	3	55	n/a	red	0	9999
112	2.0	2	ID	3	56	n/a	red	0	9999
114	2.0	2	ID	3	57	n/a	red	0	9999
116	2.0	2	ID	3	58	n/a	red	0	9999
118	2.0	2	ID	3	59	n/a	green	1	721.86
120	2.0	2	ID	3	60	n/a	green	1	577.92
122	2.01	2	ID	3	61	n/a	red	0	9999
124.01	8.03	2	fix	n/a	62	n/a	white	n/a	n/a
132.04	1.96	2	hallway	7	66	hallway4	red	0	9999
134	2.0	2	hallway	7	67	hallway3	red	0	9999
136	2.0	2	hallway	7	68	hallway2	red	0	9999
138	2.0	2	hallway	7	69	hallway1	red	0	9999
140	2.0	2	hallway	7	70	hallway4	green	1	520.56
142	2.0	2	hallway	7	71	hallway3	red	0	9999
144	2.0	2	hallway	7	72	hallway1	green	1	562.21
146	2.02	2	hallway	7	73	hallway2	red	0	9999
148.02	8.03	2	fix	n/a	74	n/a	white	n/a	n/a
156.05	1.95	2	scrambledobj	9	78	scrambledobj3	red	0	9999
158	2.0	2	scrambledobj	9	79	scrambledobj4	red	0	9999
160	2.0	2	scrambledobj	9	80	scrambledobj1	green	1	600.25
162	2.0	2	scrambledobj	9	81	scrambledobj2	green	1	880.99
164	2.0	2	scrambledobj	9	82	scrambledobj2	red	0	9999
166	2.0	2	scrambledobj	9	83	scrambledobj4	red	0	9999
