onset	duration	run#	block_kind	current_block	actual_TR	stim_n/ame	fixation_kind	response	RT
0.01	12.02	1	fix	n/a	0	n/a	white	n/a	n/a
12.03	1.98	1	Sp	1	6	n/a	red	0	9999
14.01	1.99	1	Sp	1	7	n/a	green	1	727.29
16	2.0	1	Sp	1	8	n/a	red	0	9999
18	2.0	1	Sp	1	9	n/a	red	0	9999
20	2.0	1	Sp	1	10	n/a	green	1	564.03
22	2.0	1	Sp	1	11	n/a	red	0	9999
24	2.0	1	Sp	1	12	n/a	red	0	9999
26	2.01	1	Sp	1	13	n/a	red	0	9999
28.01	8.03	1	fix	n/a	14	n/a	white	n/a	n/a
36.04	1.97	1	scrambledobj	9	18	scrambledobj2	green	1	769.15
38.01	1.99	1	scrambledobj	9	19	scrambledobj4	red	0	9999
40	2.0	1	scrambledobj	9	20	scrambledobj1	red	0	9999
42	2.0	1	scrambledobj	9	21	scrambledobj3	green	1	491.3
44	2.0	1	scrambledobj	9	22	scrambledobj2	red	0	9999
46	2.0	1	scrambledobj	9	23	scrambledobj4	red	0	9999
48	2.0	1	scrambledobj	9	24	scrambledobj3	red	0	9999
50	2.02	1	scrambledobj	9	25	scrambledobj1	red	0	9999
52.02	8.02	1	fix	n/a	26	n/a	white	n/a	n/a
60.04	1.96	1	ID	3	30	n/a	red	0	9999
62	2.0	1	ID	3	31	n/a	red	0	9999
64	2.0	1	ID	3	32	n/a	red	0	9999
66	2.0	1	ID	3	33	n/a	green	1	539.63
68	2.0	1	ID	3	34	n/a	red	0	9999
70	2.0	1	ID	3	35	n/a	red	0	9999
72	2.0	1	ID	3	36	n/a	red	0	9999
74	2.01	1	ID	3	37	n/a	green	1	511.59
76.01	8.03	1	fix	n/a	38	n/a	white	n/a	n/a
84.04	1.96	1	wkobj	8	42	wkobj4	red	0	9999
86	2.0	1	wkobj	8	43	wkobj3	green	1	571.27
88	2.0	1	wkobj	8	44	wkobj2	red	0	9999
90	2.0	1	wkobj	8	45	wkobj1	red	0	9999
92	2.0	1	wkobj	8	46	wkobj1	red	0	9999
94	2.0	1	wkobj	8	47	wkobj3	red	0	9999
96	2.0	1	wkobj	8	48	wkobj2	green	1	535.38
98	2.02	1	wkobj	8	49	wkobj4	red	0	9999
100.02	8.02	1	fix	n/a	50	n/a	white	n/a	n/a
108.04	1.96	1	longroad	6	54	longroad1	red	0	9999
110	2.0	1	longroad	6	55	longroad3	red	0	9999
112	2.0	1	longroad	6	56	longroad4	green	1	516.73
114	2.0	1	longroad	6	57	longroad2	red	0	9999
116	2.0	1	longroad	6	58	longroad4	red	0	9999
118	2.0	1	longroad	6	59	longroad3	red	0	9999
120	2.0	1	longroad	6	60	longroad1	red	0	9999
122	2.01	1	longroad	6	61	longroad2	green	1	624.28
124.01	8.02	1	fix	n/a	62	n/a	white	n/a	n/a
132.03	1.97	1	SpId	2	66	n/a	red	0	9999
134	2.0	1	SpId	2	67	n/a	red	0	9999
136	2.0	1	SpId	2	68	n/a	red	0	9999
138	2.0	1	SpId	2	69	n/a	red	0	9999
