onset	duration	run#	block_kind	current_block	actual_TR	stim_n/ame	fixation_kind	response	RT
0.02	12.02	1	fix	n/a	0	n/a	white	n/a	n/a
12.04	1.97	1	wkobj	8	6	wkobj1	red	0	9999
14.01	1.99	1	wkobj	8	7	wkobj3	red	0	9999
16	2.0	1	wkobj	8	8	wkobj4	red	0	9999
18	2.0	1	wkobj	8	9	wkobj2	green	1	736.63
20	2.0	1	wkobj	8	10	wkobj4	red	0	9999
22	2.0	1	wkobj	8	11	wkobj3	red	0	9999
24	2.0	1	wkobj	8	12	wkobj1	red	0	9999
26	2.01	1	wkobj	8	13	wkobj2	green	1	650.99
28.01	8.02	1	fix	n/a	14	n/a	white	n/a	n/a
36.03	1.97	1	intersection	5	18	intersection3	red	0	9999
38	2.0	1	intersection	5	19	intersection1	green	1	655.83
40	2.0	1	intersection	5	20	intersection2	red	0	9999
42	2.0	1	intersection	5	21	intersection4	red	0	9999
44	2.0	1	intersection	5	22	intersection4	red	0	9999
46	2.0	1	intersection	5	23	intersection2	red	0	9999
48	2.0	1	intersection	5	24	intersection3	green	1	651.04
50	2.01	1	intersection	5	25	intersection1	red	0	9999
52.01	8.03	1	fix	n/a	26	n/a	white	n/a	n/a
60.04	1.96	1	ID	3	30	n/a	red	0	9999
62	2.0	1	ID	3	31	n/a	green	1	609.4
64	2.0	1	ID	3	32	n/a	red	0	9999
66	2.0	1	ID	3	33	n/a	red	0	9999
68	2.0	1	ID	3	34	n/a	green	1	611.82
70	2.0	1	ID	3	35	n/a	red	0	9999
72	2.0	1	ID	3	36	n/a	red	0	9999
74	2.0	1	ID	3	37	n/a	red	0	9999
76	8.03	1	fix	n/a	38	n/a	white	n/a	n/a
84.03	1.97	1	hallway	7	42	hallway2	red	0	9999
86	2.0	1	hallway	7	43	hallway4	green	1	1553.16
88	2.0	1	hallway	7	44	hallway3	red	0	9999
90	2.0	1	hallway	7	45	hallway1	red	0	9999
92	2.0	1	hallway	7	46	hallway3	green	1	676.03
94	2.0	1	hallway	7	47	hallway2	red	0	9999
96	2.0	1	hallway	7	48	hallway4	red	0	9999
98	2.01	1	hallway	7	49	hallway1	red	0	9999
100.01	8.03	1	fix	n/a	50	n/a	white	n/a	n/a
108.04	1.96	1	longroad	6	54	longroad3	red	0	9999
110	2.0	1	longroad	6	55	longroad4	red	0	9999
112	2.0	1	longroad	6	56	longroad2	green	1	611.36
114	2.0	1	longroad	6	57	longroad1	red	0	9999
116	2.0	1	longroad	6	58	longroad2	red	0	9999
118	2.0	1	longroad	6	59	longroad3	red	0	9999
120	2.0	1	longroad	6	60	longroad1	red	0	9999
122	2.02	1	longroad	6	61	longroad4	green	1	486.31
124.02	8.03	1	fix	n/a	62	n/a	white	n/a	n/a
132.05	1.95	1	Sp	1	66	n/a	red	0	9999
134	2.0	1	Sp	1	67	n/a	red	0	9999
136	2.0	1	Sp	1	68	n/a	red	0	9999
138	2.0	1	Sp	1	69	n/a	green	1	549.5
140	2.0	1	Sp	1	70	n/a	red	0	9999
142	2.0	1	Sp	1	71	n/a	green	1	606.22
144	2.0	1	Sp	1	72	n/a	red	0	9999
146	2.01	1	Sp	1	73	n/a	red	0	9999
148.01	8.03	1	fix	n/a	74	n/a	white	n/a	n/a
156.04	1.96	1	scrambledobj	9	78	scrambledobj2	green	1	810.2
158	2.0	1	scrambledobj	9	79	scrambledobj4	green	1	1899.42
160	2.0	1	scrambledobj	9	80	scrambledobj1	red	1	0.5
162	2.0	1	scrambledobj	9	81	scrambledobj3	red	0	9999
164	2.0	1	scrambledobj	9	82	scrambledobj4	red	0	9999
166	2.0	1	scrambledobj	9	83	scrambledobj3	red	0	9999
168	2.0	1	scrambledobj	9	84	scrambledobj1	red	0	9999
170	2.02	1	scrambledobj	9	85	scrambledobj2	red	0	9999
172.02	8.02	1	fix	n/a	86	n/a	white	n/a	n/a
180.04	1.96	1	NC	4	90	n/a	green	1	595.4
182	2.0	1	NC	4	91	n/a	red	0	9999
184	2.0	1	NC	4	92	n/a	red	0	9999
186	2.0	1	NC	4	93	n/a	green	1	462.89
188	2.0	1	NC	4	94	n/a	red	0	9999
190	2.0	1	NC	4	95	n/a	red	0	9999
192	2.0	1	NC	4	96	n/a	red	0	9999
194	2.01	1	NC	4	97	n/a	red	0	9999
196.01	8.03	1	fix	n/a	98	n/a	white	n/a	n/a
204.04	1.96	1	SpId	2	102	n/a	red	0	9999
206	2.0	1	SpId	2	103	n/a	red	0	9999
208	2.0	1	SpId	2	104	n/a	red	0	9999
210	2.0	1	SpId	2	105	n/a	green	1	584.4
212	2.0	1	SpId	2	106	n/a	red	0	9999
214	2.0	1	SpId	2	107	n/a	red	0	9999
216	2.0	1	SpId	2	108	n/a	green	1	714.52
218	2.02	1	SpId	2	109	n/a	red	0	9999
220.02	8.02	1	fix	n/a	110	n/a	white	n/a	n/a
228.04	1.96	1	longroad	6	114	longroad3	red	0	9999
230	2.0	1	longroad	6	115	longroad2	red	0	9999
232	2.0	1	longroad	6	116	longroad1	red	0	9999
234	2.0	1	longroad	6	117	longroad4	red	0	9999
236	2.0	1	longroad	6	118	longroad2	green	1	624.25
238	2.0	1	longroad	6	119	longroad4	red	0	9999
240	2.0	1	longroad	6	120	longroad3	green	1	643.05
242	2.01	1	longroad	6	121	longroad1	red	0	9999
244.01	8.03	1	fix	n/a	122	n/a	white	n/a	n/a
252.04	1.96	1	intersection	5	126	intersection1	red	0	9999
254	2.0	1	intersection	5	127	intersection3	red	0	9999
256	2.0	1	intersection	5	128	intersection4	red	0	9999
258	2.0	1	intersection	5	129	intersection2	red	0	9999
260	2.0	1	intersection	5	130	intersection1	green	1	594.41
262	2.0	1	intersection	5	131	intersection2	green	1	882.57
264	2.0	1	intersection	5	132	intersection4	red	0	9999
266	2.01	1	intersection	5	133	intersection3	red	0	9999
268.01	8.03	1	fix	n/a	134	n/a	white	n/a	n/a
276.04	1.96	1	NC	4	138	n/a	red	0	9999
278	2.0	1	NC	4	139	n/a	red	0	9999
280	2.0	1	NC	4	140	n/a	red	0	9999
282	2.0	1	NC	4	141	n/a	green	1	515.28
