onset	duration	run#	block_kind	current_block	actual_TR	stim_n/ame	fixation_kind	response	RT
0.01	12.02	1	fix	n/a	0	n/a	white	n/a	n/a
12.03	1.98	1	NC	4	6	n/a	red	0	9999
14.01	1.99	1	NC	4	7	n/a	green	0	9999
16	2.0	1	NC	4	8	n/a	green	0	9999
18	2.0	1	NC	4	9	n/a	red	0	9999
20	2.0	1	NC	4	10	n/a	red	0	9999
22	2.0	1	NC	4	11	n/a	red	0	9999
24	2.0	1	NC	4	12	n/a	red	0	9999
26	2.01	1	NC	4	13	n/a	red	0	9999
28.01	8.03	1	fix	n/a	14	n/a	white	n/a	n/a
36.04	1.97	1	scrambledobj	9	18	scrambledobj1	red	0	9999
38.01	1.99	1	scrambledobj	9	19	scrambledobj3	green	0	9999
40	2.0	1	scrambledobj	9	20	scrambledobj2	red	0	9999
42	2.0	1	scrambledobj	9	21	scrambledobj4	red	0	9999
44	2.0	1	scrambledobj	9	22	scrambledobj1	green	1	1899.33
46	2.0	1	scrambledobj	9	23	scrambledobj3	red	1	0.51
48	2.0	1	scrambledobj	9	24	scrambledobj2	red	0	9999
50	2.0	1	scrambledobj	9	25	scrambledobj4	red	0	9999
52	8.03	1	fix	n/a	26	n/a	white	n/a	n/a
60.03	1.97	1	intersection	5	30	intersection3	red	0	9999
62	2.0	1	intersection	5	31	intersection1	red	0	9999
64	2.0	1	intersection	5	32	intersection4	green	1	1113.26
66	2.0	1	intersection	5	33	intersection2	red	0	9999
68	2.0	1	intersection	5	34	intersection1	red	0	9999
70	2.0	1	intersection	5	35	intersection4	green	1	804.45
72	2.0	1	intersection	5	36	intersection3	red	0	9999
74	2.01	1	intersection	5	37	intersection2	red	0	9999
76.01	8.03	1	fix	n/a	38	n/a	white	n/a	n/a
84.04	1.96	1	ID	3	42	n/a	green	1	1047.76
86	2.0	1	ID	3	43	n/a	red	1	0.5
88	2.0	1	ID	3	44	n/a	green	1	724.49
90	2.0	1	ID	3	45	n/a	red	0	9999
92	2.0	1	ID	3	46	n/a	red	0	9999
94	2.0	1	ID	3	47	n/a	red	0	9999
96	2.0	1	ID	3	48	n/a	red	0	9999
98	2.02	1	ID	3	49	n/a	red	0	9999
100.02	8.03	1	fix	n/a	50	n/a	white	n/a	n/a
108.05	1.95	1	SpId	2	54	n/a	red	0	9999
110	2.0	1	SpId	2	55	n/a	green	1	835.92
112	2.0	1	SpId	2	56	n/a	green	1	780.86
114	2.0	1	SpId	2	57	n/a	red	0	9999
116	2.0	1	SpId	2	58	n/a	red	0	9999
118	2.0	1	SpId	2	59	n/a	red	0	9999
120	2.0	1	SpId	2	60	n/a	red	0	9999
122	2.01	1	SpId	2	61	n/a	red	0	9999
124.01	8.03	1	fix	n/a	62	n/a	white	n/a	n/a
132.04	1.96	1	Sp	1	66	n/a	red	0	9999
134	2.0	1	Sp	1	67	n/a	red	0	9999
136	2.0	1	Sp	1	68	n/a	red	0	9999
138	2.0	1	Sp	1	69	n/a	green	1	870.69
140	2.0	1	Sp	1	70	n/a	red	0	9999
142	2.0	1	Sp	1	71	n/a	red	0	9999
144	2.0	1	Sp	1	72	n/a	red	0	9999
146	2.02	1	Sp	1	73	n/a	green	1	841.37
148.02	8.02	1	fix	n/a	74	n/a	white	n/a	n/a
156.04	1.96	1	wkobj	8	78	wkobj3	green	1	866.29
158	2.0	1	wkobj	8	79	wkobj2	red	0	9999
160	2.0	1	wkobj	8	80	wkobj4	green	1	917.2
162	2.0	1	wkobj	8	81	wkobj1	red	0	9999
164	2.0	1	wkobj	8	82	wkobj4	red	0	9999
166	2.0	1	wkobj	8	83	wkobj2	red	0	9999
168	2.0	1	wkobj	8	84	wkobj3	red	0	9999
170	2.01	1	wkobj	8	85	wkobj1	red	0	9999
172.01	8.03	1	fix	n/a	86	n/a	white	n/a	n/a
180.04	1.96	1	hallway	7	90	hallway4	green	1	1196.26
182	2.0	1	hallway	7	91	hallway1	red	0	9999
184	2.0	1	hallway	7	92	hallway3	red	0	9999
186	2.0	1	hallway	7	93	hallway2	red	0	9999
188	2.0	1	hallway	7	94	hallway1	green	1	976.5
190	2.0	1	hallway	7	95	hallway4	red	0	9999
192	2.0	1	hallway	7	96	hallway2	red	0	9999
194	2.02	1	hallway	7	97	hallway3	red	0	9999
196.02	8.02	1	fix	n/a	98	n/a	white	n/a	n/a
204.04	1.96	1	longroad	6	102	longroad2	red	0	9999
206	2.0	1	longroad	6	103	longroad1	red	0	9999
208	2.0	1	longroad	6	104	longroad3	red	0	9999
210	2.0	1	longroad	6	105	longroad4	green	1	815.85
212	2.0	1	longroad	6	106	longroad4	red	0	9999
214	2.0	1	longroad	6	107	longroad2	red	0	9999
216	2.0	1	longroad	6	108	longroad1	red	0	9999
218	2.01	1	longroad	6	109	longroad3	green	1	827.67
220.01	8.03	1	fix	n/a	110	n/a	white	n/a	n/a
228.04	1.96	1	intersection	5	114	intersection1	red	0	9999
230	2.0	1	intersection	5	115	intersection2	red	0	9999
232	2.0	1	intersection	5	116	intersection3	red	0	9999
234	2.0	1	intersection	5	117	intersection4	green	1	945.36
236	2.0	1	intersection	5	118	intersection3	red	0	9999
238	2.0	1	intersection	5	119	intersection2	red	0	9999
240	2.0	1	intersection	5	120	intersection1	green	1	1036.13
242	2.01	1	intersection	5	121	intersection4	red	0	9999
244.01	8.03	1	fix	n/a	122	n/a	white	n/a	n/a
252.04	1.96	1	SpId	2	126	n/a	green	1	1406.86
254	2.0	1	SpId	2	127	n/a	green	1	1057.64
256	2.0	1	SpId	2	128	n/a	red	0	9999
258	2.0	1	SpId	2	129	n/a	red	0	9999
260	2.0	1	SpId	2	130	n/a	red	0	9999
262	2.0	1	SpId	2	131	n/a	red	0	9999
264	2.0	1	SpId	2	132	n/a	red	0	9999
266	2.0	1	SpId	2	133	n/a	red	0	9999
268	8.04	1	fix	n/a	134	n/a	white	n/a	n/a
276.04	1.96	1	scrambledobj	9	138	scrambledobj2	red	0	9999
278	2.0	1	scrambledobj	9	139	scrambledobj1	red	0	9999
280	2.0	1	scrambledobj	9	140	scrambledobj4	green	1	873.97
282	2.0	1	scrambledobj	9	141	scrambledobj3	red	0	9999
284	2.0	1	scrambledobj	9	142	scrambledobj3	red	0	9999
286	2.0	1	scrambledobj	9	143	scrambledobj2	green	1	1813.23
288	2.0	1	scrambledobj	9	144	scrambledobj1	red	1	0.44
290	2.01	1	scrambledobj	9	145	scrambledobj4	red	0	9999
292.01	8.03	1	fix	n/a	146	n/a	white	n/a	n/a
300.04	1.96	1	longroad	6	150	longroad2	green	1	1312.65
302	2.0	1	longroad	6	151	longroad1	red	0	9999
304	2.0	1	longroad	6	152	longroad3	green	1	899.11
306	2.0	1	longroad	6	153	longroad4	red	0	9999
308	2.0	1	longroad	6	154	longroad2	red	0	9999
310	2.0	1	longroad	6	155	longroad1	red	0	9999
312	2.0	1	longroad	6	156	longroad3	red	0	9999
314	2.02	1	longroad	6	157	longroad4	red	0	9999
316.02	8.03	1	fix	n/a	158	n/a	white	n/a	n/a
324.05	1.95	1	NC	4	162	n/a	red	0	9999
326	2.0	1	NC	4	163	n/a	red	0	9999
328	2.0	1	NC	4	164	n/a	red	0	9999
330	2.0	1	NC	4	165	n/a	red	0	9999
332	2.0	1	NC	4	166	n/a	red	0	9999
334	2.0	1	NC	4	167	n/a	green	1	983.76
336	2.0	1	NC	4	168	n/a	red	0	9999
338	2.01	1	NC	4	169	n/a	green	1	999.69
340.01	8.03	1	fix	n/a	170	n/a	white	n/a	n/a
348.04	1.96	1	hallway	7	174	hallway3	green	1	1112.97
350	2.0	1	hallway	7	175	hallway4	red	0	9999
352	2.0	1	hallway	7	176	hallway2	red	0	9999
354	2.0	1	hallway	7	177	hallway1	red	0	9999
356	2.0	1	hallway	7	178	hallway1	red	0	9999
358	2.0	1	hallway	7	179	hallway2	green	1	1270.91
360	2.0	1	hallway	7	180	hallway3	red	0	9999
362	2.02	1	hallway	7	181	hallway4	red	0	9999
364.02	8.03	1	fix	n/a	182	n/a	white	n/a	n/a
372.05	1.95	1	Sp	1	186	n/a	red	0	9999
374	2.0	1	Sp	1	187	n/a	red	0	9999
376	2.0	1	Sp	1	188	n/a	red	0	9999
378	2.0	1	Sp	1	189	n/a	green	1	703.12
380	2.0	1	Sp	1	190	n/a	green	1	871.64
382	2.0	1	Sp	1	191	n/a	red	0	9999
384	2.0	1	Sp	1	192	n/a	red	0	9999
386	2.01	1	Sp	1	193	n/a	red	0	9999
388.01	8.04	1	fix	n/a	194	n/a	white	n/a	n/a
396.05	1.95	1	ID	3	198	n/a	red	0	9999
398	2.0	1	ID	3	199	n/a	red	0	9999
400	2.0	1	ID	3	200	n/a	red	0	9999
402	2.0	1	ID	3	201	n/a	green	1	895.62
404	2.0	1	ID	3	202	n/a	red	0	9999
406	2.0	1	ID	3	203	n/a	red	0	9999
408	2.0	1	ID	3	204	n/a	red	0	9999
410	2.02	1	ID	3	205	n/a	green	1	714.82
412.02	8.03	1	fix	n/a	206	n/a	white	n/a	n/a
420.05	1.95	1	wkobj	8	210	wkobj1	red	0	9999
