onset	duration	run#	block_kind	current_block	actual_TR	stim_n/ame	fixation_kind	response	RT
0.01	12.02	1	fix	n/a	0	n/a	white	n/a	n/a
12.03	1.98	1	hallway	7	6	hallway4	green	1	1320.89
14.01	1.99	1	hallway	7	7	hallway1	red	0	9999
16	2.0	1	hallway	7	8	hallway2	green	1	584.16
18	2.0	1	hallway	7	9	hallway3	red	0	9999
20	2.0	1	hallway	7	10	hallway3	red	0	9999
22	2.0	1	hallway	7	11	hallway2	red	0	9999
24	2.0	1	hallway	7	12	hallway1	red	0	9999
26	2.01	1	hallway	7	13	hallway4	red	0	9999
28.01	8.03	1	fix	n/a	14	n/a	white	n/a	n/a
36.04	1.96	1	wkobj	8	18	wkobj2	red	0	9999
38	2.0	1	wkobj	8	19	wkobj1	green	1	736.69
40	2.0	1	wkobj	8	20	wkobj4	red	0	9999
42	2.0	1	wkobj	8	21	wkobj3	red	0	9999
44	2.0	1	wkobj	8	22	wkobj4	green	1	634.89
46	2.0	1	wkobj	8	23	wkobj2	red	0	9999
48	2.0	1	wkobj	8	24	wkobj3	red	0	9999
50	2.0	1	wkobj	8	25	wkobj1	red	0	9999
52	8.03	1	fix	n/a	26	n/a	white	n/a	n/a
60.03	1.98	1	ID	3	30	n/a	red	0	9999
62.01	1.99	1	ID	3	31	n/a	red	0	9999
64	2.0	1	ID	3	32	n/a	red	0	9999
66	2.0	1	ID	3	33	n/a	green	1	795.19
68	2.0	1	ID	3	34	n/a	red	0	9999
70	2.0	1	ID	3	35	n/a	green	1	693.43
72	2.0	1	ID	3	36	n/a	red	0	9999
74	2.01	1	ID	3	37	n/a	red	0	9999
76.01	8.03	1	fix	n/a	38	n/a	white	n/a	n/a
84.04	1.97	1	scrambledobj	9	42	scrambledobj1	red	0	9999
86.01	1.99	1	scrambledobj	9	43	scrambledobj4	green	1	785.96
88	2.0	1	scrambledobj	9	44	scrambledobj3	red	0	9999
90	2.0	1	scrambledobj	9	45	scrambledobj2	red	0	9999
92	2.0	1	scrambledobj	9	46	scrambledobj4	red	0	9999
94	2.0	1	scrambledobj	9	47	scrambledobj1	red	0	9999
96	2.0	1	scrambledobj	9	48	scrambledobj2	red	0	9999
98	2.02	1	scrambledobj	9	49	scrambledobj3	green	1	671.46
100.02	8.03	1	fix	n/a	50	n/a	white	n/a	n/a
108.05	1.95	1	NC	4	54	n/a	red	0	9999
110	2.0	1	NC	4	55	n/a	red	0	9999
112	2.0	1	NC	4	56	n/a	green	1	700.72
114	2.0	1	NC	4	57	n/a	red	0	9999
116	2.0	1	NC	4	58	n/a	red	0	9999
118	2.0	1	NC	4	59	n/a	green	1	724.78
120	2.0	1	NC	4	60	n/a	red	0	9999
122	2.01	1	NC	4	61	n/a	red	0	9999
124.01	8.03	1	fix	n/a	62	n/a	white	n/a	n/a
132.04	1.96	1	intersection	5	66	intersection3	red	0	9999
134	2.0	1	intersection	5	67	intersection2	green	1	676
136	2.0	1	intersection	5	68	intersection4	red	0	9999
138	2.0	1	intersection	5	69	intersection1	red	0	9999
140	2.0	1	intersection	5	70	intersection3	red	0	9999
142	2.0	1	intersection	5	71	intersection4	red	0	9999
144	2.0	1	intersection	5	72	intersection1	red	0	9999
146	2.02	1	intersection	5	73	intersection2	green	1	673.29
148.02	8.03	1	fix	n/a	74	n/a	white	n/a	n/a
156.05	1.95	1	Sp	1	78	n/a	red	0	9999
158	2.0	1	Sp	1	79	n/a	red	0	9999
160	2.0	1	Sp	1	80	n/a	red	0	9999
162	2.0	1	Sp	1	81	n/a	red	0	9999
164	2.0	1	Sp	1	82	n/a	green	1	639.44
166	2.0	1	Sp	1	83	n/a	red	0	9999
168	2.0	1	Sp	1	84	n/a	red	0	9999
170	2.01	1	Sp	1	85	n/a	green	1	786.66
172.01	8.03	1	fix	n/a	86	n/a	white	n/a	n/a
