onset	duration	run#	block_kind	current_block	actual_TR	stim_n/ame	fixation_kind	response	RT
0.01	12.0	2	fix	n/a	0	n/a	white	n/a	n/a
12.01	1.99	2	wkobj	8	6	wkobj4	red	0	9999
14	2.0	2	wkobj	8	7	wkobj2	red	0	9999
16	2.0	2	wkobj	8	8	wkobj3	green	1	676.31
18	2.0	2	wkobj	8	9	wkobj1	red	0	9999
20	2.0	2	wkobj	8	10	wkobj1	green	1	637.55
22	2.0	2	wkobj	8	11	wkobj3	red	0	9999
24	2.0	2	wkobj	8	12	wkobj2	red	0	9999
26	2.01	2	wkobj	8	13	wkobj4	red	0	9999
28.01	8.03	2	fix	n/a	14	n/a	white	n/a	n/a
36.04	1.96	2	scrambledobj	9	18	scrambledobj4	red	0	9999
38	2.0	2	scrambledobj	9	19	scrambledobj3	red	0	9999
40	2.0	2	scrambledobj	9	20	scrambledobj1	green	1	924.1
42	2.0	2	scrambledobj	9	21	scrambledobj2	red	0	9999
44	2.0	2	scrambledobj	9	22	scrambledobj4	red	0	9999
46	2.0	2	scrambledobj	9	23	scrambledobj2	red	0	9999
48	2.0	2	scrambledobj	9	24	scrambledobj3	red	0	9999
50	2.0	2	scrambledobj	9	25	scrambledobj1	green	1	784.26
52	8.03	2	fix	n/a	26	n/a	white	n/a	n/a
60.03	1.97	2	intersection	5	30	intersection2	red	0	9999
62	2.0	2	intersection	5	31	intersection3	green	1	787.81
64	2.0	2	intersection	5	32	intersection1	red	0	9999
66	2.0	2	intersection	5	33	intersection4	red	0	9999
68	2.0	2	intersection	5	34	intersection2	red	0	9999
70	2.0	2	intersection	5	35	intersection1	red	0	9999
72	2.0	2	intersection	5	36	intersection4	green	1	864.6
74	2.01	2	intersection	5	37	intersection3	red	0	9999
76.01	8.03	2	fix	n/a	38	n/a	white	n/a	n/a
84.04	1.96	2	NC	4	42	n/a	red	0	9999
86	2.0	2	NC	4	43	n/a	red	0	9999
88	2.0	2	NC	4	44	n/a	green	1	846.16
90	2.0	2	NC	4	45	n/a	red	0	9999
92	2.0	2	NC	4	46	n/a	red	0	9999
94	2.0	2	NC	4	47	n/a	green	1	770.2
96	2.0	2	NC	4	48	n/a	red	0	9999
98	2.02	2	NC	4	49	n/a	red	0	9999
100.02	8.03	2	fix	n/a	50	n/a	white	n/a	n/a
108.05	1.95	2	longroad	6	54	longroad3	red	0	9999
110	2.0	2	longroad	6	55	longroad4	green	1	734.64
112	2.0	2	longroad	6	56	longroad2	red	0	9999
114	2.0	2	longroad	6	57	longroad1	red	0	9999
116	2.0	2	longroad	6	58	longroad4	red	0	9999
118	2.0	2	longroad	6	59	longroad1	green	1	705.42
120	2.0	2	longroad	6	60	longroad3	red	0	9999
122	2.01	2	longroad	6	61	longroad2	red	0	9999
124.01	8.03	2	fix	n/a	62	n/a	white	n/a	n/a
132.04	1.96	2	ID	3	66	n/a	red	0	9999
134	2.0	2	ID	3	67	n/a	red	0	9999
136	2.0	2	ID	3	68	n/a	green	1	896.19
138	2.0	2	ID	3	69	n/a	red	0	9999
140	2.0	2	ID	3	70	n/a	red	0	9999
142	2.0	2	ID	3	71	n/a	red	0	9999
144	2.0	2	ID	3	72	n/a	green	1	740.16
146	2.02	2	ID	3	73	n/a	red	0	9999
148.02	8.03	2	fix	n/a	74	n/a	white	n/a	n/a
156.05	1.95	2	Sp	1	78	n/a	red	0	9999
158	2.0	2	Sp	1	79	n/a	red	0	9999
160	2.0	2	Sp	1	80	n/a	red	0	9999
162	2.0	2	Sp	1	81	n/a	green	1	681.95
164	2.0	2	Sp	1	82	n/a	red	0	9999
166	2.0	2	Sp	1	83	n/a	red	0	9999
168	2.0	2	Sp	1	84	n/a	green	1	828.02
170	2.01	2	Sp	1	85	n/a	red	0	9999
172.01	8.03	2	fix	n/a	86	n/a	white	n/a	n/a
180.04	1.96	2	hallway	7	90	hallway3	red	0	9999
182	2.0	2	hallway	7	91	hallway4	red	0	9999
184	2.0	2	hallway	7	92	hallway2	red	0	9999
186	2.0	2	hallway	7	93	hallway1	red	0	9999
188	2.0	2	hallway	7	94	hallway3	red	0	9999
190	2.0	2	hallway	7	95	hallway1	red	0	9999
192	2.0	2	hallway	7	96	hallway4	green	1	676.22
194	2.02	2	hallway	7	97	hallway2	green	1	966.31
196.02	8.02	2	fix	n/a	98	n/a	white	n/a	n/a
204.04	1.96	2	SpId	2	102	n/a	red	0	9999
206	2.0	2	SpId	2	103	n/a	red	0	9999
208	2.0	2	SpId	2	104	n/a	green	1	821.69
210	2.0	2	SpId	2	105	n/a	red	0	9999
212	2.0	2	SpId	2	106	n/a	red	0	9999
214	2.0	2	SpId	2	107	n/a	red	0	9999
216	2.0	2	SpId	2	108	n/a	red	0	9999
218	2.01	2	SpId	2	109	n/a	green	1	762.53
220.01	8.03	2	fix	n/a	110	n/a	white	n/a	n/a
228.04	1.96	2	intersection	5	114	intersection2	red	0	9999
230	2.0	2	intersection	5	115	intersection4	green	1	1097.57
232	2.0	2	intersection	5	116	intersection1	red	0	9999
234	2.0	2	intersection	5	117	intersection3	red	0	9999
236	2.0	2	intersection	5	118	intersection3	red	0	9999
238	2.0	2	intersection	5	119	intersection2	red	0	9999
240	2.0	2	intersection	5	120	intersection1	red	0	9999
242	2.01	2	intersection	5	121	intersection4	green	1	974.27
244.01	8.03	2	fix	n/a	122	n/a	white	n/a	n/a
252.04	1.96	2	hallway	7	126	hallway1	red	0	9999
254	2.0	2	hallway	7	127	hallway2	red	0	9999
256	2.0	2	hallway	7	128	hallway3	green	1	820.66
258	2.0	2	hallway	7	129	hallway4	green	1	829.3
260	2.0	2	hallway	7	130	hallway2	red	0	9999
262	2.0	2	hallway	7	131	hallway4	red	0	9999
264	2.0	2	hallway	7	132	hallway3	red	0	9999
266	2.0	2	hallway	7	133	hallway1	red	0	9999
268	8.04	2	fix	n/a	134	n/a	white	n/a	n/a
276.04	1.96	2	SpId	2	138	n/a	red	0	9999
278	2.0	2	SpId	2	139	n/a	red	0	9999
280	2.0	2	SpId	2	140	n/a	red	0	9999
282	2.0	2	SpId	2	141	n/a	red	0	9999
284	2.0	2	SpId	2	142	n/a	green	1	863.19
286	2.0	2	SpId	2	143	n/a	green	1	887.69
288	2.0	2	SpId	2	144	n/a	red	0	9999
290	2.01	2	SpId	2	145	n/a	red	0	9999
292.01	8.03	2	fix	n/a	146	n/a	white	n/a	n/a
300.04	1.96	2	ID	3	150	n/a	red	0	9999
302	2.0	2	ID	3	151	n/a	red	0	9999
304	2.0	2	ID	3	152	n/a	red	0	9999
306	2.0	2	ID	3	153	n/a	red	0	9999
308	2.0	2	ID	3	154	n/a	green	1	800.77
310	2.0	2	ID	3	155	n/a	red	0	9999
312	2.0	2	ID	3	156	n/a	red	0	9999
314	2.02	2	ID	3	157	n/a	green	1	618.52
316.02	8.03	2	fix	n/a	158	n/a	white	n/a	n/a
324.05	1.95	2	longroad	6	162	longroad1	green	1	835.01
326	2.0	2	longroad	6	163	longroad4	red	0	9999
328	2.0	2	longroad	6	164	longroad3	red	0	9999
330	2.0	2	longroad	6	165	longroad2	red	0	9999
332	2.0	2	longroad	6	166	longroad3	red	0	9999
334	2.0	2	longroad	6	167	longroad4	red	0	9999
336	2.0	2	longroad	6	168	longroad2	red	0	9999
338	2.01	2	longroad	6	169	longroad1	green	1	665.98
340.01	8.03	2	fix	n/a	170	n/a	white	n/a	n/a
348.04	1.96	2	wkobj	8	174	wkobj1	red	0	9999
350	2.0	2	wkobj	8	175	wkobj4	red	0	9999
352	2.0	2	wkobj	8	176	wkobj3	green	1	767.14
354	2.0	2	wkobj	8	177	wkobj2	red	0	9999
356	2.0	2	wkobj	8	178	wkobj3	red	0	9999
358	2.0	2	wkobj	8	179	wkobj2	green	1	729.87
360	2.0	2	wkobj	8	180	wkobj1	red	0	9999
362	2.02	2	wkobj	8	181	wkobj4	red	0	9999
364.02	8.03	2	fix	n/a	182	n/a	white	n/a	n/a
372.05	1.95	2	scrambledobj	9	186	scrambledobj2	red	0	9999
374	2.0	2	scrambledobj	9	187	scrambledobj4	red	0	9999
376	2.0	2	scrambledobj	9	188	scrambledobj3	green	1	776.3
378	2.0	2	scrambledobj	9	189	scrambledobj1	red	0	9999
380	2.0	2	scrambledobj	9	190	scrambledobj2	red	0	9999
382	2.0	2	scrambledobj	9	191	scrambledobj4	red	0	9999
384	2.0	2	scrambledobj	9	192	scrambledobj3	green	1	787.72
386	2.01	2	scrambledobj	9	193	scrambledobj1	red	0	9999
388.01	8.03	2	fix	n/a	194	n/a	white	n/a	n/a
396.04	1.96	2	NC	4	198	n/a	red	0	9999
398	2.0	2	NC	4	199	n/a	green	1	897.54
400	2.0	2	NC	4	200	n/a	green	1	978.73
402	2.0	2	NC	4	201	n/a	red	0	9999
404	2.0	2	NC	4	202	n/a	red	0	9999
406	2.0	2	NC	4	203	n/a	red	0	9999
408	2.0	2	NC	4	204	n/a	red	0	9999
410	2.02	2	NC	4	205	n/a	red	0	9999
412.02	8.03	2	fix	n/a	206	n/a	white	n/a	n/a
420.05	1.95	2	Sp	1	210	n/a	red	0	9999
422	2.0	2	Sp	1	211	n/a	red	0	9999
424	2.0	2	Sp	1	212	n/a	red	0	9999
426	2.0	2	Sp	1	213	n/a	red	0	9999
428	2.0	2	Sp	1	214	n/a	green	1	924.85
430	2.0	2	Sp	1	215	n/a	red	0	9999
