onset	duration	 pic_onset	 block	 block_kind	 condition	 response
0.026262	12.015334	0.035139	 fix	 fix	 fix	 n/a
12.041596	1.00056	0.022244	1	 Object	 diff	0
13.042156	1.000508	0.021301	1	 Object	 diff	0
14.042664	1.000336	0.020389	1	 Object	 diff	0
15.043	1.000496	0.019653	1	 Object	 diff	0
16.043496	1.006361	0.018771	1	 Object	 same	1
17.049857	1.00047	0.012092	1	 Object	 diff	0
18.050327	1.000305	0.01117	1	 Object	 diff	0
19.050632	1.00053	0.010455	1	 Object	 diff	0
20.051162	1.000339	0.009527	1	 Object	 diff	0
21.051501	1.000532	0.025503	1	 Object	 diff	0
22.052033	1.000337	0.024631	1	 Object	 diff	0
23.05237	1.000504	0.023889	1	 Object	 diff	0
24.052874	1.000341	0.022991	1	 Object	 same	0
25.053215	1.000525	0.022279	1	 Object	 diff	0
26.05374	1.000416	0.021359	1	 Object	 diff	0
27.054156	1.001338	0.020547	1	 Object	 diff	0
28.055494	7.98318	28.055494	 fix	 fix	 fix	 n/a
36.038674	1.000336	0.01602	2	 Scene	 diff	0
37.03901	1.000501	0.015165	2	 Scene	 diff	0
38.039511	1.000348	0.014305	2	 Scene	 diff	0
39.039859	1.000489	0.013701	2	 Scene	 diff	0
40.040348	1.000345	0.012664	2	 Scene	 diff	0
41.040693	1.000508	0.011942	2	 Scene	 diff	0
42.041201	1.000335	0.011029	2	 Scene	 diff	0
43.041536	1.000505	0.010306	2	 Scene	 diff	0
44.042041	1.004583	0.026118	2	 Scene	 same	1
45.046624	1.000468	0.021191	2	 Scene	 diff	0
46.047092	1.000539	0.020287	2	 Scene	 same	0
47.047631	1.00052	0.019372	2	 Scene	 diff	0
48.048151	1.000338	0.018453	2	 Scene	 diff	0
49.048489	1.000568	0.017741	2	 Scene	 diff	0
50.049057	1.00034	0.01678	2	 Scene	 diff	0
51.049397	1.000506	0.016055	2	 Scene	 diff	0
52.049903	7.988825	52.049903	 fix	 fix	 fix	 n/a
60.038728	1.000344	0.023274	3	 Object	 diff	0
61.039072	1.000541	0.022567	3	 Object	 diff	0
62.039613	1.000339	0.021606	3	 Object	 same	0
63.039952	1.000513	0.020901	3	 Object	 diff	0
64.040465	1.000346	0.019985	3	 Object	 diff	0
65.040811	1.000515	0.01925	3	 Object	 diff	0
66.041326	1.006048	0.018371	3	 Object	 same	1
67.047374	1.000524	0.01188	3	 Object	 diff	0
68.047898	1.000349	0.011028	3	 Object	 diff	0
69.048247	1.000513	0.010247	3	 Object	 diff	0
70.04876	1.000324	0.026056	3	 Object	 diff	0
71.049084	1.000517	0.008645	3	 Object	 diff	0
72.049601	1.000342	0.02444	3	 Object	 diff	0
73.049943	1.00053	0.023724	3	 Object	 diff	0
74.050473	1.000336	0.022806	3	 Object	 diff	0
75.050809	1.000572	0.022097	3	 Object	 diff	0
76.051381	7.987366	76.051381	 fix	 fix	 fix	 n/a
84.038747	1.000344	0.014146	4	 Scene	 diff	0
85.039091	1.004532	0.013285	4	 Scene	 same	1
86.043623	1.000314	0.025028	4	 Scene	 diff	0
87.043937	1.000524	0.024366	4	 Scene	 diff	0
88.044461	1.000344	0.023432	4	 Scene	 diff	0
89.044805	1.000539	0.022702	4	 Scene	 diff	0
90.045344	1.000362	0.021783	4	 Scene	 diff	0
91.045706	1.000748	0.021032	4	 Scene	 diff	0
92.046454	1.004646	0.019887	4	 Scene	 same	1
93.0511	1.000512	0.014802	4	 Scene	 diff	0
94.051612	1.000325	0.013955	4	 Scene	 diff	0
95.051937	1.000527	0.013237	4	 Scene	 diff	0
96.052464	1.000356	0.012504	4	 Scene	 diff	0
97.05282	1.00055	0.011583	4	 Scene	 diff	0
98.05337	1.00035	0.010621	4	 Scene	 diff	0
99.05372	1.000626	0.009886	4	 Scene	 diff	0
100.054346	7.984447	100.054346	 fix	 fix	 fix	 n/a
108.038793	1.000471	0.021387	5	 Object	 diff	0
109.039264	1.000513	0.020536	5	 Object	 diff	0
110.039777	1.000357	0.019827	5	 Object	 diff	0
111.040134	1.00051	0.018895	5	 Object	 diff	0
112.040644	1.000388	0.018015	5	 Object	 diff	0
113.041032	1.000467	0.017282	5	 Object	 diff	0
114.041499	1.000346	0.016378	5	 Object	 diff	0
115.041845	1.004451	0.015643	5	 Object	 same	1
116.046296	1.000419	0.010757	5	 Object	 diff	0
117.046715	1.000554	0.026721	5	 Object	 diff	0
118.047269	1.000353	0.025759	5	 Object	 diff	0
119.047622	1.00055	0.02501	5	 Object	 diff	0
120.048172	1.00452	0.024059	5	 Object	 same	1
121.052692	1.000527	0.019202	5	 Object	 diff	0
122.053219	1.000325	0.018333	5	 Object	 diff	0
123.053544	1.000737	0.017533	5	 Object	 diff	0
124.054281	7.984561	124.054281	 fix	 fix	 fix	 n/a
132.038842	1.000353	0.012605	6	 Scene	 diff	0
133.039195	1.000617	0.011484	6	 Scene	 diff	0
134.039812	1.000371	0.010324	6	 Scene	 diff	0
