onset	duration	run#	block_kind	current_block	actual_TR	stim_n/ame	fixation_kind	response	RT
0.02	12.0	2	fix	n/a	0	n/a	white	n/a	n/a
12.02	1.98	2	intersection	5	6	intersection4	red	0	9999
14	2.0	2	intersection	5	7	intersection2	green	1	649.5
16	2.0	2	intersection	5	8	intersection3	red	0	9999
18	2.0	2	intersection	5	9	intersection1	red	0	9999
20	2.0	2	intersection	5	10	intersection2	red	0	9999
22	2.0	2	intersection	5	11	intersection1	green	1	427.79
24	2.0	2	intersection	5	12	intersection3	red	0	9999
26	2.01	2	intersection	5	13	intersection4	red	0	9999
28.01	8.02	2	fix	n/a	14	n/a	white	n/a	n/a
36.03	1.97	2	wkobj	8	18	wkobj2	green	1	528.04
38	2.0	2	wkobj	8	19	wkobj4	red	0	9999
40	2.0	2	wkobj	8	20	wkobj1	red	0	9999
42	2.0	2	wkobj	8	21	wkobj3	red	0	9999
44	2.0	2	wkobj	8	22	wkobj3	green	1	485.1
46	2.0	2	wkobj	8	23	wkobj4	red	0	9999
48	2.0	2	wkobj	8	24	wkobj1	red	0	9999
50	2.01	2	wkobj	8	25	wkobj2	red	0	9999
52.01	8.03	2	fix	n/a	26	n/a	white	n/a	n/a
60.04	1.96	2	hallway	7	30	hallway2	red	0	9999
62	2.0	2	hallway	7	31	hallway1	green	1	739.38
64	2.0	2	hallway	7	32	hallway4	red	0	9999
66	2.0	2	hallway	7	33	hallway3	red	0	9999
68	2.0	2	hallway	7	34	hallway3	red	0	9999
70	2.0	2	hallway	7	35	hallway2	red	0	9999
72	2.0	2	hallway	7	36	hallway4	green	1	574.62
74	2.01	2	hallway	7	37	hallway1	red	0	9999
76.01	8.02	2	fix	n/a	38	n/a	white	n/a	n/a
84.03	1.97	2	ID	3	42	n/a	green	1	666.48
86	2.0	2	ID	3	43	n/a	red	0	9999
88	2.0	2	ID	3	44	n/a	red	0	9999
90	2.0	2	ID	3	45	n/a	red	0	9999
92	2.0	2	ID	3	46	n/a	red	0	9999
94	2.0	2	ID	3	47	n/a	red	0	9999
96	2.0	2	ID	3	48	n/a	red	0	9999
98	2.01	2	ID	3	49	n/a	green	1	576.94
100.01	8.03	2	fix	n/a	50	n/a	white	n/a	n/a
108.04	1.96	2	Sp	1	54	n/a	red	0	9999
110	2.0	2	Sp	1	55	n/a	green	1	677.02
112	2.0	2	Sp	1	56	n/a	green	1	413.91
114	2.0	2	Sp	1	57	n/a	red	0	9999
116	2.0	2	Sp	1	58	n/a	red	0	9999
118	2.0	2	Sp	1	59	n/a	red	0	9999
120	2.0	2	Sp	1	60	n/a	red	0	9999
122	2.0	2	Sp	1	61	n/a	red	0	9999
124	8.03	2	fix	n/a	62	n/a	white	n/a	n/a
