onset	duration	run#	block_kind	current_block	actual_TR	stim_n/ame	fixation_kind	response	RT
0.37	12.02	1	fix	n/a	0	n/a	white	n/a	n/a
12.39	1.62	1	ID	3	6	n/a	green	1	971.62
14.01	1.99	1	ID	3	7	n/a	red	1	0.8
16	2.0	1	ID	3	8	n/a	red	0	9999
18	2.0	1	ID	3	9	n/a	red	0	9999
20	2.0	1	ID	3	10	n/a	red	0	9999
22	2.0	1	ID	3	11	n/a	green	1	694.92
24	2.0	1	ID	3	12	n/a	red	0	9999
26	2.01	1	ID	3	13	n/a	red	0	9999
28.01	8.03	1	fix	n/a	14	n/a	white	n/a	n/a
36.04	1.97	1	intersection	5	18	intersection1	red	0	9999
38.01	1.99	1	intersection	5	19	intersection2	red	0	9999
40	2.0	1	intersection	5	20	intersection3	red	0	9999
42	2.0	1	intersection	5	21	intersection4	green	1	645.08
44	2.0	1	intersection	5	22	intersection2	red	0	9999
46	2.0	1	intersection	5	23	intersection3	red	0	9999
48	2.0	1	intersection	5	24	intersection1	red	0	9999
50	2.02	1	intersection	5	25	intersection4	green	1	688.37
52.02	8.02	1	fix	n/a	26	n/a	white	n/a	n/a
60.04	1.96	1	hallway	7	30	hallway3	red	0	9999
62	2.0	1	hallway	7	31	hallway1	red	0	9999
64	2.0	1	hallway	7	32	hallway2	red	0	9999
66	2.0	1	hallway	7	33	hallway4	green	1	701.92
68	2.0	1	hallway	7	34	hallway1	red	0	9999
70	2.0	1	hallway	7	35	hallway4	red	0	9999
72	2.0	1	hallway	7	36	hallway3	green	1	816.74
74	2.01	1	hallway	7	37	hallway2	red	0	9999
76.01	8.02	1	fix	n/a	38	n/a	white	n/a	n/a
84.03	1.97	1	Sp	1	42	n/a	green	1	774.31
86	2.0	1	Sp	1	43	n/a	green	1	0.51
88	2.0	1	Sp	1	44	n/a	red	0	9999
90	2.0	1	Sp	1	45	n/a	red	0	9999
92	2.0	1	Sp	1	46	n/a	red	0	9999
94	2.0	1	Sp	1	47	n/a	red	0	9999
96	2.0	1	Sp	1	48	n/a	red	0	9999
98	2.02	1	Sp	1	49	n/a	red	0	9999
100.02	8.02	1	fix	n/a	50	n/a	white	n/a	n/a
108.04	1.96	1	longroad	6	54	longroad4	red	0	9999
110	2.0	1	longroad	6	55	longroad2	green	1	823.01
112	2.0	1	longroad	6	56	longroad1	red	0	9999
114	2.0	1	longroad	6	57	longroad3	red	0	9999
116	2.0	1	longroad	6	58	longroad1	red	0	9999
118	2.0	1	longroad	6	59	longroad4	green	1	706.32
120	2.0	1	longroad	6	60	longroad2	red	0	9999
122	2.01	1	longroad	6	61	longroad3	red	0	9999
124.01	8.02	1	fix	n/a	62	n/a	white	n/a	n/a
132.03	1.97	1	NC	4	66	n/a	red	0	9999
134	2.0	1	NC	4	67	n/a	red	0	9999
136	2.0	1	NC	4	68	n/a	red	0	9999
138	2.0	1	NC	4	69	n/a	green	1	666.93
140	2.0	1	NC	4	70	n/a	green	1	762.96
142	2.0	1	NC	4	71	n/a	red	0	9999
144	2.0	1	NC	4	72	n/a	red	0	9999
146	2.01	1	NC	4	73	n/a	red	0	9999
148.01	8.03	1	fix	n/a	74	n/a	white	n/a	n/a
156.04	1.96	1	scrambledobj	9	78	scrambledobj4	red	0	9999
158	2.0	1	scrambledobj	9	79	scrambledobj1	red	0	9999
160	2.0	1	scrambledobj	9	80	scrambledobj2	red	0	9999
162	2.0	1	scrambledobj	9	81	scrambledobj3	red	0	9999
164	2.0	1	scrambledobj	9	82	scrambledobj4	green	1	683.18
166	2.0	1	scrambledobj	9	83	scrambledobj1	red	0	9999
168	2.0	1	scrambledobj	9	84	scrambledobj2	red	0	9999
170	2.0	1	scrambledobj	9	85	scrambledobj3	green	1	533.6
172	8.03	1	fix	n/a	86	n/a	white	n/a	n/a
180.03	1.97	1	SpId	2	90	n/a	red	0	9999
182	2.0	1	SpId	2	91	n/a	green	1	601.11
184	2.0	1	SpId	2	92	n/a	green	1	1035.24
186	2.0	1	SpId	2	93	n/a	red	0	9999
188	2.0	1	SpId	2	94	n/a	red	0	9999
190	2.0	1	SpId	2	95	n/a	red	0	9999
192	2.0	1	SpId	2	96	n/a	red	0	9999
194	2.01	1	SpId	2	97	n/a	red	0	9999
196.01	8.03	1	fix	n/a	98	n/a	white	n/a	n/a
204.04	1.96	1	wkobj	8	102	wkobj4	green	1	672.31
206	2.0	1	wkobj	8	103	wkobj2	red	0	9999
208	2.0	1	wkobj	8	104	wkobj3	green	1	675.17
210	2.0	1	wkobj	8	105	wkobj1	red	0	9999
212	2.0	1	wkobj	8	106	wkobj4	red	0	9999
214	2.0	1	wkobj	8	107	wkobj2	red	0	9999
216	2.0	1	wkobj	8	108	wkobj1	red	0	9999
218	2.02	1	wkobj	8	109	wkobj3	red	0	9999
220.02	8.03	1	fix	n/a	110	n/a	white	n/a	n/a
228.05	1.95	1	wkobj	8	114	wkobj2	red	0	9999
230	2.0	1	wkobj	8	115	wkobj1	red	0	9999
232	2.0	1	wkobj	8	116	wkobj4	green	1	755.28
234	2.0	1	wkobj	8	117	wkobj3	red	0	9999
236	2.0	1	wkobj	8	118	wkobj2	red	0	9999
238	2.0	1	wkobj	8	119	wkobj3	red	0	9999
240	2.0	1	wkobj	8	120	wkobj1	green	1	630.73
242	2.01	1	wkobj	8	121	wkobj4	red	0	9999
244.01	8.03	1	fix	n/a	122	n/a	white	n/a	n/a
252.04	1.96	1	longroad	6	126	longroad3	green	1	689.85
254	2.0	1	longroad	6	127	longroad4	red	0	9999
256	2.0	1	longroad	6	128	longroad1	red	0	9999
258	2.0	1	longroad	6	129	longroad2	red	0	9999
260	2.0	1	longroad	6	130	longroad1	red	0	9999
262	2.0	1	longroad	6	131	longroad2	green	1	704.1
264	2.0	1	longroad	6	132	longroad4	red	0	9999
266	2.02	1	longroad	6	133	longroad3	red	0	9999
268.02	8.03	1	fix	n/a	134	n/a	white	n/a	n/a
276.05	1.95	1	ID	3	138	n/a	red	0	9999
278	2.0	1	ID	3	139	n/a	red	0	9999
280	2.0	1	ID	3	140	n/a	green	1	695.13
282	2.0	1	ID	3	141	n/a	red	0	9999
284	2.0	1	ID	3	142	n/a	red	0	9999
286	2.0	1	ID	3	143	n/a	red	0	9999
288	2.0	1	ID	3	144	n/a	red	0	9999
290	2.01	1	ID	3	145	n/a	green	1	778.61
292.01	8.03	1	fix	n/a	146	n/a	white	n/a	n/a
300.04	1.96	1	intersection	5	150	intersection2	red	0	9999
302	2.0	1	intersection	5	151	intersection1	red	0	9999
304	2.0	1	intersection	5	152	intersection4	red	0	9999
306	2.0	1	intersection	5	153	intersection3	red	0	9999
308	2.0	1	intersection	5	154	intersection3	red	0	9999
310	2.0	1	intersection	5	155	intersection4	red	0	9999
312	2.0	1	intersection	5	156	intersection2	green	1	761.58
314	2.02	1	intersection	5	157	intersection1	green	1	906.16
316.02	8.03	1	fix	n/a	158	n/a	white	n/a	n/a
324.05	1.95	1	scrambledobj	9	162	scrambledobj1	red	0	9999
326	2.0	1	scrambledobj	9	163	scrambledobj3	red	0	9999
328	2.0	1	scrambledobj	9	164	scrambledobj2	green	1	639.24
330	2.0	1	scrambledobj	9	165	scrambledobj4	red	0	9999
332	2.0	1	scrambledobj	9	166	scrambledobj1	red	0	9999
334	2.0	1	scrambledobj	9	167	scrambledobj3	red	0	9999
336	2.0	1	scrambledobj	9	168	scrambledobj4	green	1	697.84
338	2.01	1	scrambledobj	9	169	scrambledobj2	red	0	9999
340.01	8.03	1	fix	n/a	170	n/a	white	n/a	n/a
348.04	1.96	1	Sp	1	174	n/a	red	0	9999
350	2.0	1	Sp	1	175	n/a	red	0	9999
352	2.0	1	Sp	1	176	n/a	red	0	9999
354	2.0	1	Sp	1	177	n/a	green	1	690.16
356	2.0	1	Sp	1	178	n/a	red	0	9999
358	2.0	1	Sp	1	179	n/a	green	1	675.74
360	2.0	1	Sp	1	180	n/a	red	0	9999
362	2.01	1	Sp	1	181	n/a	red	0	9999
364.01	8.04	1	fix	n/a	182	n/a	white	n/a	n/a
372.05	1.95	1	SpId	2	186	n/a	green	1	925.82
374	2.0	1	SpId	2	187	n/a	green	1	841.6
376	2.0	1	SpId	2	188	n/a	red	0	9999
378	2.0	1	SpId	2	189	n/a	red	0	9999
380	2.0	1	SpId	2	190	n/a	red	0	9999
382	2.0	1	SpId	2	191	n/a	red	0	9999
384	2.0	1	SpId	2	192	n/a	red	0	9999
386	2.0	1	SpId	2	193	n/a	red	0	9999
388	8.04	1	fix	n/a	194	n/a	white	n/a	n/a
396.04	1.96	1	NC	4	198	n/a	red	0	9999
398	2.0	1	NC	4	199	n/a	red	0	9999
400	2.0	1	NC	4	200	n/a	red	0	9999
402	2.0	1	NC	4	201	n/a	red	0	9999
404	2.0	1	NC	4	202	n/a	green	1	756.09
