onset	duration	run#	block_kind	current_block	actual_TR	stim_n/ame	fixation_kind	response	RT
0.02	12.0	2	fix	n/a	0	n/a	white	n/a	n/a
12.02	1.98	2	intersection	5	6	intersection1	red	0	9999
14	2.0	2	intersection	5	7	intersection3	green	1	920.55
16	2.0	2	intersection	5	8	intersection4	red	0	9999
18	2.0	2	intersection	5	9	intersection2	red	0	9999
20	2.0	2	intersection	5	10	intersection4	red	0	9999
22	2.0	2	intersection	5	11	intersection1	green	1	628.57
24	2.0	2	intersection	5	12	intersection2	red	0	9999
26	2.01	2	intersection	5	13	intersection3	red	0	9999
28.01	8.02	2	fix	n/a	14	n/a	white	n/a	n/a
36.03	1.97	2	SpId	2	18	n/a	red	0	9999
38	2.0	2	SpId	2	19	n/a	red	0	9999
40	2.0	2	SpId	2	20	n/a	red	0	9999
42	2.0	2	SpId	2	21	n/a	green	1	1588.58
44	2.0	2	SpId	2	22	n/a	red	0	9999
46	2.0	2	SpId	2	23	n/a	green	1	758.4
48	2.0	2	SpId	2	24	n/a	red	0	9999
50	2.02	2	SpId	2	25	n/a	red	0	9999
52.02	8.02	2	fix	n/a	26	n/a	white	n/a	n/a
60.04	1.96	2	Sp	1	30	n/a	green	1	752.99
62	2.0	2	Sp	1	31	n/a	red	0	9999
64	2.0	2	Sp	1	32	n/a	red	0	9999
66	2.0	2	Sp	1	33	n/a	red	0	9999
68	2.0	2	Sp	1	34	n/a	green	1	765.42
70	2.0	2	Sp	1	35	n/a	red	0	9999
72	2.0	2	Sp	1	36	n/a	red	0	9999
74	2.01	2	Sp	1	37	n/a	red	0	9999
76.01	8.02	2	fix	n/a	38	n/a	white	n/a	n/a
84.03	1.97	2	scrambledobj	9	42	scrambledobj1	green	1	682.3
86	2.0	2	scrambledobj	9	43	scrambledobj4	red	0	9999
88	2.0	2	scrambledobj	9	44	scrambledobj2	red	0	9999
90	2.0	2	scrambledobj	9	45	scrambledobj3	red	0	9999
92	2.0	2	scrambledobj	9	46	scrambledobj2	red	0	9999
94	2.0	2	scrambledobj	9	47	scrambledobj1	red	0	9999
96	2.0	2	scrambledobj	9	48	scrambledobj3	red	0	9999
98	2.01	2	scrambledobj	9	49	scrambledobj4	green	1	640.39
100.01	8.03	2	fix	n/a	50	n/a	white	n/a	n/a
108.04	1.96	2	NC	4	54	n/a	green	1	867.76
110	2.0	2	NC	4	55	n/a	red	0	9999
112	2.0	2	NC	4	56	n/a	green	1	1014.58
114	2.0	2	NC	4	57	n/a	red	0	9999
116	2.0	2	NC	4	58	n/a	red	0	9999
118	2.0	2	NC	4	59	n/a	red	0	9999
120	2.0	2	NC	4	60	n/a	red	0	9999
122	2.02	2	NC	4	61	n/a	red	0	9999
124.02	8.03	2	fix	n/a	62	n/a	white	n/a	n/a
132.05	1.95	2	hallway	7	66	hallway1	green	1	835.1
134	2.0	2	hallway	7	67	hallway2	green	1	941.62
136	2.0	2	hallway	7	68	hallway3	red	0	9999
138	2.0	2	hallway	7	69	hallway4	red	0	9999
140	2.0	2	hallway	7	70	hallway2	red	0	9999
142	2.0	2	hallway	7	71	hallway1	red	0	9999
144	2.0	2	hallway	7	72	hallway3	red	0	9999
146	2.01	2	hallway	7	73	hallway4	red	0	9999
148.01	8.03	2	fix	n/a	74	n/a	white	n/a	n/a
156.04	1.96	2	longroad	6	78	longroad3	red	0	9999
158	2.0	2	longroad	6	79	longroad1	red	0	9999
160	2.0	2	longroad	6	80	longroad4	red	0	9999
162	2.0	2	longroad	6	81	longroad2	green	1	608.22
164	2.0	2	longroad	6	82	longroad3	green	1	752.96
166	2.0	2	longroad	6	83	longroad4	red	0	9999
168	2.0	2	longroad	6	84	longroad2	red	0	9999
170	2.02	2	longroad	6	85	longroad1	red	0	9999
172.02	8.03	2	fix	n/a	86	n/a	white	n/a	n/a
180.05	1.95	2	wkobj	8	90	wkobj2	red	0	9999
182	2.0	2	wkobj	8	91	wkobj3	green	1	708.81
184	2.0	2	wkobj	8	92	wkobj4	red	0	9999
186	2.0	2	wkobj	8	93	wkobj1	red	0	9999
188	2.0	2	wkobj	8	94	wkobj2	red	0	9999
190	2.0	2	wkobj	8	95	wkobj1	red	0	9999
192	2.0	2	wkobj	8	96	wkobj3	green	1	642.37
