onset	duration	 pic_onset	 block	 block_kind	 condition	 response
0.359034	12.021601	0.373579	 fix	 fix	 fix	 n/a
12.380635	1.000528	0.021672	1	 Object	 diff	0
13.381163	1.000324	0.020818	1	 Object	 diff	0
14.381487	1.000367	0.020025	1	 Object	 diff	0
15.381854	1.000375	0.01927	1	 Object	 diff	0
16.382229	1.000321	0.01855	1	 Object	 diff	0
17.38255	1.000429	0.017824	1	 Object	 diff	0
18.382979	1.000352	0.017	1	 Object	 diff	0
19.383331	1.000346	0.016247	1	 Object	 diff	0
20.383677	1.000356	0.015521	1	 Object	 diff	0
21.384033	1.000322	0.014786	1	 Object	 diff	0
22.384355	1.000348	0.014146	1	 Object	 diff	0
23.384703	1.005087	0.013326	1	 Object	 same	1
24.38979	1.000309	0.007799	1	 Object	 diff	0
25.390099	1.004463	0.023843	1	 Object	 same	1
26.394562	1.000293	0.018975	1	 Object	 diff	0
27.394855	1.001098	0.01831	1	 Object	 diff	0
28.395953	7.981523	28.395953	 fix	 fix	 fix	 n/a
36.377476	1.000692	0.015545	2	 Scene	 diff	0
37.378168	1.000331	0.014482	2	 Scene	 diff	0
38.378499	1.000329	0.013777	2	 Scene	 diff	0
39.378828	1.000338	0.01303	2	 Scene	 diff	0
40.379166	1.000339	0.012308	2	 Scene	 diff	0
41.379505	1.000329	0.011775	2	 Scene	 same	0
42.379834	1.000321	0.011446	2	 Scene	 diff	0
43.380155	1.000326	0.010133	2	 Scene	 diff	0
44.380481	1.004701	0.009417	2	 Scene	 same	1
45.385182	1.000303	0.021028	2	 Scene	 diff	0
46.385485	1.000307	0.020359	2	 Scene	 diff	0
47.385792	1.000348	0.019672	2	 Scene	 diff	0
48.38614	1.000342	0.018926	2	 Scene	 diff	0
49.386482	1.00034	0.018218	2	 Scene	 diff	0
50.386822	1.000338	0.017489	2	 Scene	 diff	0
51.38716	1.000333	0.016748	2	 Scene	 diff	0
52.387493	7.989972	52.387493	 fix	 fix	 fix	 n/a
60.377465	1.000348	0.023003	3	 Object	 diff	0
61.377813	1.000344	0.022263	3	 Object	 diff	0
62.378157	1.000343	0.02155	3	 Object	 diff	0
63.3785	1.000342	0.020814	3	 Object	 diff	0
64.378842	1.000348	0.020071	3	 Object	 same	0
65.37919	1.000305	0.019358	3	 Object	 diff	0
66.379495	1.000325	0.01864	3	 Object	 diff	0
67.37982	1.000366	0.017932	3	 Object	 diff	0
68.380186	1.000347	0.017268	3	 Object	 same	0
69.380533	1.000358	0.016447	3	 Object	 diff	0
70.380891	1.000337	0.015714	3	 Object	 diff	0
71.381228	1.000351	0.014997	3	 Object	 diff	0
72.381579	1.000365	0.014278	3	 Object	 diff	0
73.381944	1.000382	0.013492	3	 Object	 diff	0
74.382326	1.000347	0.012726	3	 Object	 diff	0
75.382673	1.000301	0.012001	3	 Object	 diff	0
76.382974	7.994533	76.382974	 fix	 fix	 fix	 n/a
84.377507	1.00034	0.013783	4	 Scene	 diff	0
85.377847	1.000347	0.012973	4	 Scene	 diff	0
86.378194	1.000323	0.01225	4	 Scene	 diff	0
87.378517	1.000344	0.011561	4	 Scene	 diff	0
88.378861	1.000348	0.011522	4	 Scene	 diff	0
89.379209	1.000341	0.010064	4	 Scene	 diff	0
90.37955	1.000343	0.026065	4	 Scene	 diff	0
91.379893	1.000337	0.025322	4	 Scene	 same	0
92.38023	1.000342	0.024598	4	 Scene	 diff	0
93.380572	1.00035	0.023857	4	 Scene	 diff	0
94.380922	1.000355	0.023108	4	 Scene	 diff	0
95.381277	1.000344	0.022366	4	 Scene	 diff	0
96.381621	1.000375	0.021632	4	 Scene	 diff	0
97.381996	1.004818	0.020916	4	 Scene	 same	1
98.386814	1.000306	0.01563	4	 Scene	 diff	0
99.38712	1.000324	0.014992	4	 Scene	 diff	0
100.387444	7.990097	100.387444	 fix	 fix	 fix	 n/a
