onset	duration	run#	block_kind	current_block	actual_TR	stim_n/ame	fixation_kind	response	RT
0	12.01	2	fix	n/a	0	n/a	white	n/a	n/a
12.01	1.99	2	wkobj	8	6	wkobj4	green	1	734.25
14	2.0	2	wkobj	8	7	wkobj2	green	1	535.19
16	2.0	2	wkobj	8	8	wkobj1	red	0	9999
18	2.0	2	wkobj	8	9	wkobj3	red	0	9999
20	2.0	2	wkobj	8	10	wkobj2	red	0	9999
22	2.0	2	wkobj	8	11	wkobj3	red	0	9999
24	2.0	2	wkobj	8	12	wkobj4	red	0	9999
26	2.01	2	wkobj	8	13	wkobj1	red	0	9999
28.01	8.03	2	fix	n/a	14	n/a	white	n/a	n/a
36.04	1.96	2	Sp	1	18	n/a	red	0	9999
38	2.0	2	Sp	1	19	n/a	green	1	417.51
40	2.0	2	Sp	1	20	n/a	red	0	9999
42	2.0	2	Sp	1	21	n/a	red	0	9999
44	2.0	2	Sp	1	22	n/a	green	1	819.14
46	2.0	2	Sp	1	23	n/a	red	0	9999
48	2.0	2	Sp	1	24	n/a	red	0	9999
50	2.02	2	Sp	1	25	n/a	red	0	9999
52.02	8.02	2	fix	n/a	26	n/a	white	n/a	n/a
60.04	1.96	2	scrambledobj	9	30	scrambledobj1	green	1	774.08
62	2.0	2	scrambledobj	9	31	scrambledobj2	green	1	608.77
64	2.0	2	scrambledobj	9	32	scrambledobj4	red	0	9999
66	2.0	2	scrambledobj	9	33	scrambledobj3	red	0	9999
68	2.0	2	scrambledobj	9	34	scrambledobj3	red	0	9999
70	2.0	2	scrambledobj	9	35	scrambledobj1	red	0	9999
72	2.0	2	scrambledobj	9	36	scrambledobj4	red	0	9999
74	2.01	2	scrambledobj	9	37	scrambledobj2	red	0	9999
76.01	8.02	2	fix	n/a	38	n/a	white	n/a	n/a
84.03	1.97	2	NC	4	42	n/a	green	1	760.86
86	2.0	2	NC	4	43	n/a	red	0	9999
88	2.0	2	NC	4	44	n/a	red	0	9999
90	2.0	2	NC	4	45	n/a	red	0	9999
92	2.0	2	NC	4	46	n/a	red	0	9999
94	2.0	2	NC	4	47	n/a	red	0	9999
96	2.0	2	NC	4	48	n/a	green	1	446.35
98	2.02	2	NC	4	49	n/a	red	0	9999
100.02	8.02	2	fix	n/a	50	n/a	white	n/a	n/a
108.04	1.96	2	longroad	6	54	longroad3	green	1	1071.79
110	2.0	2	longroad	6	55	longroad2	red	0	9999
112	2.0	2	longroad	6	56	longroad1	red	0	9999
114	2.0	2	longroad	6	57	longroad4	red	0	9999
116	2.0	2	longroad	6	58	longroad1	red	0	9999
118	2.0	2	longroad	6	59	longroad4	red	0	9999
120	2.0	2	longroad	6	60	longroad2	red	0	9999
122	2.01	2	longroad	6	61	longroad3	green	1	415.9
124.01	8.02	2	fix	n/a	62	n/a	white	n/a	n/a
132.03	1.97	2	SpId	2	66	n/a	red	0	9999
134	2.0	2	SpId	2	67	n/a	red	0	9999
136	2.0	2	SpId	2	68	n/a	red	0	9999
138	2.0	2	SpId	2	69	n/a	red	0	9999
140	2.0	2	SpId	2	70	n/a	green	1	750.8
142	2.0	2	SpId	2	71	n/a	green	1	592.07
144	2.0	2	SpId	2	72	n/a	red	0	9999
146	2.01	2	SpId	2	73	n/a	red	0	9999
