onset	duration	run#	block_kind	current_block	actual_TR	stim_n/ame	fixation_kind	response	RT
0.02	12.01	1	fix	n/a	0	n/a	white	n/a	n/a
12.03	1.98	1	wkobj	8	6	wkobj3	red	0	9999
14.01	1.99	1	wkobj	8	7	wkobj4	red	0	9999
16	2.0	1	wkobj	8	8	wkobj2	green	1	553.11
18	2.0	1	wkobj	8	9	wkobj1	red	0	9999
20	2.0	1	wkobj	8	10	wkobj1	green	1	586.38
22	2.0	1	wkobj	8	11	wkobj4	red	0	9999
24	2.0	1	wkobj	8	12	wkobj2	red	0	9999
26	2.02	1	wkobj	8	13	wkobj3	red	0	9999
28.02	8.03	1	fix	n/a	14	n/a	white	n/a	n/a
36.05	1.95	1	SpId	2	18	n/a	red	0	9999
38	2.0	1	SpId	2	19	n/a	red	0	9999
40	2.0	1	SpId	2	20	n/a	red	0	9999
42	2.0	1	SpId	2	21	n/a	red	0	9999
44	2.0	1	SpId	2	22	n/a	red	0	9999
46	2.0	1	SpId	2	23	n/a	green	1	524.74
48	2.0	1	SpId	2	24	n/a	green	1	533.68
50	2.01	1	SpId	2	25	n/a	red	0	9999
52.01	8.03	1	fix	n/a	26	n/a	white	n/a	n/a
60.04	1.96	1	longroad	6	30	longroad3	red	0	9999
62	2.0	1	longroad	6	31	longroad4	red	0	9999
64	2.0	1	longroad	6	32	longroad1	green	1	489.31
66	2.0	1	longroad	6	33	longroad2	red	0	9999
68	2.0	1	longroad	6	34	longroad3	red	0	9999
70	2.0	1	longroad	6	35	longroad1	red	0	9999
72	2.0	1	longroad	6	36	longroad4	green	1	469.58
74	2.02	1	longroad	6	37	longroad2	red	0	9999
76.02	8.03	1	fix	n/a	38	n/a	white	n/a	n/a
84.05	1.95	1	hallway	7	42	hallway1	red	0	9999
86	2.0	1	hallway	7	43	hallway3	green	1	577.8
88	2.0	1	hallway	7	44	hallway2	red	0	9999
90	2.0	1	hallway	7	45	hallway4	green	1	436.26
92	2.0	1	hallway	7	46	hallway2	red	0	9999
94	2.0	1	hallway	7	47	hallway4	red	0	9999
96	2.0	1	hallway	7	48	hallway1	red	0	9999
98	2.01	1	hallway	7	49	hallway3	red	0	9999
100.01	8.03	1	fix	n/a	50	n/a	white	n/a	n/a
108.04	1.96	1	Sp	1	54	n/a	red	0	9999
110	2.0	1	Sp	1	55	n/a	green	1	452.83
112	2.0	1	Sp	1	56	n/a	red	0	9999
114	2.0	1	Sp	1	57	n/a	red	0	9999
116	2.0	1	Sp	1	58	n/a	red	0	9999
118	2.0	1	Sp	1	59	n/a	red	0	9999
120	2.0	1	Sp	1	60	n/a	red	0	9999
122	2.02	1	Sp	1	61	n/a	green	1	456.59
124.02	8.02	1	fix	n/a	62	n/a	white	n/a	n/a
132.04	1.97	1	ID	3	66	n/a	red	0	9999
134.01	1.99	1	ID	3	67	n/a	red	0	9999
136	2.0	1	ID	3	68	n/a	green	1	581.21
