onset	duration	run#	block_kind	current_block	actual_TR	stim_n/ame	fixation_kind	response	RT
0.01	12.01	2	fix	n/a	0	n/a	white	n/a	n/a
12.02	1.98	2	longroad	6	6	longroad4	red	0	9999
14	2.0	2	longroad	6	7	longroad2	red	0	9999
16	2.0	2	longroad	6	8	longroad3	red	0	9999
18	2.0	2	longroad	6	9	longroad1	red	0	9999
20	2.0	2	longroad	6	10	longroad1	red	0	9999
22	2.0	2	longroad	6	11	longroad2	red	0	9999
24	2.0	2	longroad	6	12	longroad4	green	1	601.56
26	2.02	2	longroad	6	13	longroad3	green	1	609.54
28.02	8.02	2	fix	n/a	14	n/a	white	n/a	n/a
36.04	1.96	2	wkobj	8	18	wkobj2	red	0	9999
38	2.0	2	wkobj	8	19	wkobj3	red	0	9999
40	2.0	2	wkobj	8	20	wkobj4	red	0	9999
42	2.0	2	wkobj	8	21	wkobj1	red	0	9999
44	2.0	2	wkobj	8	22	wkobj1	red	0	9999
46	2.0	2	wkobj	8	23	wkobj4	green	1	553.9
48	2.0	2	wkobj	8	24	wkobj2	red	0	9999
50	2.01	2	wkobj	8	25	wkobj3	green	1	554.08
52.01	8.02	2	fix	n/a	26	n/a	white	n/a	n/a
60.03	1.97	2	scrambledobj	9	30	scrambledobj2	red	0	9999
62	2.0	2	scrambledobj	9	31	scrambledobj1	red	0	9999
64	2.0	2	scrambledobj	9	32	scrambledobj3	green	1	612.2
66	2.0	2	scrambledobj	9	33	scrambledobj4	green	1	761.16
68	2.0	2	scrambledobj	9	34	scrambledobj4	red	0	9999
70	2.0	2	scrambledobj	9	35	scrambledobj3	red	0	9999
72	2.0	2	scrambledobj	9	36	scrambledobj2	red	0	9999
74	2.02	2	scrambledobj	9	37	scrambledobj1	red	0	9999
76.02	8.02	2	fix	n/a	38	n/a	white	n/a	n/a
84.04	1.96	2	SpId	2	42	n/a	green	1	670.41
86	2.0	2	SpId	2	43	n/a	red	0	9999
88	2.0	2	SpId	2	44	n/a	red	0	9999
90	2.0	2	SpId	2	45	n/a	green	1	697.47
92	2.0	2	SpId	2	46	n/a	red	0	9999
94	2.0	2	SpId	2	47	n/a	red	0	9999
96	2.0	2	SpId	2	48	n/a	red	0	9999
98	2.01	2	SpId	2	49	n/a	red	0	9999
100.01	8.02	2	fix	n/a	50	n/a	white	n/a	n/a
108.03	1.97	2	hallway	7	54	hallway1	red	0	9999
110	2.0	2	hallway	7	55	hallway4	red	0	9999
112	2.0	2	hallway	7	56	hallway2	red	0	9999
114	2.0	2	hallway	7	57	hallway3	red	0	9999
116	2.0	2	hallway	7	58	hallway1	red	0	9999
118	2.0	2	hallway	7	59	hallway2	green	1	564.62
120	2.0	2	hallway	7	60	hallway3	green	1	620.61
122	2.02	2	hallway	7	61	hallway4	red	0	9999
