onset	duration	 pic_onset	 block	 block_kind	 condition	 response
0.002578	12.020263	0.016139	 fix	 fix	 fix	 n/a
12.022841	1.0005	0.022009	1	 Scene	 diff	0
13.023341	1.000521	0.021106	1	 Scene	 diff	0
14.023862	1.000347	0.020212	1	 Scene	 diff	0
15.024209	1.000571	0.019473	1	 Scene	 diff	0
16.02478	1.000401	0.018529	1	 Scene	 diff	0
17.025181	1.000523	0.017719	1	 Scene	 diff	0
18.025704	1.005355	0.016845	1	 Scene	 same	1
19.031059	1.000471	0.011034	1	 Scene	 diff	0
20.03153	1.000323	0.026907	1	 Scene	 diff	0
21.031853	1.000514	0.009485	1	 Scene	 diff	0
22.032367	1.004657	0.025304	1	 Scene	 same	1
23.037024	1.000482	0.025063	1	 Scene	 diff	0
24.037506	1.000317	0.019416	1	 Scene	 diff	0
25.037823	1.000506	0.01866	1	 Scene	 diff	0
26.038329	1.00037	0.017765	1	 Scene	 diff	0
27.038699	1.001235	0.017003	1	 Scene	 diff	0
28.039934	7.979934	28.039934	 fix	 fix	 fix	 n/a
36.019868	1.000349	0.01576	2	 Object	 diff	0
37.020217	1.000489	0.015022	2	 Object	 diff	0
38.020706	1.004636	0.014169	2	 Object	 same	1
39.025342	1.000451	0.009066	2	 Object	 diff	0
40.025793	1.000377	0.024931	2	 Object	 diff	0
41.02617	1.000503	0.024158	2	 Object	 diff	0
42.026673	1.00032	0.023283	2	 Object	 diff	0
43.026993	1.000501	0.022571	2	 Object	 diff	0
44.027494	1.004542	0.021704	2	 Object	 same	1
45.032036	1.000483	0.016752	2	 Object	 diff	0
46.032519	1.000347	0.015884	2	 Object	 diff	0
47.032866	1.000507	0.015142	2	 Object	 diff	0
48.033373	1.000343	0.014264	2	 Object	 diff	0
49.033716	1.000496	0.013512	2	 Object	 diff	0
50.034212	1.000358	0.012745	2	 Object	 diff	0
51.03457	1.000483	0.012051	2	 Object	 diff	0
52.035053	7.984858	52.035053	 fix	 fix	 fix	 n/a
60.019911	1.000395	0.023119	3	 Scene	 diff	0
61.020306	1.000521	0.022338	3	 Scene	 diff	0
62.020827	1.000321	0.021456	3	 Scene	 diff	0
63.021148	1.000503	0.020715	3	 Scene	 diff	0
64.021651	1.000348	0.019871	3	 Scene	 diff	0
65.021999	1.004477	0.019098	3	 Scene	 same	1
66.026476	1.000317	0.01419	3	 Scene	 diff	0
67.026793	1.00026	0.01351	3	 Scene	 diff	0
68.027053	1.000345	0.012887	3	 Scene	 diff	0
69.027398	1.000491	0.012202	3	 Scene	 diff	0
70.027889	1.000354	0.011892	3	 Scene	 diff	0
71.028243	1.000508	0.010497	3	 Scene	 diff	0
72.028751	1.004647	0.009628	3	 Scene	 same	1
73.033398	1.000515	0.023222	3	 Scene	 diff	0
74.033913	1.000384	0.02037	3	 Scene	 diff	0
75.034297	1.000485	0.019616	3	 Scene	 diff	0
76.034782	7.985165	76.034782	 fix	 fix	 fix	 n/a
84.019947	1.000357	0.013884	4	 Object	 diff	0
85.020304	1.00051	0.013081	4	 Object	 diff	0
86.020814	1.000635	0.012205	4	 Object	 diff	0
87.021449	1.000497	0.011132	4	 Object	 diff	0
88.021946	1.000348	0.01029	4	 Object	 diff	0
89.022294	1.004475	0.026259	4	 Object	 same	1
